address,species,sidewalk_condition,location
846 52 ST,PLAC,Raised,"-74.003841, 40.639371"
846 E 220 ST,ACPL,NA,"-73.858197, 40.882938"
846 E 224 ST,ACRU,Raised,"-73.856632, 40.885758"
846 FLATBUSH AV,QUPA,Raised,"-73.959053, 40.651743"
846 PRESIDENT ST,PLAC,Raised,"-73.97488, 40.673435"
847 E 48 ST,ACPL,Raised,"-73.931146, 40.640648"
847 KINSELLA ST,ACPL,Raised,"-73.860707, 40.845563"
847 PROSPECT PL,PLAC,Raised,"-73.948401, 40.674221"
848 45 ST,PLAC,Raised,"-73.999717, 40.643265"
848 58 ST,PLAC,Raised,"-74.00729, 40.635983"
848 E 55 ST,PLAC,Raised,"-73.923933, 40.636716"
848 VANNEST AV,ACPL,NA,"-73.860439, 40.844892"
849 45 ST,PLAC,Raised,"-73.999717, 40.643265"
849 E 213 ST,ACPS,NA,"-73.860473, 40.878127"
849 E 55 ST,PLAC,Raised,"-73.923922, 40.636603"
849 LENOX RD,PLAC,Raised,"-73.928041, 40.655505"
849 MONTGOMERY ST,PLAC,Raised,"-73.936642, 40.66462"
85 71 ST,QU,Raised,"-74.033226, 40.635755"
85 72 ST,PLAC,Raised,"-74.033966, 40.635181"
85 AINSWORTH AV,PLAC,Raised,"-74.138376, 40.552295"
85 ASCAN AV,COMA,NA,"1.0, 1.0"
85 ASCAN AV,ACSA2,NA,"1.0, 1.0"
85 BROADWAY,LIST,NA,"-74.117845, 40.639319"
85 BROADWAY,GLTR,NA,"-74.117845, 40.639319"
85 COOPER ST,QUPA,Raised,"-73.909136, 40.685959"
85 CRANFORD ST,PLAC,Raised,"-74.139196, 40.551922"
85 DOUGLASS ST,PLAC,Raised,"-73.991782, 40.683218"
85 GRANT PL,PLAC,NA,"-74.105355, 40.57671"
85 GREENVALLEY RD,LIST,Raised,"-74.195408, 40.549009"
85 JORALEMON ST,PLAC,Raised,"-73.996384, 40.693385"
85 LENZIE ST,ACPL,Raised,"-74.163683, 40.531459"
85 MILTON AV,PLAC,Raised,"-74.103856, 40.564753"
85 NOTRE DAME AV,PLAC,NA,"-74.157135, 40.549983"
85 PARKHILL CIR,PLAC,Raised,"-74.077324, 40.617398"
85 PROSPECT PL,PLAC,Raised,"-73.974647, 40.679075"
85 REEVE PL,ACPL,Raised,"-73.97365, 40.653678"
85 S OXFORD ST,ACPL,Raised,"-73.973595, 40.687038"
85 SCHAFFER ST,GLTR,Raised,"1.0, 1.0"
85 SHERMAN AV,PLAC,Raised,"-74.080926, 40.639211"
85 SHERMAN ST,QUPA,Raised,"-73.976101, 40.656643"
85 SYCAMORE ST,PLAC,Raised,"-74.153992, 40.54394"
85 W CASTOR PL,TICO,NA,"-74.20237, 40.544617"
85 WALNUT ST,PLAC,Raised,"-74.108425, 40.639405"
85-001 124 ST,ACPL,Raised,"-73.827675, 40.703898"
85-001 124 ST,ACSA1,NA,"-73.827675, 40.703898"
85-001 125 ST,ACPL,Raised,"-73.82637, 40.704232"
85-001 160 ST,ACRU,NA,"-73.804661, 40.71225"
85-001 67 AV,QURU,NA,"-73.862399, 40.717159"
85-001 67 RD,QUPA,NA,"-73.861812, 40.716602"
85-001 76 ST,ACPL,Raised,"-73.866809, 40.695056"
85-001 76 ST,PYCA,Raised,"-73.866809, 40.695056"
85-001 88 ST,PLAC,Raised,"-73.857146, 40.695553"
85-001 91 ST,ACSA1,Raised,"-73.854633, 40.696593"
85-001 MYRTLE AV,QURU,Raised,"-73.863788, 40.703334"
85-001 MYRTLE AV,ACPL,Raised,"-73.863788, 40.703334"
85-001 WOODHAVEN BLVD,QUPA,NA,"-73.852806, 40.696834"
85-001 WOODHAVEN BLVD,QUPA,Raised,"-73.852806, 40.696834"
85-002 159 ST,FRPE,Raised,"-73.805546, 40.712114"
85-002 55 RD,FRPE,Raised,"-73.879075, 40.7324"
85-002 67 AV,QUPA,NA,"-73.862329, 40.717185"
85-002 67 AV,QURU,NA,"-73.862329, 40.717185"
85-002 77 AV,TICO,Raised,"-73.864236, 40.706685"
85-002 89 AV,ACSA1,Raised,"-73.857965, 40.689333"
85-002 89 ST,ACSA1,Raised,"-73.856257, 40.695661"
85-002 89 ST,PLAC,Raised,"-73.856257, 40.695661"
85-002 ABINGDON RD,ACPL,Raised,"-73.829201, 40.706329"
85-002 ABINGDON RD,QUPA,Raised,"-73.829201, 40.706329"
85-002 LEFFERTS BLVD,ACPL,Raised,"-73.83211, 40.702746"
85-002 WOODHAVEN BLVD,QUPA,NA,"-73.852808, 40.696781"
85-003 25 AV,ACPL,Raised,"-73.88391, 40.763351"
85-003 WHITNEY AV,GLTR,NA,"-73.88024, 40.741309"
85-004 151 ST,ACPL,NA,"-73.808243, 40.711606"
85-004 247 ST,PYCA,Raised,"-73.719448, 40.732898"
85-004 253 ST,ACPL,Raised,"-73.713908, 40.733733"
85-004 67 RD,QURU,NA,"-73.861666, 40.716656"
85-004 67 RD,QUPA,NA,"-73.861666, 40.716656"
85-004 88 ST,PLAC,Raised,"-73.857116, 40.69544"
