address,species,sidewalk_condition,location
170-016 171 ST,PLAC,NA,"-73.798667, 40.731284"
170-016 65 AV,GLTR,NA,"-73.799067, 40.736557"
170-016 73 AV,PLAC,NA,"-73.799395, 40.728621"
170-016 73 AV,ACPL,NA,"-73.799395, 40.728621"
170-016 GRAND CENTRAL PKWY,PLAC,NA,"-73.795297, 40.717938"
170-016 PIGEON MEADOW RD,ACPL,Raised,"1.0, 1.0"
170-017 67 AV,QURU,NA,"-73.799185, 40.73472"
170-017 67 AV,ACPL,NA,"-73.799185, 40.73472"
170-017 73 AV,ACSA2,NA,"-73.799395, 40.728621"
170-017 75 AV,QUPA,NA,"-73.799172, 40.727456"
170-017 75 AV,ACSA2,NA,"-73.799172, 40.727456"
170-017 75 AV,ACPL,NA,"-73.799172, 40.727456"
170-017 PIGEON MEADOW RD,ACPL,Raised,"1.0, 1.0"
170-017 PIGEON MEADOW RD,ACRU,Raised,"1.0, 1.0"
170-018 76 AV,PRSE1,NA,"-73.798951, 40.726404"
170-018 76 AV,PLAC,NA,"-73.798951, 40.726404"
170-019 88 AV,ACPL,Raised,"-73.791292, 40.710622"
170-020 65 AV,GLTR,NA,"-73.799031, 40.736555"
170-020 GRAND CENTRAL PKWY,PLAC,NA,"-73.795228, 40.717958"
170-021 LITHONIA AV,ACPL,Raised,"-73.797443, 40.748316"
170-024 133 AV,PLAC,NA,"1.0, 1.0"
170-024 GRAND CENTRAL PKWY,PLAC,NA,"-73.795158, 40.717978"
170-028 GRAND CENTRAL PKWY,PLAC,NA,"-73.795089, 40.717997"
170-030 133 AV,PLAC,NA,"1.0, 1.0"
170-032 PIGEON MEADOW RD,ACPL,Raised,"1.0, 1.0"
170-034 GRAND CENTRAL PKWY,PLAC,NA,"-73.794985, 40.718027"
170-035 PIGEON MEADOW RD,ACPS,Raised,"1.0, 1.0"
170-036 HOME LAWN ST,ACPL,NA,"1.0, 1.0"
170-037 171 ST,PLAC,NA,"-73.798679, 40.731117"
170-039 PIGEON MEADOW RD,ACPL,Raised,"1.0, 1.0"
170-041 118 AV,ACPL,Raised,"-73.775566, 40.68584"
170-041 UNDER HILL AV,ACSA1,Raised,"-73.795883, 40.747483"
170-043 PIGEON MEADOW RD,ACSA2,Raised,"1.0, 1.0"
170-044 133 AV,PLAC,NA,"1.0, 1.0"
170-044 PIGEON MEADOW RD,TICO,Raised,"1.0, 1.0"
170-063 75 AV,ACPL,NA,"-73.798756, 40.727451"
170-063 75 AV,QUPA,NA,"-73.798756, 40.727451"
1700 3 AV,SOJA,Raised,"1.0, 1.0"
1700 DITMAS AV,TICO,Raised,"-73.961862, 40.637937"
1700 E 17 ST,ACPL,Raised,"-73.956292, 40.608429"
1700 E 173 ST,SOJA,Raised,"1.0, 1.0"
1700 E 174 ST,SOJA,Raised,"-73.87181, 40.834526"
1700 MATTHEWS AV,ACSA2,Raised,"-73.861318, 40.844709"
1700 TAYLOR AV,CEOC,NA,"-73.868722, 40.842078"
1700 VANNEST AV,ACPL,NA,"1.0, 1.0"
1700 VANNEST AV,PYCA,NA,"1.0, 1.0"
1701 1 AV,GIBI,Raised,"-73.948415, 40.778192"
1701 ASTOR AV,QURU,Raised,"-73.837163, 40.859025"
1701 CARROLL ST,PLAC,Raised,"-73.929963, 40.666049"
1701 CYPRESS AV,ACPL,NA,"-73.910337, 40.702565"
1701 CYPRESS AV,FRPE,NA,"-73.910337, 40.702565"
1701 DAVIDSON AV,PLAC,NA,"1.0, 1.0"
1701 E 173 ST,GLTR,Raised,"1.0, 1.0"
1701 E 174 ST,GLTR,Raised,"-73.87181, 40.834526"
1701 E 54 ST,PLAC,Raised,"-73.922666, 40.616014"
1701 GERRITSEN AV,PLAC,Raised,"-73.943528, 40.60933"
1701 KIMBALL RD,ACSA1,Raised,"-73.933891, 40.616484"
1701 NORMAN ST,ACPS,NA,"-73.901203, 40.697188"
1701 NORMAN ST,ACPL,NA,"-73.901203, 40.697188"
1701 PALMETTO ST,ACPL,NA,"-73.908827, 40.701701"
1701 ROCKAWAY PKWY,PLAC,Raised,"-73.896474, 40.639893"
1701 WASHINGTON AV,GLTR,Raised,"-73.900766, 40.842224"
1701 WASHINGTON AV,QUPH,Raised,"-73.900766, 40.842224"
1701 WOODBINE ST,ACPL,NA,"-73.908085, 40.701261"
1702 47 ST,ACPL,Raised,"-73.981819, 40.630631"
1702 CYPRESS AV,ACPL,NA,"-73.910337, 40.702565"
1702 NORMAN ST,ACPL,NA,"-73.901181, 40.69721"
1702 ROCKAWAY PKWY,PLAC,Raised,"-73.896474, 40.639893"
1703 1 AV,ACPL,Raised,"-73.948365, 40.778259"
1703 Avenue K,ACSA1,Raised,"-73.959013, 40.623004"
1703 GARFIELD ST,ACRU,Raised,"-73.868051, 40.842542"
1703 PALMETTO ST,PYCA,NA,"-73.908805, 40.701723"
1703 PALMETTO ST,ACPL,NA,"-73.908805, 40.701723"
1703 PRESIDENT ST,PLAC,Raised,"-73.930635, 40.666981"
1703 PUTNAM AV,ACPS,NA,"-73.906536, 40.700366"
1703 RALPH AV,QUPA,Raised,"-73.918942, 40.635317"
1703 TROY AV,PLAC,Raised,"-73.933956, 40.630728"
1703 WHITE PLAINS RD W,GIBI,NA,"-73.865611, 40.843817"
1703 WOODBINE ST,TICO,NA,"-73.908063, 40.701283"
1704 MADISON ST,ACPL,NA,"-73.907297, 40.700866"
1704 TROY AV,PLAC,Raised,"-73.933956, 40.630728"
1705 Avenue P,ACRU,Raised,"-73.956652, 40.610618"
1705 BENSON AV,PLAC,Raised,"-74.006481, 40.60681"
1705 BRONXWOOD AV,ACPL,Raised,"1.0, 1.0"
1705 COLEMAN ST,PLAC,Raised,"-73.933105, 40.61688"
1705 CORTELYOU RD,TITO,Raised,"-73.962602, 40.64204"
1705 E 55 ST,ACPL,Raised,"-73.921609, 40.61491"
1705 MADISON ST,ACPL,NA,"-73.907297, 40.700866"
1705 PUTNAM AV,ACPS,NA,"-73.906514, 40.70039"
1705 RALPH AV,ZESE,Raised,"-73.918937, 40.635273"
1705 RANDALL AV,UNKNOWN,NA,"-73.866671, 40.81647"
1705 ROCKAWAY PKWY,PLAC,Raised,"-73.896378, 40.639807"
1705 TAYLOR AV,ULAM,NA,"-73.868786, 40.842137"
1705 TROY AV,PLAC,Raised,"-73.933951, 40.630678"
1705 UNDERCLIFF AV,ACRU,NA,"-73.921294, 40.850075"
1705 UNION PORT RD,PYCA,Raised,"-73.866494, 40.843538"
1705 WOODBINE ST,TICO,NA,"-73.908039, 40.701306"
1706 11 AV,ACPL,Raised,"-73.977904, 40.655577"
1706 ASTOR AV,QURU,Raised,"-73.836916, 40.859005"
1706 BUSSING AV,GLTR,Raised,"-73.852085, 40.893106"
1706 FILLMORE ST,UNKNOWN,Raised,"-73.867416, 40.843031"
1706 GEORGE ST,ACPL,Raised,"-73.90256, 40.6981"
1706 WOODBINE ST,ACPL,NA,"-73.908017, 40.701328"
1707 DITMAS AV,TICO,Raised,"-73.961809, 40.637962"
1707 E 17 ST,ACPL,Raised,"-73.956264, 40.608284"
1707 E 52 ST,PLAC,Raised,"-73.924803, 40.617755"
1707 PALMETTO ST,TICO,NA,"-73.908759, 40.701768"
1707 PRESIDENT ST,PLAC,Raised,"-73.930482, 40.666973"
1707 PUTNAM AV,ACPS,NA,"-73.906492, 40.700413"
1707 ROCKAWAY PKWY,PLAC,Raised,"-73.896351, 40.639782"
1708 GEORGE ST,PLAC,Raised,"-73.902537, 40.698123"
1708 MATTHEWS AV,UNKNOWN,Raised,"-73.861389, 40.845102"
1708 PALMETTO ST,FRPE,NA,"-73.908757, 40.70177"
1708 PARK VIEW AV,ACPS,Raised,"-73.827836, 40.846749"
1708 WOODBINE ST,ACPL,NA,"-73.907993, 40.701351"
1709 3 AV,QUPA,NA,"-73.94934, 40.785183"
1709 45 ST,PLAC,Raised,"-73.980483, 40.631652"
1709 E 54 ST,PLAC,Raised,"-73.922645, 40.615811"
1709 GERRITSEN AV,PLAC,Raised,"-73.943434, 40.609238"
1709 MADISON ST,ACPL,NA,"-73.907251, 40.700911"
1709 PUTNAM AV,ACPS,NA,"-73.90647, 40.700437"
1709 RALPH AV,QUPA,Raised,"-73.918928, 40.635188"
1709 ROCKAWAY PKWY,PLAC,Raised,"-73.896309, 40.639744"
1709 WOODBINE ST,PYCA,NA,"-73.907993, 40.701351"
171 70 ST,ACPL,Raised,"-74.029955, 40.636177"
171 85 ST,PLAC,Raised,"-74.034172, 40.625153"
171 B 131 ST,ACPL,NA,"-73.838229, 40.769373"
171 BAY TER,TICO,Raised,"-74.134876, 40.553722"
171 BERTHA PL,PLAC,Raised,"-74.092823, 40.621761"
171 BUCHANAN ST,PLAC,Raised,"-74.094229, 40.642946"
171 CHESTNUT AV,GLTR,Raised,"-74.074026, 40.615386"
171 DAVIS AV,ACPL,Raised,"-74.109914, 40.639935"
171 E 13 ST,ACPL,Raised,"-73.992102, 40.668606"
171 E 51 ST,ACPL,Raised,"-73.930029, 40.657928"
171 E 59 ST,ACSA2,Raised,"-73.921515, 40.649975"
171 E WILLOW RD,ACRU,NA,"1.0, 1.0"
171 FALMOUTH ST,PLAC,Raised,"-73.946422, 40.578305"
171 FREMONT AV,PLAC,NA,"-74.107828, 40.578052"
171 GETZ AV,PYCA,NA,"-74.165809, 40.555504"
171 GREENCROFT AV,ACSA1,Raised,"-74.138393, 40.549859"
171 JEROME AV,ACPL,Raised,"-74.074899, 40.594306"
171 KEEGANS LA,QUPA,Raised,"-74.138302, 40.550238"
171 KELL AV,PLAC,Raised,"-74.135048, 40.609278"
171 LANDER AV,ACSA1,Raised,"-74.164624, 40.613915"
171 LEE AV,SOJA,Raised,"-74.244714, 40.512733"
171 LEFFERTS AV,PLAC,Raised,"-73.955567, 40.662058"
171 MARLBOROUGH RD,ACPL,Raised,"-73.965307, 40.645871"
171 OVERLOOK AV,LIST,Raised,"-74.100576, 40.594695"
171 PELTON AV,ACPL,Raised,"-74.111074, 40.639101"
171 PEMBROKE ST,QUPA,Raised,"-73.937056, 40.579242"
171 RIDGEWOOD AV,PLAC,Raised,"-73.882485, 40.683147"
171-001 65 AV,ACPL,NA,"-73.798308, 40.736528"
171-001 65 AV,GLTR,NA,"-73.798308, 40.736528"
171-002 171 ST,PLAC,NA,"1.0, 1.0"
171-002 65 AV,ACPL,NA,"-73.79829, 40.736527"
171-002 65 AV,ACRU,NA,"-73.79829, 40.736527"
171-003 107 AV,ACSA1,Raised,"-73.783862, 40.700453"
171-003 67 AV,ACRU,NA,"-73.798411, 40.734688"
171-003 68 AV,ACPS,NA,"-73.798483, 40.733549"
171-003 68 AV,TICO,NA,"-73.798483, 40.733549"
171-003 68 AV,ACPL,NA,"-73.798483, 40.733549"
171-003 69 AV,ACSA1,NA,"-73.798532, 40.732858"
171-003 69 AV,GLTR,NA,"-73.798532, 40.732858"
171-003 69 ST,ACPL,NA,"-73.798532, 40.732858"
171-003 73 AV,PLAC,NA,"-73.798643, 40.728804"
171-003 75 AV,PLAC,NA,"-73.798386, 40.727447"
