address,species,sidewalk_condition,location
97-008 72 AV,ACPL,Raised,"-73.848114, 40.710631"
97-009 109 ST,PLAC,NA,"-73.835403, 40.68902"
97-009 110 ST,ACPL,NA,"1.0, 1.0"
97-009 165 AV,QUPA,NA,"-73.83355, 40.649689"
97-009 70 AV,ACSA2,Raised,"-73.85045, 40.715441"
97-009 94 ST,ACPS,NA,"-73.847531, 40.685563"
97-009 97 AV,PYCA,NA,"-73.844847, 40.686503"
97-009 ATLANTIC AV,QUPA,NA,"-73.844964, 40.68927"
97-009 WOODHAVEN BLVD,QUPA,NA,"-73.846779, 40.685769"
97-010 110 ST,ACPL,Raised,"1.0, 1.0"
97-010 162 AV,TICO,NA,"-73.834777, 40.654709"
97-011 101 AV,ACPL,NA,"-73.844117, 40.684803"
97-011 106 ST,TICO,NA,"-73.838021, 40.688235"
97-011 106 ST,ACPL,NA,"-73.838021, 40.688235"
97-011 121 ST,TICO,Raised,"-73.824449, 40.691629"
97-011 126 ST,TICO,Raised,"-73.820576, 40.692729"
97-011 162 AV,UNKNOWN,NA,"-73.834777, 40.654709"
97-011 70 AV,ACPS,NA,"-73.850443, 40.715453"
97-011 70 AV,TICO,NA,"-73.850443, 40.715453"
97-011 70 AV,ULAM,NA,"-73.850443, 40.715453"
97-011 70 AV,ACSA2,Raised,"-73.850443, 40.715453"
97-011 QUEENS BLVD,PLAC,NA,"-73.860959, 40.729636"
97-011 WOODHAVEN BLVD,QUPA,NA,"-73.846763, 40.685737"
97-012 106 ST,TICO,NA,"-73.838007, 40.688201"
97-012 106 ST,GLTR,NA,"-73.838007, 40.688201"
97-012 110 ST,ACPL,Raised,"1.0, 1.0"
97-012 25 AV,QUPA,Raised,"-73.872563, 40.764544"
97-012 70 AV,ACSA2,Raised,"-73.850435, 40.715466"
97-012 88 ST,ACRU,NA,"-73.852692, 40.684029"
97-012 QUEENS BLVD,SOJA,NA,"-73.859803, 40.729129"
97-013 103 ST,ACPL,NA,"-73.840634, 40.687448"
97-013 110 ST,ACPL,NA,"1.0, 1.0"
97-013 64 RD,PLAC,NA,"-73.859578, 40.729193"
97-013 65 RD,GLTR,NA,"-73.858541, 40.727856"
97-013 90 ST,ACPL,Raised,"-73.850999, 40.68451"
97-014 108 ST,ACPS,NA,"-73.836241, 40.688681"
97-014 163 AV,ACPL,NA,"-73.834324, 40.653041"
97-014 72 AV,PLAC,Raised,"-73.84809, 40.71067"
97-014 89 ST,ACPL,NA,"-73.851827, 40.684233"
97-014 90 ST,PLAC,Raised,"-73.850982, 40.684476"
97-015 106 ST,TICO,NA,"-73.837992, 40.688165"
97-015 109 ST,ACPL,NA,"-73.835368, 40.688921"
97-015 110 ST,ACPL,NA,"1.0, 1.0"
97-015 116 ST,PLAC,Raised,"1.0, 1.0"
97-015 126 ST,TICO,Raised,"-73.820552, 40.69268"
97-015 134 ST,TICO,Raised,"-73.814183, 40.694492"
97-015 161 AV,ACSA1,NA,"-73.835155, 40.656386"
97-015 97 AV,PYCA,NA,"-73.844803, 40.686516"
97-015 WOODHAVEN BLVD,QUPA,NA,"-73.846731, 40.685672"
97-016 108 ST,PRSA,NA,"-73.836228, 40.68865"
97-016 118 ST,ACPL,Raised,"-73.827351, 40.690723"
97-016 135 RD,ACPL,Raised,"-73.838158, 40.673595"
97-016 88 ST,ACPL,NA,"-73.852659, 40.683962"
97-016 BRISTOL ST,ACSA1,Raised,"-73.837698, 40.671157"
97-016 JAMAICA AV,GLTR,NA,"-73.848494, 40.69463"
97-017 110 ST,ACPL,NA,"1.0, 1.0"
97-017 116 ST,ACPL,Raised,"1.0, 1.0"
97-017 123 ST,AEHI,Raised,"-73.823373, 40.691851"
97-017 161 AV,GLTR,NA,"-73.835137, 40.656389"
97-017 164 AV,ACSA1,Raised,"-73.833892, 40.651372"
97-017 89 ST,ACPL,NA,"-73.851811, 40.684201"
97-017 WOODHAVEN BLVD,QUPA,NA,"-73.846716, 40.685641"
97-018 110 ST,ACPL,NA,"1.0, 1.0"
97-018 135 RD,FRPE,Raised,"-73.83814, 40.6736"
97-018 64 AV,ACSA1,NA,"-73.860332, 40.729701"
97-018 80 ST,ACPL,Raised,"-73.859447, 40.681979"
97-018 89 ST,ACPL,NA,"-73.851794, 40.684166"
97-019 103 ST,ACPL,NA,"-73.840584, 40.687347"
97-019 123 ST,AEHI,Raised,"-73.823361, 40.691827"
97-019 160 AV,GLTR,Raised,"-73.835529, 40.658066"
97-019 ALSTYNE AV,PLAC,Raised,"-73.865789, 40.743149"
97-019 WOODHAVEN BLVD,QUPA,NA,"-73.846699, 40.685607"
97-020 108 ST,QURU,NA,"-73.836201, 40.688586"
97-020 156 AV,PLAC,Raised,"-73.836457, 40.66376"
97-020 161 AV,ACSA1,NA,"-73.835101, 40.656394"
97-020 163 AV,ACSA1,NA,"-73.834269, 40.653049"
97-020 34 AV,ACSA1,Raised,"-73.8708, 40.755229"
97-020 80 ST,ACPL,Raised,"-73.859431, 40.681947"
97-020 89 ST,ACPL,NA,"-73.851778, 40.684134"
97-020 97 AV,ACPL,Raised,"-73.844759, 40.686528"
97-021 103 ST,PLAC,NA,"-73.840568, 40.687315"
97-021 110 ST,ACPL,NA,"1.0, 1.0"
97-021 116 ST,ACPL,Raised,"1.0, 1.0"
97-021 72 AV,PLAC,Raised,"-73.848067, 40.710708"
97-021 LINDEN BLVD,ACPL,Raised,"-73.838746, 40.674216"
97-022 103 ST,ACPL,NA,"-73.840552, 40.687282"
97-022 108 ST,PRSA,NA,"-73.836188, 40.688554"
97-023 103 ST,ACPL,Raised,"-73.840552, 40.687282"
97-023 106 ST,TICO,NA,"-73.837934, 40.688028"
97-023 127 ST,ACPL,Raised,"-73.819622, 40.692833"
97-023 129 ST,QUPH,Raised,"-73.818723, 40.693098"
