address,species,sidewalk_condition,location
109-020 108 ST,ACPL,Raised,"-73.831604, 40.679242"
109-020 202 ST,PLAC,Raised,"-73.756073, 40.707137"
109-020 71 RD,ACPL,NA,"-73.842533, 40.721112"
109-020 71 RD,LITU,Raised,"-73.842533, 40.721112"
109-020 QUEENS BLVD,GLTR,Raised,"-73.841094, 40.720261"
109-020 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
109-021 125 ST,QUPA,Raised,"-73.816682, 40.683361"
109-021 157 ST,QUPA,Raised,"-73.794094, 40.692839"
109-022 125 ST,QUPA,Raised,"-73.816666, 40.683328"
109-022 174 ST,QUPA,NA,"-73.78079, 40.698433"
109-022 208 ST,ACPL,Raised,"-73.749883, 40.708865"
109-023 125 ST,QUPA,Raised,"-73.816666, 40.683328"
109-023 221 ST,ACPL,Raised,"1.0, 1.0"
109-023 71 RD,ACPL,NA,"-73.8425, 40.721125"
109-024 116 ST,PLAC,Raised,"-73.824509, 40.681084"
109-024 125 ST,QUPA,Raised,"-73.81665, 40.683293"
109-024 174 ST,QUPA,NA,"-73.780767, 40.698401"
109-025 157 ST,QUPA,Raised,"-73.794048, 40.692776"
109-025 205 PL,ACPL,Raised,"-73.75258, 40.70823"
109-026 125 ST,QUPA,Raised,"-73.816635, 40.683259"
109-026 135 ST,ACRU,Raised,"-73.808855, 40.686009"
109-026 157 ST,QUPA,Raised,"-73.794026, 40.692745"
109-026 174 ST,QUPA,NA,"-73.780744, 40.69837"
109-027 204 ST,PLAC,Raised,"-73.754201, 40.707387"
109-028 221 ST,ACPL,Raised,"1.0, 1.0"
109-029 114 ST,ACSA1,Raised,"-73.826115, 40.680553"
109-029 115 ST,ACPL,Raised,"-73.825304, 40.680782"
109-029 125 ST,QUPA,Raised,"-73.816619, 40.683224"
109-029 201 ST,PLAC,Raised,"-73.756865, 40.706748"
109-030 116 ST,PLAC,Raised,"-73.824458, 40.680981"
109-030 128 ST,ACPL,Raised,"-73.813948, 40.683821"
109-030 202 ST,PLAC,Raised,"-73.755956, 40.706843"
109-031 113 ST,ACPL,Raised,"-73.826919, 40.680285"
109-031 130 ST,ACPL,Raised,"-73.813089, 40.684278"
109-032 201 ST,PLAC,Raised,"-73.756817, 40.706638"
109-033 125 ST,QUPA,Raised,"-73.816587, 40.683156"
109-033 130 ST,ACPL,Raised,"-73.813071, 40.684241"
109-033 71 RD,ACPL,NA,"-73.842331, 40.721193"
109-033 71 RD,PYCA,NA,"-73.842331, 40.721193"
109-034 202 ST,PLAC,Raised,"-73.75591, 40.706726"
109-034 BREWER BLVD,QUPA,Raised,"1.0, 1.0"
109-035 116 ST,ACPL,Raised,"-73.824424, 40.680912"
109-035 153 ST,QURU,Raised,"-73.79653, 40.691029"
109-035 191 ST,ACPL,Raised,"-73.765024, 40.703651"
109-036 205 ST,PLAC,Raised,"-73.753173, 40.707283"
109-037 153 ST,QUPA,Raised,"-73.796492, 40.690976"
109-038 116 ST,PLAC,Raised,"-73.82439, 40.680842"
109-038 125 ST,QUPA,Raised,"-73.81654, 40.683054"
109-038 135 ST,ACRU,Raised,"-73.808717, 40.685727"
109-038 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
109-039 125 ST,QUPA,Raised,"-73.81654, 40.683054"
109-039 130 ST,ACPL,Raised,"-73.813018, 40.684133"
109-039 191 ST,ACPL,Raised,"-73.764995, 40.703595"
109-040 116 ST,PLAC,Raised,"-73.824374, 40.680809"
109-040 118 ST,ACPL,Raised,"-73.822721, 40.681278"
109-040 174 ST,QUPA,NA,"-73.780583, 40.698151"
109-041 115 ST,ACPL,Raised,"-73.825202, 40.680575"
109-041 125 ST,QUPA,Raised,"-73.816524, 40.68302"
109-041 126 ST,ACSA1,Raised,"-73.815745, 40.683202"
109-042 125 ST,QUPA,Raised,"-73.816508, 40.682985"
109-042 174 ST,QUPA,NA,"-73.78056, 40.698119"
109-043 115 ST,ACPL,Raised,"-73.825185, 40.68054"
109-043 125 ST,ACPS,Raised,"-73.816508, 40.682985"
109-043 130 ST,PLAC,Raised,"-73.812982, 40.68406"
109-044 114 ST,ACPL,Raised,"-73.82598, 40.680277"
109-044 153 ST,QURU,Raised,"-73.796377, 40.690817"
109-044 153 ST,ZESE,Raised,"-73.796377, 40.690817"
109-044 157 ST,QUPA,Raised,"-73.793819, 40.69246"
109-045 125 ST,QUPA,Raised,"-73.816493, 40.682952"
109-045 127 ST,ACSA1,Raised,"-73.81458, 40.683078"
109-045 207 ST,PLAC,Raised,"-73.750651, 40.708367"
109-046 115 ST,ACPL,Raised,"-73.825151, 40.680472"
109-046 123 ST,TICO,Raised,"-73.818269, 40.682431"
109-046 174 ST,ACSA2,NA,"-73.780515, 40.698057"
109-047 114 ST,ACPL,Raised,"-73.825963, 40.680243"
109-047 125 ST,QUPA,Raised,"-73.816477, 40.682918"
109-047 156 ST,PLAC,Raised,"-73.794616, 40.692081"
109-048 125 ST,QUPA,Raised,"-73.816461, 40.682883"
109-048 157 ST,QUPA,Raised,"-73.793773, 40.692397"
109-049 125 ST,QUPA,Raised,"-73.816461, 40.682883"
109-050 135 ST,ACRU,Raised,"-73.80858, 40.685447"
109-053 135 ST,ACRU,Raised,"-73.808556, 40.685399"
109-055 109 ST,ACPL,Raised,"-73.830402, 40.678818"
109-057 195 ST,ACPL,Raised,"-73.761931, 40.705005"
109-058 153 ST,QUPA,Raised,"-73.796243, 40.690633"
109-058 217 ST,ACPL,Raised,"-73.740893, 40.70938"
109-066 153 ST,QUPA,Raised,"-73.796178, 40.690542"
109-066 153 ST,QURU,Raised,"-73.796178, 40.690542"
109-066 202 ST,PLAC,Raised,"-73.755247, 40.705777"
109-068 135 ST,ACPL,Raised,"-73.808373, 40.685025"
109-070 135 ST,ACPL,Raised,"-73.808351, 40.684979"
109-073 202 ST,PLAC,Raised,"-73.755132, 40.70551"
109-075 195 ST,ACRU,Raised,"-73.761798, 40.704675"
109-077 135 ST,ACPL,Raised,"-73.808281, 40.684836"
109-079 205 ST,ACSA1,Raised,"-73.75252, 40.706319"
109-082 204 ST,ACPL,Raised,"-73.7532, 40.70558"
109-092 202 ST,PLAC,Raised,"-73.754822, 40.704793"
109-093 202 ST,PLAC,Raised,"-73.754818, 40.704784"
109-094 202 ST,PLAC,Raised,"-73.754789, 40.704717"
109-098 MERRICK BLVD,QUPA,NA,"-73.782782, 40.696004"
1090 E 52 ST,PLAC,Raised,"-73.926479, 40.633495"
1090 GREENE AV,GLTR,Raised,"-73.924807, 40.692281"
1090 NEW JERSEY AV,PLAC,Raised,"-73.885686, 40.653336"
1090 UNIVERSITY AVE,QUPA,Raised,"-73.929498, 40.8358"
1091 E 51 ST,PLAC,Raised,"-73.927546, 40.634504"
1092 E 16 ST,PLAC,Raised,"-73.960045, 40.623074"
1092 E 52 ST,PLAC,Raised,"-73.926474, 40.633447"
1092 E 92 ST,ACSA1,Raised,"-73.906525, 40.642712"
1092 NOSTRAND AV,PLAC,Raised,"-73.950689, 40.66123"
1093 E 18 ST,PLAC,Raised,"-73.958253, 40.62398"
1094 E 52 ST,PLAC,Raised,"-73.926469, 40.633397"
1094 E 92 ST,PLAC,Raised,"-73.906459, 40.642664"
1094 GREENE AV,GLTR,Raised,"-73.924688, 40.692429"
1094 WOODCREST AV,ACPL,Raised,"-73.926397, 40.834714"
1095 E 51 ST,PLAC,Raised,"-73.927533, 40.634395"
1095 E 55 ST,PLAC,Raised,"-73.923268, 40.63046"
1095 Leif Ericson Dr,PLAC,Raised,"1.0, 1.0"
1095 PUTNAM AV,ULAM,Raised,"-73.918772, 40.688165"
1095 WILLOW BROOK RD,PLAC,Raised,"-74.137082, 40.60336"
1097 Avenue I,ACPS,Raised,"1.0, 1.0"
1097 E 43 ST,ACPS,Raised,"-73.934669, 40.628231"
1097 E 51 ST,PLAC,Raised,"-73.927526, 40.634342"
1097 E 52 ST,PLAC,Raised,"-73.926458, 40.633297"
1097 E 95 ST,PLAC,Raised,"-73.90364, 40.643742"
1097 MANHATTAN AV,GLTR,Raised,"-73.955223, 40.736066"
1097 PROSPECT PL,PLAC,Raised,"-73.940039, 40.673765"
1097 PUTNAM AV,ULAM,Raised,"-73.918719, 40.688214"
1098 E 51 ST,PLAC,Raised,"-73.927545, 40.634502"
1098 E 52 ST,PLAC,Raised,"-73.926458, 40.633297"
1098 E 54 ST,PLAC,Raised,"-73.924295, 40.631276"
1098 JEFFERSON AV,FRPE,Raised,"-73.915918, 40.688593"
1098 PROSPECT PL,PLAC,Raised,"-73.940175, 40.673772"
1099 E 43 ST,ACPL,Raised,"-73.934663, 40.628181"
1099 E 51 ST,PLAC,Raised,"-73.92752, 40.634288"
1099 E 55 ST,PLAC,Raised,"-73.923257, 40.630352"
1099 GLENWOOD RD,ACPL,Raised,"1.0, 1.0"
1099 JEFFERSON AV,FRPE,Raised,"-73.915784, 40.688731"
11 ABERDEEN ST,PLAC,Raised,"-73.90672, 40.681261"
11 BARTOW ST,TICO,Raised,"-74.139497, 40.554265"
