address,species,sidewalk_condition,location
386 HANCOCK ST,ACPL,Raised,"-73.940373, 40.683646"
386 PACIFIC ST,GLTR,Raised,"-73.985227, 40.686281"
3860 BARNS AV,ACPL,NA,"-73.859087, 40.884234"
3861-069 WHITE PLAINS RD W,GLTR,NA,"-73.861956, 40.885116"
387 11 ST,TICO,Raised,"-73.985521, 40.667113"
387 3 ST,QUPA,Raised,"-73.982486, 40.672411"
387 BEMENT AV,ACRU,Raised,"-74.11177, 40.632541"
387 E 16 ST,QUPA,Raised,"-73.963451, 40.641058"
387 E 96 ST,PLAC,Raised,"-73.91803, 40.658014"
387 FOREST AV,QURU,NA,"-74.101832, 40.631043"
387 HANCOCK ST,QUPA,Raised,"-73.940648, 40.683614"
387 JEFFERSON AV,ACPL,Raised,"-73.942392, 40.684163"
387 MARLBOROUGH RD,PLAC,Raised,"-73.964325, 40.640674"
387 ROLLING HILL GREEN,GLTR,Raised,"-74.19121, 40.551959"
387 UNION ST,PLAC,Raised,"-73.992711, 40.681172"
387 VANSICLEN AV,PYCA,Raised,"-73.889696, 40.670264"
3871 BEDFORD AV,ACPL,Raised,"-73.948094, 40.607642"
388 5 AV,QUPA,Raised,"-73.984853, 40.670915"
388 5 ST,GIBI,Raised,"-73.982635, 40.670791"
388 7 ST,ACPL,Raised,"-73.983286, 40.669416"
388 BADEN PL,ACPL,Raised,"-74.094538, 40.568461"
388 BERGEN ST,GLTR,Raised,"-73.978706, 40.68214"
388 CLINTON AV,GIBI,Raised,"-73.967521, 40.686653"
388 DURANT AV,PLAC,Raised,"-74.13872, 40.551547"
388 E 8 ST,ACSA2,Raised,"-73.971063, 40.640506"
388 E 94 ST,PLAC,Raised,"-73.919814, 40.657157"
388 VANDERBILT AV,PLAC,Raised,"-73.968361, 40.685753"
3881 BRONXWOOD AV,QU,Raised,"-73.856034, 40.883593"
3881 BRONXWOOD AV,AC,Raised,"-73.856034, 40.883593"
3884 SETON AV,AC,Raised,"-73.83634, 40.88868"
389 4 ST,GLTR,Raised,"-73.981253, 40.670969"
389 7 ST,ACPL,Raised,"-73.983425, 40.669484"
389 E 57 ST,ACSA2,Raised,"-73.922991, 40.646188"
389 GOWER ST,PLAC,Raised,"-74.123421, 40.602616"
389 MELBA ST,ACSA1,Raised,"-74.124297, 40.60244"
3898 HYLAN BLVD,ACPL,Raised,"-74.143915, 40.544402"
39 ASCAN AV,QURU,NA,"1.0, 1.0"
39 BASCOM PL,PLAC,Raised,"-74.145336, 40.606806"
39 BRIGHTON 11 ST,ACSA2,Raised,"1.0, 1.0"
39 COLLEGE AV,QUPA,Raised,"-74.122065, 40.622082"
39 CORBIN PL,ACPL,Raised,"-73.954819, 40.580928"
39 CRANFORD ST,PLAC,Raised,"-74.140232, 40.552778"
39 DEVENS ST,LIST,NA,"-74.146068, 40.619095"
39 DOUGLASS ST,PLAC,Raised,"-73.993468, 40.683873"
39 E AUGUSTA AV,PYCA,Raised,"-74.158681, 40.55319"
