address,species,sidewalk_condition,location
33-029 158 ST,ACSA1,NA,"-73.806788, 40.767514"
33-030 107 ST,ACRU,NA,"-73.861813, 40.757296"
33-030 109 ST,PLAC,Raised,"-73.86023, 40.75739"
33-030 163 ST,TICO,NA,"-73.802127, 40.7671"
33-030 34 AV,PLAC,NA,"-73.925404, 40.758806"
33-030 UNION ST,ACPL,NA,"-73.827194, 40.767447"
33-030 UNION ST,ULAM,NA,"-73.827194, 40.767447"
33-031 108 ST,PYCA,NA,"-73.860912, 40.757345"
33-031 109 ST,PLAC,Raised,"-73.86023, 40.75739"
33-031 163 ST,ACSA1,NA,"-73.802127, 40.7671"
33-031 60 ST,ACSA1,Raised,"-73.902259, 40.752978"
33-031 BAY CT,PLAC,Raised,"-73.771643, 40.611842"
33-032 105 ST,ACPL,Raised,"-73.863611, 40.757154"
33-032 88 ST,ACPL,Raised,"-73.879679, 40.755539"
33-032 BAY CT,QUPA,Raised,"-73.771654, 40.611848"
33-033 101 ST,TICO,Raised,"-73.867354, 40.756835"
33-033 106 ST,ACPL,Raised,"-73.862706, 40.757209"
33-033 109 ST,PLAC,Raised,"-73.860215, 40.757361"
33-033 145 PL,TICO,NA,"-73.822188, 40.767999"
33-033 145 PL,ACPL,Raised,"-73.822188, 40.767999"
33-033 159 ST,ACSA1,NA,"-73.805864, 40.767341"
33-033 160 ST,GLTR,NA,"-73.804929, 40.767267"
33-033 88 ST,ACPL,Raised,"-73.879679, 40.755539"
33-033 MOTT AV,UNKNOWN,Raised,"-73.771493, 40.612669"
33-033 MOTT AV,PLAC,Raised,"-73.771493, 40.612669"
33-033 UNION ST,ACPL,NA,"-73.827201, 40.767431"
33-034 109 ST,PLAC,Raised,"-73.8602, 40.757333"
33-034 158 ST,QUPA,NA,"-73.806808, 40.767365"
33-034 158 ST,PYCA,NA,"-73.806808, 40.767365"
33-034 160 ST,ACSA1,NA,"-73.804936, 40.767218"
33-034 34 AV,FRPE,NA,"-73.925372, 40.758791"
33-034 86 ST,ACPL,Raised,"-73.881532, 40.755308"
33-034 UNION ST,QUPA,NA,"-73.827209, 40.767414"
33-035 107 ST,QUPA,Raised,"-73.861802, 40.757232"
33-035 154 ST,ACPL,NA,"-73.810594, 40.767667"
33-035 158 ST,PYCA,NA,"-73.806808, 40.767365"
33-035 158 ST,QUPA,NA,"-73.806808, 40.767365"
33-035 PARSONS BLVD,PLAC,Raised,"-73.82412, 40.767717"
33-036 161 ST,ACSA1,NA,"-73.80401, 40.767096"
33-036 60 ST,TICO,Raised,"-73.902216, 40.752796"
33-036 BAY CT,PLAC,Raised,"-73.771676, 40.61186"
33-037 101 ST,FRPE,Raised,"-73.867341, 40.756764"
33-037 107 ST,LIST,Raised,"-73.861796, 40.757201"
33-037 107 ST,ACRU,NA,"-73.861796, 40.757201"
33-037 163 ST,ACSA1,NA,"-73.802148, 40.76695"
33-037 MOTT AV,PLAC,Raised,"-73.771493, 40.612669"
33-038 158 ST,ACSA1,NA,"-73.806822, 40.767265"
33-038 159 ST,TICO,NA,"-73.805885, 40.767192"
33-038 163 ST,ACSA1,NA,"-73.802155, 40.766899"
33-039 158 ST,ACSA1,NA,"-73.806822, 40.767265"
33-039 159 ST,ACSA1,NA,"-73.805885, 40.767192"
33-039 163 ST,ACSA1,NA,"-73.802155, 40.766899"
33-039 58 ST,ACPL,Raised,"-73.903205, 40.752979"
33-039 80 ST,PLAC,Raised,"-73.887098, 40.754649"
33-039 87 ST,ACPL,Raised,"-73.880591, 40.755333"
33-040 163 ST,ACSA1,NA,"-73.802161, 40.76685"
33-040 59 ST,ACPL,Raised,"-73.902363, 40.752424"
33-041 MOTT AV,GLTR,Raised,"-73.771493, 40.612669"
33-042 171 ST,ACSA1,Raised,"-73.794695, 40.76621"
33-043 102 ST,GLTR,NA,"-73.866426, 40.756746"
33-043 159 ST,QUPA,NA,"-73.805898, 40.767091"
33-043 86 ST,ACPL,Raised,"-73.881505, 40.755162"
33-043 88 ST,ACPL,Raised,"-73.879646, 40.755358"
33-044 104 ST,UNKNOWN,NA,"-73.864474, 40.756892"
33-044 154 ST,PLAC,NA,"-73.810628, 40.767417"
33-044 158 ST,ACPL,NA,"-73.806842, 40.767115"
33-044 86 ST,ACPL,Raised,"-73.881499, 40.755127"
33-045 158 ST,ACSA1,NA,"-73.806842, 40.767115"
33-045 161 ST,ACSA1,NA,"-73.804037, 40.766895"
33-045 172 ST,PLAC,Raised,"-73.793769, 40.766084"
33-046 160 ST,ACSA1,NA,"-73.804977, 40.766919"
33-047 105 ST,SOJA,NA,"-73.863567, 40.756917"
33-047 154 ST,BE,NA,"-73.810635, 40.767368"
33-047 158 ST,ACSA1,NA,"-73.806848, 40.767066"
33-047 163 ST,ACRU,NA,"-73.802182, 40.7667"
33-047 BAY CT,PLAC,Raised,"-73.771733, 40.611889"
33-048 76 ST,TICO,Raised,"-73.890783, 40.754078"
33-050 158 ST,PYCA,NA,"-73.806862, 40.766966"
33-051 80 ST,PLAC,Raised,"-73.887059, 40.754433"
33-052 104 ST,UNKNOWN,NA,"-73.864449, 40.756751"
33-052 160 ST,ACSA1,NA,"-73.804998, 40.766767"
33-052 163 ST,FRPE,NA,"-73.802202, 40.766548"
33-052 UTOPIA PKWY,QUPA,Raised,"-73.792865, 40.76581"
33-053 158 ST,ACSA1,NA,"-73.806869, 40.766914"
33-054 154 ST,ACSA1,NA,"-73.810662, 40.767167"
33-055 163 ST,ACSA1,NA,"-73.802209, 40.766499"
33-057 108 ST,ACPL,NA,"-73.86084, 40.756949"
33-057 158 ST,SOJA,NA,"-73.806882, 40.766816"
33-057 158 ST,QUPA,NA,"-73.806882, 40.766816"
33-058 159 ST,PYCA,NA,"-73.805953, 40.766692"
33-058 163 ST,ACPL,NA,"-73.802223, 40.766399"
33-058 75 ST,ACSA2,Raised,"-73.891682, 40.753798"
33-058 76 ST,ACSA2,Raised,"-73.89075, 40.753897"
33-059 163 ST,ACPL,NA,"-73.802223, 40.766399"
33-060 154 ST,ACPA,NA,"-73.810682, 40.767017"
33-060 161 ST,PLAC,NA,"-73.804092, 40.766496"
33-061 159 ST,PYCA,NA,"-73.80596, 40.766643"
33-061 160 ST,TICO,NA,"-73.805025, 40.766569"
33-061 160 ST,ACSA1,NA,"-73.805025, 40.766569"
33-062 158 ST,ACSA1,NA,"-73.806903, 40.766665"
33-062 159 ST,SOJA,NA,"-73.805967, 40.766592"
33-062 80 ST,PLAC,Raised,"-73.887019, 40.754215"
33-063 159 ST,PYCA,NA,"-73.805967, 40.766592"
33-063 160 ST,ACPS,NA,"-73.805032, 40.766517"
33-067 161 ST,ACSA1,NA,"-73.804112, 40.766346"
33-068 161 ST,AIAL,NA,"-73.804119, 40.766295"
33-069 158 ST,QUPA,NA,"-73.806923, 40.766515"
33-069 158 ST,ACPL,NA,"-73.806923, 40.766515"
33-069 158 ST,ACSA1,NA,"-73.806923, 40.766515"
33-069 159 ST,ACSA1,NA,"-73.805987, 40.766442"
33-070 160 ST,TICO,NA,"-73.805059, 40.766318"
33-070 161 ST,ACSA1,NA,"-73.804126, 40.766246"
33-072 158 ST,ACSA1,NA,"-73.806937, 40.766415"
33-072 158 ST,ACPL,NA,"-73.806937, 40.766415"
33-072 161 ST,ACSA1,NA,"-73.804133, 40.766194"
33-076 158 ST,ACSA1,NA,"-73.806951, 40.766314"
33-076 159 ST,ACRU,NA,"-73.806015, 40.766242"
33-076 159 ST,ACSA1,NA,"-73.806015, 40.766242"
33-076 160 ST,ACSA1,NA,"-73.80508, 40.766166"
33-078 158 ST,ACSA1,NA,"-73.806957, 40.766265"
33-080 161 ST,ACSA1,NA,"-73.80416, 40.765995"
33-081 161 ST,ACPL,NA,"-73.80416, 40.765995"
33-082 159 ST,ACSA1,NA,"-73.806036, 40.766092"
33-082 35 AV,FRPE,NA,"-73.926241, 40.757068"
33-083 156 ST,ACPL,NA,"-73.80883, 40.766312"
330 53 ST,QURU,Raised,"-74.015569, 40.645562"
330 83 ST,PLAC,Raised,"-74.029296, 40.625466"
330 BAY 13 ST,TICO,Raised,"-74.012659, 40.603538"
330 CLIFTON AV,ACPL,Raised,"-74.073553, 40.611635"
330 CLINTON AV,ACRU,Raised,"-73.967849, 40.688302"
330 CROSSBAY BLVD,PLAC,Raised,"-73.82032, 40.613032"
330 E 100 ST,GLTR,NA,"-73.944521, 40.78651"
330 E 18 ST,PLAC,Raised,"-73.961874, 40.643099"
330 E 19 ST,QURU,Raised,"-73.960746, 40.642237"
330 E 19 ST,PLAC,Raised,"-73.960746, 40.642237"
330 E 91 ST,PLAC,Raised,"-73.923671, 40.65731"
330 GREENVALLEY RD,LIST,Raised,"-74.193476, 40.550193"
330 HICKS ST,PYCA,Raised,"-73.997752, 40.691279"
330 HICKS ST,ZESE,Raised,"-73.997752, 40.691279"
