address,species,sidewalk_condition,location
2 KEEGANS LA,ACPL,Raised,"-74.142317, 40.553087"
2 NASSAU AV,PLAC,Raised,"-73.954769, 40.722461"
2 PAERDEGAT 2 ST,PLAC,Raised,"-73.912327, 40.631596"
2 PRESIDENT ST,ACPL,Raised,"-74.137689, 40.604"
2 PURITAN AV,QUPA,Raised,"1.0, 1.0"
2 SIDNEY PL,PLAC,Raised,"-73.994191, 40.692999"
2 UPSHAW RD,QUPA,Raised,"1.0, 1.0"
2 VANDERBILT AV,TICO,Raised,"-74.072576, 40.622567"
2 WILLOW BROOK CT,ACPL,NA,"-74.144486, 40.621581"
2 WILLOW BROOK CT,ACPL,Raised,"-74.144486, 40.621581"
2 WILLOW PL,PLAC,Raised,"-73.99762, 40.693578"
2-012 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-015 26 AV,PLAC,Raised,"-73.934367, 40.776722"
2-022 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-023 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-024 HINCKLEY PL,ACSA2,Raised,"1.0, 1.0"
2-026 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-029 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-029 B 134 ST,PLAC,Raised,"1.0, 1.0"
2-035 B 133 ST,PLAC,NA,"1.0, 1.0"
2-035 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-038 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-038 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-039 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-043 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-044 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-047 B 133 ST,ACPL,NA,"1.0, 1.0"
2-047 B 133 ST,ACRU,Raised,"1.0, 1.0"
2-047 B 134 ST,ACSA2,Raised,"1.0, 1.0"
2-048 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-050 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-051 B 133 ST,PLAC,NA,"1.0, 1.0"
2-053 B 134 ST,PLAC,Raised,"1.0, 1.0"
2-054 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-056 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-059 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-060 B 134 ST,PLAC,Raised,"1.0, 1.0"
2-061 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-063 B 133 ST,ACPL,Raised,"1.0, 1.0"
2-063 B 133 ST,PLAC,Raised,"1.0, 1.0"
2-064 B 134 ST,ACPS,Raised,"1.0, 1.0"
2-091 ONDERDONK AV,GLTR,Raised,"1.0, 1.0"
20 7 AV,PLAC,Raised,"-73.818951, 40.608693"
20 AMSTERDAM PL,ACPL,Raised,"-74.163798, 40.600378"
20 ATLANTIC AV,QUPA,Raised,"-74.09734, 40.59459"
20 BAYRIDGE PL,ACRU,Raised,"-74.028091, 40.635808"
20 BERRY ST,PLAC,Raised,"-73.955534, 40.721861"
20 BLEECKER ST,ACPL,Raised,"-73.923152, 40.693157"
20 CATHERINE SLIP,QUPA,Raised,"-73.99629, 40.709627"
20 CLAY ST,PLAC,Raised,"-73.957758, 40.736345"
20 CORNELIA ST,ULAM,Raised,"-73.917822, 40.687842"
20 DEVENS ST,LIST,NA,"-74.14541, 40.61907"
20 DUER LA,PLAC,Raised,"-74.089953, 40.6323"
20 FT GREENE PL,PLAC,Raised,"-73.976994, 40.689207"
20 GRYMES HILL RD,PLAC,Raised,"-74.089423, 40.623414"
20 HOME PL,ACPL,Raised,"-74.145443, 40.618219"
20 HOWARD CT,PLAC,Raised,"-74.112431, 40.641311"
20 INGRAM ST,PLAC,Raised,"1.0, 1.0"
20 JOYCE ST,ACSA1,Raised,"-74.095609, 40.584676"
20 KARWEG PL,ULAM,Raised,"-73.867574, 40.687682"
20 KARWEG PL,ACPL,Raised,"-73.867574, 40.687682"
20 KEATS ST,ACRU,Raised,"-74.14213, 40.552118"
20 LAUREL HILL TER,PLAC,Raised,"-73.929324, 40.848652"
20 LINDEN ST,ACPL,Raised,"-74.106584, 40.64128"
20 LYON PL,PLAC,NA,"-74.147852, 40.617716"
20 MIDDLELOOP RD,PLAC,NA,"-74.161667, 40.555039"
20 MIDWOOD ST,PYCA,Raised,"-73.959929, 40.659535"
20 MOTLEY AV,PLAC,Raised,"-74.113332, 40.608173"
20 NATICK ST,PLAC,Raised,"-74.131557, 40.571376"
20 PARK PL,PLAC,Raised,"-73.977637, 40.67944"
20 PILCHER ST,SOJA,Raised,"-74.141336, 40.594467"
20 SHARON LA,ACRU,Raised,"-74.216635, 40.535807"
20 STEPHENS CT,ACPL,Raised,"-73.955319, 40.63861"
20 STERLING AV,PLAC,Raised,"-74.115652, 40.570117"
20 TRENT ST,PLAC,Raised,"-74.14071, 40.551172"
20 WALLACE AV,GIBI,NA,"1.0, 1.0"
20 WEIRFIELD ST,GLTR,Raised,"-73.915571, 40.686557"
20 WHITE PL,ACRU,NA,"-74.124275, 40.632724"
20-000 47 ST,TICO,Raised,"-73.897392, 40.77339"
20-000 47 ST,SOJA,Raised,"-73.897392, 40.77339"
20-002 43 ST,ACSA2,Raised,"-73.89958, 40.774872"
20-002 46 ST,AIAL,Raised,"-73.898142, 40.773867"
20-002 CROSSBAY BLVD,PLAC,Raised,"-73.820689, 40.598861"
20-003 31 ST,PLAC,Raised,"-73.906376, 40.779691"
20-004 27 ST,ACPL,Raised,"-73.908789, 40.781303"
20-005 124 ST,TICO,Raised,"-73.844121, 40.781642"
20-005 36 ST,ACSA1,Raised,"-73.90396, 40.77782"
20-005 46 ST,ACSA1,Raised,"-73.898196, 40.773822"
20-007 27 ST,ACPL,Raised,"-73.908831, 40.781269"
20-007 36 ST,ACSA1,Raised,"-73.904035, 40.777759"
20-007 45 ST,ACSA1,Raised,"-73.898979, 40.774271"
20-008 46 ST,ACSA1,Raised,"-73.89829, 40.773745"
20-009 74 ST,GLTR,Raised,"-73.895808, 40.771294"
20-011 SHORE BLVD,ACPL,Raised,"-73.915468, 40.785653"
20-014 35 AV,PLAC,Raised,"-73.905007, 40.778055"
20-016 120 ST,ACSA1,Raised,"-73.847777, 40.781418"
20-016 35 AV,ACSA1,Raised,"-73.905075, 40.778"
20-016 46 ST,ACSA1,Raised,"-73.898488, 40.773584"
20-017 LINDEN ST,ACPL,Raised,"-73.905785, 40.707004"
20-018 45 ST,ACSA1,Raised,"-73.89946, 40.773879"
20-019 42 ST,ACSA1,Raised,"-73.900791, 40.774967"
20-021 45 ST,ACSA1,Raised,"-73.89938, 40.773944"
20-023 26 ST,PLAC,Raised,"-73.90986, 40.781474"
