address,species,sidewalk_condition,location
2290 ESPLANADE AV,ACSA1,Raised,"-73.85492, 40.859603"
2291 HYLAN BLVD,PLAC,NA,"-74.105269, 40.574933"
2295 E 22 ST,PLAC,Raised,"-73.948615, 40.595211"
2295 E 24 ST,PLAC,Raised,"-73.946762, 40.595421"
2295 E 26 ST,ACPL,Raised,"-73.944839, 40.595634"
2295 E 28 ST,ACPL,Raised,"-73.942984, 40.595839"
2295 OCEAN PKWY,ALJU,Raised,"-73.964663, 40.593472"
2296 E 22 ST,PLAC,Raised,"-73.948607, 40.595167"
2296 E 23 ST,PLAC,Raised,"-73.947678, 40.595271"
2296 E 26 ST,ACPL,Raised,"-73.94483, 40.595585"
2296 ROYAL ST,QUPA,Raised,"1.0, 1.0"
229A WYCKOFF ST,PLAC,Raised,"-73.985224, 40.683849"
23 77 ST,PLAC,Raised,"-74.03683, 40.632029"
23 ALMOND ST,QUPA,Raised,"-74.188747, 40.549859"
23 ARTHUR KILL RD,ACRU,NA,"-74.146024, 40.572048"
23 ASCAN AV,QURU,Raised,"1.0, 1.0"
23 BANCROFT AV,PLAC,Raised,"-74.114032, 40.578752"
23 BARTOW ST,PLAC,Raised,"-74.139189, 40.55401"
23 BAY 17 ST,QUPH,Raised,"-74.003889, 40.607245"
23 BERKELEY ST,ACRU,Raised,"-74.165311, 40.539459"
23 BERKELEY ST,ACSA1,Raised,"-74.165311, 40.539459"
23 CLARA ST,PLAC,Raised,"-73.981449, 40.643993"
23 CLIFTON AV,GLTR,Raised,"-74.064754, 40.615919"
23 CLIFTON PL,FRPE,Raised,"-73.963513, 40.687724"
23 DAKOTA PL,ACSA1,Raised,"-74.131812, 40.616307"
23 DEVENS ST,LIST,NA,"-74.145542, 40.619075"
23 DONALD PL,ACSA1,Raised,"-74.106725, 40.640497"
23 DONGAN ST,ACPL,NA,"-74.124541, 40.636988"
23 E 40 ST,ACPL,Raised,"-73.940471, 40.655426"
23 E 95 ST,PLAC,Raised,"-73.926898, 40.664626"
23 E AUGUSTA AV,ACPL,NA,"-74.158141, 40.553261"
23 ESCANABA AV,QUPA,NA,"-74.158911, 40.548858"
23 EVERGREEN AV,QUPA,Raised,"-74.091905, 40.593484"
23 HARVEY AV,ACSA1,Raised,"-74.139028, 40.612325"
23 HETT AV,ACPL,Raised,"-74.101346, 40.565408"
23 JAFFE ST,ACSA1,NA,"-74.147706, 40.62027"
23 JAFFE ST,QUPA,NA,"-74.147706, 40.62027"
23 KEATS ST,LIST,Raised,"-74.142282, 40.552006"
23 KINGS PL,ACPL,Raised,"-73.974977, 40.603917"
23 LANDER AV,PLAC,Raised,"-74.159515, 40.613141"
23 MAPLEWOOD AV,PLAC,Raised,"-74.13237, 40.572512"
23 MAYBURY CT,ACPL,Raised,"-74.135336, 40.552743"
23 NICHOLS AV,PLAC,Raised,"-73.869993, 40.690145"
23 OCEAN TER,FRPE,Raised,"-74.119744, 40.601815"
23 OLIVER PL,PLAC,Raised,"-74.1663, 40.612828"
23 PALM CT,LIST,Raised,"-73.946647, 40.660371"
23 PROSPECT PL,ACPL,Raised,"-73.976995, 40.679991"
23 SELDIN AV,PLAC,Raised,"-74.160343, 40.614647"
23 STANLEY CIR,PLAC,NA,"-74.162231, 40.552836"
23 STORY ST,ACPL,Raised,"-73.981523, 40.642485"
23 TAFT CT,ACSA1,Raised,"-74.136144, 40.603054"
23 TOWNSEND AV,TICO,Raised,"-74.072421, 40.620934"
23 TROSSACH RD,PLAC,Raised,"-74.08613, 40.627977"
23 TURNER PL,ACPS,Raised,"-73.971095, 40.645256"
23 VICTORIA DR,ACSA1,Raised,"-74.194581, 40.549145"
23 WALLACE AV,GIBI,NA,"1.0, 1.0"
