address,species,sidewalk_condition,location
49-024 UTOPIA PKWY,ACPL,Raised,"-73.792468, 40.746001"
49-026 166 ST,PLAC,Raised,"-73.801821, 40.748537"
49-027 164 ST,QUPA,Raised,"-73.802873, 40.748567"
49-027 166 ST,ACRU,Raised,"-73.801821, 40.748537"
49-027 167 ST,ACRU,Raised,"-73.800883, 40.748511"
49-027 WEEKS LA,ACSA1,Raised,"-73.781351, 40.750353"
49-028 168 ST,ACPS,Raised,"-73.799951, 40.748456"
49-028 169 ST,QUPA,Raised,"-73.799037, 40.748219"
49-030 166 ST,PLAC,Raised,"-73.80183, 40.748469"
49-031 169 ST,ACSA1,Raised,"-73.799042, 40.748181"
49-032 168 ST,ACPS,Raised,"-73.799958, 40.748402"
49-033 164 ST,QUPA,Raised,"-73.802886, 40.748452"
49-034 166 ST,ACRU,Raised,"-73.801839, 40.748401"
49-035 168 ST,ACPL,Raised,"-73.799962, 40.748375"
49-036 168 ST,ACPL,Raised,"-73.799966, 40.748349"
49-038 170 ST,QUPA,Raised,"-73.798058, 40.748048"
49-039 164 ST,QUPA,Raised,"-73.802899, 40.74834"
49-039 168 ST,ACPL,Raised,"-73.799969, 40.748321"
49-040 168 ST,ACRU,Raised,"-73.799973, 40.748294"
49-040 169 ST,QUPA,Raised,"-73.799067, 40.747991"
49-041 UTOPIA PKWY,QUPH,Raised,"-73.792502, 40.745534"
49-043 167 ST,ACRU,Raised,"-73.800916, 40.748266"
49-043 167 ST,ACPL,Raised,"-73.800916, 40.748266"
49-043 168 ST,ACPS,Raised,"-73.799977, 40.748266"
49-044 167 ST,QURU,Raised,"-73.800919, 40.748236"
49-044 175 PL,ACPL,Raised,"-73.793532, 40.745201"
49-044 175 PL,QUPA,Raised,"-73.793532, 40.745201"
49-044 UTOPIA PKWY,QUPA,Raised,"-73.792506, 40.74549"
49-045 164 ST,QUPA,Raised,"-73.802913, 40.748227"
49-047 166 ST,ACSA1,Raised,"-73.801866, 40.748198"
49-048 167 ST,ACRU,Raised,"-73.800928, 40.748174"
49-048 169 ST,ACRU,Raised,"-73.799087, 40.747837"
49-051 175 PL,ACPL,Raised,"-73.793538, 40.745124"
49-053 169 ST,ACSA1,Raised,"-73.799098, 40.747761"
49-053 FR MEADOW LA,QUPA,Raised,"1.0, 1.0"
49-055 164 ST,QUPA,Raised,"-73.802935, 40.748038"
49-058 HORATIO PKWY,ACSA1,Raised,"-73.754041, 40.758471"
49-059 168 ST,ACRU,Raised,"-73.800006, 40.748049"
49-060 169 ST,QUPA,Raised,"-73.799118, 40.747609"
49-063 168 ST,ACRU,Raised,"-73.800013, 40.747995"
49-066 UTOPIA PKWY,QUPA,Raised,"-73.792545, 40.745052"
