address,species,sidewalk_condition,location
88-037 75 ST,ACPL,NA,"-73.865838, 40.688508"
88-037 80 ST,QUPA,NA,"-73.861486, 40.689288"
88-037 81 AV,PLAC,Raised,"-73.858804, 40.704429"
88-037 85 ST,ULAM,Raised,"-73.858096, 40.689829"
88-037 87 ST,PLAC,Raised,"-73.856476, 40.69055"
88-037 OLCOTT ST,PLAC,NA,"1.0, 1.0"
88-038 191 ST,UNKNOWN,Raised,"-73.770801, 40.715519"
88-038 69 AV,PLAC,NA,"-73.855477, 40.711637"
88-038 78 AV,TICO,NA,"-73.860059, 40.706357"
88-038 78 AV,ACPL,NA,"-73.860059, 40.706357"
88-038 OLCOTT ST,PLAC,NA,"1.0, 1.0"
88-038 UNION TPKE,PLAC,Raised,"-73.859397, 40.70508"
88-039 79 AV,ULAM,NA,"-73.860028, 40.705712"
88-039 80 ST,ACRU,NA,"-73.861481, 40.689269"
88-040 79 AV,ACPL,NA,"-73.859995, 40.705726"
88-040 81 AV,ACPL,Raised,"-73.858717, 40.704468"
88-040 GETTYSBURG ST,PLAC,Raised,"-73.730958, 40.729663"
88-041 212 PL,ACPL,NA,"-73.752763, 40.724651"
88-041 212 ST,ACPL,Raised,"-73.753487, 40.72421"
88-041 75 ST,FRPE,NA,"-73.865822, 40.68844"
88-041 80 ST,QUPA,NA,"-73.861477, 40.68925"
88-042 209 ST,GIBI,Raised,"-73.756811, 40.721874"
88-042 209 ST,PLAC,Raised,"-73.756811, 40.721874"
88-042 210 ST,ACPL,Raised,"-73.755783, 40.722051"
88-042 78 AV,SOJA,NA,"-73.859954, 40.706404"
88-042 78 AV,ACPL,NA,"-73.859954, 40.706404"
88-042 79 AV,TICO,NA,"-73.85996, 40.705741"
88-042 UNION TPKE,PLAC,Raised,"-73.85932, 40.705114"
88-042 VANDEVEER ST,ACPL,NA,"1.0, 1.0"
88-043 201 ST,ACPL,Raised,"-73.762289, 40.718992"
88-043 213 ST,ACSA1,Raised,"-73.751996, 40.725062"
88-043 75 ST,ACPL,NA,"-73.865815, 40.688405"
88-043 76 ST,ULAM,NA,"-73.864953, 40.688648"
88-043 79 AV,ULAM,NA,"-73.85996, 40.705741"
88-043 80 ST,QUPA,NA,"-73.861473, 40.689231"
88-043 81 AV,PLAC,Raised,"-73.858672, 40.704487"
88-044 213 ST,ACPL,NA,"-73.751968, 40.725039"
88-044 74 PL,ACPL,NA,"-73.866515, 40.687916"
88-044 75 ST,QUPA,NA,"-73.865807, 40.688371"
88-044 78 AV,SOJA,NA,"-73.859901, 40.706428"
88-044 78 AV,ACPL,NA,"-73.859901, 40.706428"
88-044 81 AV,AIAL,Raised,"-73.85863, 40.704506"
88-044 87 ST,PLAC,Raised,"-73.85644, 40.69045"
88-044 GETTYSBURG ST,ACSA2,Raised,"-73.730976, 40.729615"
88-044 VANDEVEER ST,PLAC,Raised,"1.0, 1.0"
88-045 208 ST,ACSA1,Raised,"-73.757449, 40.72139"
88-045 214 ST,FRPE,NA,"-73.751135, 40.725484"
88-045 89 AV,ACSA1,NA,"-73.855025, 40.690103"
88-045 VANDEVEER ST,PLAC,NA,"1.0, 1.0"
88-045 VANDEVEER ST,PLAC,Raised,"1.0, 1.0"
88-046 210 ST,UNKNOWN,Raised,"-73.755757, 40.722015"
88-046 78 AV,ACSA1,Raised,"-73.85985, 40.706451"
88-047 213 ST,PYCA,NA,"-73.751941, 40.725016"
88-047 76 ST,GLTR,NA,"-73.864937, 40.688574"
88-047 81 AV,PLAC,Raised,"-73.858587, 40.704525"
88-048 186 ST,ACPS,Raised,"-73.775733, 40.713793"
88-048 207 ST,TICO,Raised,"-73.758107, 40.720833"
88-048 212 PL,PLAC,NA,"-73.752648, 40.724556"
88-048 213 ST,ACPL,Raised,"-73.751912, 40.724991"
88-048 247 ST,ACPL,Raised,"-73.721059, 40.72798"
88-048 76 ST,ACSA1,NA,"-73.864928, 40.688535"
88-048 78 AV,ACSA1,NA,"-73.859797, 40.706474"
88-048 78 AV,ACPL,NA,"-73.859797, 40.706474"
88-048 81 AV,ACPL,Raised,"-73.858543, 40.704544"
88-048 81 AV,ACPS,Raised,"-73.858543, 40.704544"
88-048 UNION TPKE,PLAC,Raised,"-73.859205, 40.705165"
88-049 185 ST,ACSA1,Raised,"-73.77665, 40.713568"
88-049 212 PL,ACPL,NA,"-73.752648, 40.724556"
88-049 76 ST,GIBI,NA,"-73.864928, 40.688535"
88-049 81 AV,PLAC,Raised,"-73.858543, 40.704544"
88-050 213 ST,ACPL,NA,"-73.751884, 40.724968"
88-050 ATLANTIC AV,QUPA,Raised,"-73.853559, 40.686809"
88-051 75 ST,TICO,NA,"-73.865783, 40.68827"
88-051 76 ST,PLAC,Raised,"-73.86492, 40.688498"
88-052 212 ST,ACPL,NA,"-73.753313, 40.724069"
88-052 F LEWIS BLVD,ACPL,Raised,"1.0, 1.0"
88-052 UNION TPKE,PLAC,Raised,"-73.859128, 40.705199"
88-054 204 ST,PLAC,Raised,"-73.760529, 40.719515"
