address,species,sidewalk_condition,location
1879 E 38 ST,PLAC,Raised,"-73.932098, 40.612669"
1879 STUART ST,ACPS,Raised,"-73.93984, 40.607235"
1879 W 3 ST,ACSA2,Raised,"-73.975615, 40.601922"
188 ASCAN AV,ACSA2,NA,"1.0, 1.0"
188 BARD AV,ACPL,Raised,"-74.107698, 40.64025"
188 COOPER ST,PLAC,Raised,"-73.906346, 40.688801"
188 CORNELIA ST,PLAC,Raised,"-73.913699, 40.692046"
188 DAHLIA ST,FRPE,NA,"-74.200435, 40.547274"
188 DONGAN ST,ACPL,NA,"-74.123991, 40.632828"
188 E 205 ST,GLTR,NA,"-73.884589, 40.875057"
188 E 53 ST,ACSA2,Raised,"-73.927852, 40.655494"
188 FREMONT AV,PLAC,Raised,"-74.107649, 40.577954"
188 FREMONT AV,PLAC,NA,"-74.107649, 40.577954"
188 HARRISON PL,ACSA1,Raised,"-74.113342, 40.640456"
188 HERING AV,QUPA,Raised,"1.0, 1.0"
188 LANDER AV,PLAC,Raised,"-74.165326, 40.614026"
188 MAJOR AV,ACSA1,Raised,"-74.068759, 40.598815"
188 MOFFAT ST,FRPE,Raised,"-73.906139, 40.687816"
188 PAULDING AV,QUPA,Raised,"-74.169062, 40.60892"
188 STOBE AV,PLAC,NA,"-74.099394, 40.582939"
188 WOODWARD AV,TICO,Raised,"-74.142956, 40.606271"
188 WYONA ST,PLAC,Raised,"-73.893573, 40.674437"
188-001 89 AV,ACSA1,Raised,"-73.772727, 40.713879"
188-002 MANGIN AV,ACSA1,Raised,"-73.766949, 40.699109"
188-002 MANGIN AV,QUPA,Raised,"-73.766949, 40.699109"
188-003 188 ST,ACSA1,Raised,"-73.773543, 40.715077"
188-003 HILLBURN AV,PLAC,Raised,"-73.767417, 40.702599"
188-004 104 AV,TICO,Raised,"-73.769065, 40.70602"
188-004 ABERDEEN RD,ACPL,Raised,"-73.779507, 40.725828"
188-004 ILLION AV,ACPL,Raised,"-73.767511, 40.701137"
188-005 MANGIN AV,PLAC,Raised,"-73.766928, 40.699134"
188-006 42 AV,PLAC,Raised,"-73.793152, 40.759156"
188-008 121 AV,SOJA,NA,"-73.759104, 40.685676"
188-008 121 AV,QUPA,NA,"-73.759104, 40.685676"
188-011 42 AV,PLAC,Raised,"-73.793116, 40.759159"
188-011 ILLION AV,PLAC,Raised,"-73.767431, 40.701229"
188-012 114 DR,ACPL,Raised,"-73.766433, 40.697183"
188-013 120 RD,ACSA1,Raised,"-73.760538, 40.685998"
188-015 121 AV,QUPA,NA,"-73.759481, 40.685537"
188-015 RADNOR RD,ACPL,Raised,"-73.777708, 40.724278"
188-015 RADNOR RD,PLAC,Raised,"-73.777708, 40.724278"
188-017 ILLION AV,PLAC,Raised,"-73.76735, 40.701322"
188-018 104 AV,ACSA1,Raised,"-73.768937, 40.706041"
188-019 RIDGEDALE AV,ACSA1,Raised,"-73.753506, 40.681521"
188-020 121 AV,ACSA1,Raised,"-73.759009, 40.685711"
188-020 LUDLUM AV,ACSA1,Raised,"-73.768627, 40.705005"
188-021 121 AV,PLAC,NA,"-73.759264, 40.685616"
188-026 119 AV,ACPL,Raised,"-73.761612, 40.688351"
188-027 120 AV,PLAC,Raised,"-73.760544, 40.68668"
188-030 JORDAN AV,PLAC,Raised,"-73.766474, 40.701098"
188-033 RIDGEDALE AV,ACPL,Raised,"-73.753476, 40.681616"
188-039 ILLION AV,PLAC,Raised,"-73.767054, 40.701662"
188-048 MANGIN AV,ACSA1,Raised,"-73.766495, 40.699675"
188-053 QUENCER RD,PLAC,Raised,"-73.765032, 40.695632"
188-057 120 RD,ACRU,Raised,"-73.759241, 40.686433"
188-075 AVON RD,ACPL,Raised,"-73.775942, 40.724744"
1880 19 AV,ACRU,Raised,"1.0, 1.0"
1880 55 ST,ACPL,Raised,"-73.982584, 40.62379"
1880 BATCHELDER ST,ACPS,Raised,"-73.939979, 40.605844"
1881 W 5 ST,PLAC,Raised,"-73.977473, 40.601711"
1881 W 6 ST,PLAC,Raised,"-73.978472, 40.601601"
1882 E 51 ST,ACPL,Raised,"-73.92537, 40.614299"
1882 STUART ST,ACPS,Raised,"-73.939796, 40.607195"
1883 54 ST,PLAC,Raised,"-73.981951, 40.624321"
1883 59 ST,PLAC,Raised,"-73.984857, 40.621521"
1883 E 51 ST,PLAC,Raised,"-73.925364, 40.614244"
1883 STUART ST,ACPS,Raised,"-73.939754, 40.607157"
1884 HARING ST,PLAC,Raised,"-73.941837, 40.605539"
1886 54 ST,PLAC,Raised,"-73.981863, 40.624268"
