address,species,sidewalk_condition,location
1711 GARFIELD ST,PYCA,Raised,"-73.868178, 40.84266"
1711 MADISON ST,ACPL,NA,"-73.907229, 40.700933"
1711 NEWKIRK AV,PRSU,Raised,"-73.961478, 40.636418"
1711 NEWKIRK AV,GLTR,Raised,"-73.961478, 40.636418"
1711 PALMETTO ST,FRPE,NA,"-73.908713, 40.701812"
1711 PRESIDENT ST,PLAC,Raised,"-73.930329, 40.666964"
1711 PUTNAM AV,ACSA1,NA,"-73.906448, 40.700459"
1711 RADCLIFF AV,ULAM,Raised,"-73.85618, 40.84657"
1711 TROY AV,PLAC,Raised,"-73.933935, 40.630531"
1711 WHITE PLAINS RD W,GIBI,NA,"-73.865653, 40.843933"
1711 WOODBINE ST,ACPL,NA,"-73.907971, 40.701373"
17111 MADISON ST,ACPL,NA,"-73.903046, 40.705031"
1712 DITMAS AV,TICO,Raised,"-73.961755, 40.637988"
1712 MADISON ST,ACPL,NA,"-73.907206, 40.700955"
1712 MATTHEWS AV,ULAM,Raised,"-73.861425, 40.8453"
1712 TROY AV,PYCA,Raised,"-73.933935, 40.630531"
1712 VAN BURNE ST,GLTR,NA,"-73.870283, 40.841354"
1712 WHITE PLAINS RD W,GIBI,NA,"-73.865663, 40.843961"
1712 WOODBINE ST,ACPL,NA,"-73.907949, 40.701394"
1713 1 AV,UNKNOWN,Raised,"-73.94812, 40.778595"
1713 E 52 ST,PLAC,Raised,"-73.924787, 40.617608"
1713 FILLMORE ST,ACPS,Raised,"-73.86751, 40.843119"
1713 GARFIELD ST,PYCA,Raised,"-73.868209, 40.842689"
1713 MADISON ST,ACPL,NA,"-73.907206, 40.700955"
1713 PALMETTO ST,FRPE,NA,"-73.908691, 40.701834"
1713 PUTNAM AV,ACSA1,NA,"-73.906427, 40.700482"
1713 RALPH AV,LIST,Raised,"-73.918919, 40.635102"
1713 RALPH AV,QUPA,Raised,"-73.918919, 40.635102"
1713 ROCKAWAY PKWY,PLAC,Raised,"-73.896224, 40.639668"
1713 WOODBINE ST,ACPL,NA,"-73.907949, 40.701394"
1714 ASTOR AV,QURU,Raised,"-73.836588, 40.858977"
1714 COLEMAN ST,PLAC,Raised,"-73.932925, 40.616719"
1714 CROTONA AV,ACPL,Raised,"-73.895144, 40.840549"
1714 GARFIELD ST,PYCA,Raised,"-73.868241, 40.84272"
1714 MADISON ST,ACPL,NA,"-73.907183, 40.700978"
1714 PALMETTO ST,FRPE,NA,"-73.908687, 40.701838"
1714 PRESIDENT ST,ACPL,Raised,"-73.930243, 40.66696"
1714 TAYLOR AV,ACPL,NA,"-73.868945, 40.842285"
1714 WOODBINE ST,ACPL,NA,"-73.907925, 40.701417"
1715 48 ST,PLAC,Raised,"-73.982128, 40.629904"
1715 53 ST,ACPL,Raised,"-73.985061, 40.627127"
1715 ASTOR AV,QURU,Raised,"-73.836588, 40.858977"
1715 Avenue T,GLTR,Raised,"-73.954794, 40.601312"
1715 BUSSING AV,GLTR,Raised,"-73.852057, 40.89312"
1715 DORCHESTER RD,ACPL,Raised,"-73.962144, 40.640167"
1715 HENDRICKSON ST,ACSA1,Raised,"-73.932209, 40.617182"
1715 MADISON ST,ACPL,NA,"-73.907183, 40.700978"
1715 NEWKIRK AV,PRSU,Raised,"-73.961443, 40.636435"
1715 OUR LADY OF SOLACE,ACSA2,Raised,"1.0, 1.0"
1715 PALMETTO ST,FRPE,NA,"-73.908667, 40.701857"
1715 PUTNAM AV,ACSA1,NA,"-73.906404, 40.700506"
1716 ADAMS ST,ACRU,Raised,"-73.870843, 40.840717"
1716 BUSSING AV,GLTR,Raised,"-73.85167, 40.893314"
1716 E 52 ST,PYCA,Raised,"-73.924782, 40.617558"
1716 E 54 ST,PLAC,Raised,"-73.922628, 40.61566"
1716 GARFIELD ST,PYCA,Raised,"-73.868272, 40.842749"
1716 MADISON ST,ACPL,NA,"-73.907161, 40.701"
1716 PALMETTO ST,TICO,NA,"-73.908664, 40.70186"
1716 W 2 ST,ACSA1,Raised,"-73.975451, 40.606033"
1717 E 48 ST,QUPA,Raised,"-73.928794, 40.618598"
1717 FILLMORE ST,ACPL,Raised,"-73.867573, 40.843179"
1717 GARFIELD ST,PYCA,Raised,"-73.868272, 40.842749"
1717 MADISON ST,ACPL,NA,"-73.907161, 40.701"
1717 PRESIDENT ST,ACPL,Raised,"-73.930098, 40.666952"
1717 PUTNAM AV,ACSA1,NA,"-73.906382, 40.700528"
1717 RALPH AV,ZESE,Raised,"-73.91891, 40.635017"
1717 ROCKAWAY PKWY,PLAC,Raised,"-73.89614, 40.639592"
1717 VICTOR ST,GIBI,NA,"-73.866405, 40.843863"
1718 PALMETTO ST,TICO,NA,"-73.90864, 40.701883"
1718 W 1 ST,ACRU,Raised,"-73.974511, 40.606057"
1718 W 3 ST,PLAC,Raised,"-73.976346, 40.605756"
1718 WOODBINE ST,TICO,NA,"-73.907879, 40.701462"
1719 Avenue K,QUPA,Raised,"-73.95886, 40.623021"
1719 E 52 ST,PLAC,Raised,"-73.924771, 40.617458"
1719 MADISON ST,AIAL,NA,"-73.907137, 40.701023"
1719 PALMETTO ST,TICO,NA,"-73.908621, 40.701902"
1719 PRESIDENT ST,PLAC,Raised,"-73.930023, 40.666948"
1719 PUTNAM AV,ACSA1,NA,"-73.90636, 40.700552"
1719 VANNEST AV,UNKNOWN,Raised,"1.0, 1.0"
1719 WOODBINE ST,PYCA,NA,"-73.907879, 40.701462"
171A COOPER ST,FRPE,Raised,"-73.906599, 40.688542"
172 12 ST,GLTR,Raised,"-73.991681, 40.669246"
172 AMITY ST,PLAC,Raised,"-73.99418, 40.688688"
172 ARDMORE AV,TICO,Raised,"-74.138887, 40.607001"
172 CLERMONT AV,SOJA,Raised,"-73.970747, 40.6926"
172 CLINTON B FISK AV,ACSA1,Raised,"1.0, 1.0"
172 COLON AV,ACPL,NA,"-74.155414, 40.553466"
172 E 205 ST,GLTR,NA,"-73.885247, 40.875192"
