address,species,sidewalk_condition,location
95-021 112 ST,ACPL,Raised,"-73.832839, 40.690289"
95-021 114 ST,ACPL,Raised,"-73.831125, 40.690734"
95-021 117 ST,ACPS,Raised,"-73.828748, 40.691643"
95-021 125 ST,ACPL,Raised,"-73.821985, 40.693562"
95-021 127 ST,ACPL,Raised,"-73.820224, 40.694062"
95-021 68 AV,GLTR,Raised,"-73.854287, 40.717728"
95-021 88 ST,ACPL,NA,"-73.853253, 40.685175"
95-021 97 AV,ACPL,NA,"-73.845906, 40.686213"
95-022 103 ST,ACPL,NA,"-73.841187, 40.688579"
95-022 105 ST,ACPL,NA,"-73.839425, 40.689078"
95-022 110 ST,ACPL,NA,"-73.834691, 40.689684"
95-022 120 ST,TICO,Raised,"-73.826015, 40.692392"
95-023 105 ST,ACPL,Raised,"-73.839425, 40.689078"
95-023 107 ST,SOJA,NA,"-73.837667, 40.68958"
95-023 108 ST,ACSA1,NA,"-73.836788, 40.689831"
95-023 110 ST,ACPL,NA,"-73.834691, 40.689684"
95-023 118 ST,ACPL,Raised,"-73.827906, 40.691855"
95-023 224 ST,LIST,Raised,"-73.73048, 40.720126"
95-023 93 ST,ACPL,Raised,"-73.848933, 40.686376"
95-023 94 ST,ACPL,Raised,"-73.848053, 40.68663"
95-023 94 ST,ACPS,NA,"-73.848053, 40.68663"
95-023 94 ST,UNKNOWN,NA,"-73.848053, 40.68663"
95-023 97 AV,TICO,NA,"-73.845882, 40.686219"
95-024 103 ST,UNKNOWN,NA,"-73.841175, 40.688555"
95-024 109 ST,UNKNOWN,NA,"-73.835895, 40.690055"
95-024 110 ST,PLAC,NA,"-73.834669, 40.689634"
95-024 116 ST,PLAC,Raised,"-73.829402, 40.691051"
95-024 90 ST,ACPS,NA,"-73.851544, 40.685608"
95-025 105 ST,ACPL,NA,"-73.839413, 40.689054"
95-025 108 ST,ACPL,NA,"-73.836776, 40.689807"
95-025 118 ST,TICO,Raised,"-73.827894, 40.691831"
95-025 127 ST,TICO,Raised,"-73.8202, 40.694014"
95-025 89 ST,ACPL,Raised,"-73.852385, 40.685368"
95-025 QUEENS BLVD,PLAC,NA,"-73.864168, 40.730698"
95-026 106 ST,ACPL,NA,"-73.838523, 40.689286"
95-026 107 ST,ACPL,NA,"-73.837644, 40.689534"
95-026 125 ST,ACPL,Raised,"-73.82195, 40.693491"
95-026 88 ST,ACPL,NA,"-73.853219, 40.685106"
95-026 94 ST,ACPS,NA,"-73.84803, 40.686583"
95-027 107 ST,TICO,NA,"-73.837644, 40.689534"
95-027 108 ST,UNKNOWN,NA,"-73.836765, 40.689784"
95-027 129 ST,ACSA2,Raised,"-73.819267, 40.694254"
95-027 88 ST,ACPL,Raised,"-73.853219, 40.685106"
95-029 106 ST,ACPL,NA,"-73.838512, 40.689262"
95-029 109 ST,ACPL,NA,"-73.835872, 40.690009"
95-029 110 ST,ACPL,NA,"-73.834624, 40.689536"
95-029 125 ST,ACPL,Raised,"-73.821938, 40.693467"
95-030 106 ST,ACPL,NA,"-73.838501, 40.689239"
95-030 108 ST,ACPL,NA,"-73.836742, 40.689737"
95-030 108 ST,AIAL,NA,"-73.836742, 40.689737"
95-030 109 ST,ACPL,NA,"-73.835861, 40.689986"
95-030 114 ST,PLAC,Raised,"-73.831004, 40.690488"
95-030 89 ST,ACPL,Raised,"-73.852351, 40.685299"
95-030 97 AV,QURU,NA,"-73.845782, 40.686247"
95-030 97 AV,PYCA,NA,"-73.845782, 40.686247"
95-030 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
95-031 109 ST,ACPL,NA,"-73.835861, 40.689986"
95-031 WOODHAVEN BLVD,QUPA,NA,"-73.84733, 40.686693"
95-033 109 ST,ACSA2,NA,"-73.835849, 40.689962"
