address,species,sidewalk_condition,location
150-061 115 DR,ACPL,Raised,"-73.791113, 40.683996"
150-061 116 AV,PLAC,Raised,"-73.790881, 40.683326"
150-062 76 RD,UNKNOWN,Raised,"-73.813704, 40.723701"
150-062 87 AV,ACPL,NA,"-73.805326, 40.708641"
150-062 87 RD,UNKNOWN,NA,"-73.804776, 40.707957"
150-063 116 AV,ACSA1,Raised,"-73.790821, 40.68335"
150-064 77 RD,ACPL,Raised,"-73.812979, 40.722381"
150-064 86 AV,ACPL,NA,"-73.805929, 40.709213"
150-064 87 AV,ACPL,NA,"-73.805265, 40.708659"
150-064 87 AV,TICO,NA,"-73.805265, 40.708659"
150-065 115 DR,ACPS,Raised,"-73.791017, 40.684035"
150-065 115 DR,ACPL,Raised,"-73.791017, 40.684035"
150-065 116 AV,ACPS,Raised,"-73.790764, 40.683373"
150-065 60 AV,ACPL,Raised,"-73.817877, 40.740839"
150-066 87 RD,ACPL,NA,"-73.804641, 40.707994"
150-070 N HEMPSTEAD TPKE,ACSA1,Raised,"1.0, 1.0"
150-071 87 RD,SOJA,NA,"-73.80445, 40.708046"
150-075 87 AV,FRPE,NA,"-73.804956, 40.70875"
150-075 87 AV,LIST,NA,"-73.804956, 40.70875"
150-078 116 DR,ACPS,Raised,"-73.789585, 40.682279"
150-085 116 DR,ACPL,Raised,"-73.789382, 40.682364"
150-085 GOETHALS AV,QUPA,Raised,"-73.809093, 40.718293"
1500 REMSEN AV,PLAC,Raised,"-73.899564, 40.634479"
150060 70 RD,PLAC,NA,"-73.895454, 40.74909"
1501 E 18 ST,ACPL,Raised,"-73.956302, 40.613681"
1501 NEWKIRK AV,FRPE,Raised,"-73.963341, 40.635523"
1501 UNDERCLIFF AV,SOJA,NA,"-73.924252, 40.845627"
1501 UNDERCLIFF AV,ACRU,NA,"-73.924252, 40.845627"
1502 E 14 ST,PLAC,Raised,"-73.959995, 40.612815"
1503 BENSON AV,ACPL,Raised,"-74.011204, 40.60966"
1503 GIVAN AV,QURU,Raised,"-73.845085, 40.874725"
1505 85 ST,ACPL,Raised,"-74.008761, 40.611934"
1505 E 52 ST,ACSA1,Raised,"-73.925337, 40.622806"
1505 KENNELLWORTH PL,AIAL,Raised,"-73.82225, 40.844319"
1506 CROTONA AV,ACPL,Raised,"1.0, 1.0"
1508 E 21 ST,ACPL,Raised,"-73.953588, 40.616466"
1508 E 58 ST,PLAC,Raised,"-73.918996, 40.617527"
151 68 ST,PLAC,Raised,"-74.029442, 40.637828"
151 80 ST,ACSA1,Raised,"-74.033833, 40.628914"
151 B 61 ST,ACSA1,Raised,"-73.903699, 40.738244"
151 BAY 29 ST,ACPL,Raised,"-73.997755, 40.599357"
151 BAY 41 ST,PLAC,Raised,"-73.988876, 40.594027"
151 BERTHA PL,PLAC,Raised,"-74.092648, 40.62224"
151 BROOME ST,SOJA,Raised,"-73.984909, 40.716483"
151 COLLFIELD AV,QUPA,Raised,"-74.143109, 40.617938"
151 CORNELIA ST,SOJA,Raised,"-73.914556, 40.691175"
151 E 43 ST,TICO,NA,"-73.974963, 40.751865"
151 FINLEY AV,PLAC,Raised,"-74.104895, 40.562736"
151 FREMONT AV,ACPL,NA,"-74.108391, 40.578354"
