address,species,sidewalk_condition,location
294 5 ST,ZESE,Raised,"-73.985844, 40.672347"
294 5 ST,QURU,Raised,"-73.985844, 40.672347"
294 ARNOW AV,ULAM,NA,"1.0, 1.0"
294 DEWEY AV,FRPE,Raised,"-74.153051, 40.554001"
294 E 14 ST,PLAC,Raised,"-73.987432, 40.665503"
294 E 48 ST,PLAC,Raised,"-73.932684, 40.655014"
294 E 95 ST,PLAC,Raised,"-73.92121, 40.659513"
294 ELDERT LA,PLAC,Raised,"1.0, 1.0"
294 ELDERT LA,PLAC,Raised,"-73.866378, 40.683786"
294 HUSSON ST,QUPA,NA,"-74.101989, 40.581548"
294 MILFORD ST,PLAC,Raised,"-73.876468, 40.672053"
294 VANDERBILT AV,TICO,Raised,"-73.968921, 40.688549"
294 WARDWELL AV,UNKNOWN,Raised,"-74.133295, 40.615999"
2940 BRIGHTON 12 ST,ACPL,Raised,"1.0, 1.0"
2941 HERING AV,ACSA2,Raised,"-73.853732, 40.868389"
2941 HERING AV,ACSA1,Raised,"-73.853732, 40.868389"
2941 TENBROCK AV,PLAC,Raised,"-73.852793, 40.868371"
2942 BRIGHTON 12 ST,ACPL,Raised,"1.0, 1.0"
2942 HONE AV,PLAC,NA,"-73.857643, 40.868434"
2942 HONE AV,ACSA1,Raised,"-73.857643, 40.868434"
2942 HONE AV,ACSA1,NA,"-73.857643, 40.868434"
2943 Avenue W,PLAC,Raised,"-73.940633, 40.595963"
2943 BAINBRIDGE AV,ACPL,NA,"-73.885195, 40.870407"
2943 BAINBRIDGE AV,PYCA,NA,"-73.885195, 40.870407"
2945 BRIGHTON 5 ST,PLAC,Raised,"1.0, 1.0"
2945 EDSON AV,QUPA,Raised,"-73.834272, 40.870907"
2945 PEARSAL AV,QURU,Raised,"-73.851856, 40.868426"
2946 BRUNER AV,CEOC,Raised,"-73.836952, 40.870177"
2947 BAINBRIDGE AV,GIBI,NA,"-73.885095, 40.870475"
2947 VOORHIES AV,ACSA1,Raised,"-73.938434, 40.587363"
2949 BRONXWOOD AV,ULAM,NA,"-73.861467, 40.868675"
295 11 ST,PLAC,Raised,"-73.988253, 40.668436"
295 8 ST,GIBI,Raised,"-73.985359, 40.669572"
295 ADELPHI ST,FRPE,Raised,"-73.970972, 40.688687"
295 BURN ST,QUPA,Raised,"1.0, 1.0"
295 CLINTON AV,ACRU,Raised,"-73.968024, 40.689182"
295 CUMBERLAND ST,ACPL,Raised,"-73.972559, 40.68681"
295 DAVIS AV,SA,Raised,"-74.109288, 40.636779"
295 E 48 ST,PLAC,Raised,"-73.932663, 40.65482"
295 E 7 ST,PLAC,Raised,"-73.972961, 40.644727"
295 E 94 ST,FRPE,Raised,"-73.921802, 40.658941"
295 LIVERMORE AV,PLAC,Raised,"-74.138744, 40.617109"
295 MAYBURY AV,ACSA1,Raised,"-74.141586, 40.548311"
295 PARK AV,GLTR,NA,"-73.974572, 40.756374"
295 ST NICHOLAS AV,FR,Raised,"1.0, 1.0"
295 VANDERBILT AV,ACRU,Raised,"-74.080974, 40.617878"
295 WOOLLEY AV,SOJA,NA,"-74.139647, 40.617003"
295-297 HILLMAN AV,GLTR,Raised,"-74.163331, 40.612546"
2950 BAINBRIDGE AV,PYCA,NA,"-73.88511, 40.870465"
2950 BAINBRIDGE AV,GIBI,NA,"-73.88511, 40.870465"
2950 PARK AVE,QURU,NA,"-73.922919, 40.820254"
2950 PARK AVE,QURU,Raised,"-73.922919, 40.820254"
2951 BRONXWOOD AV,ULAM,NA,"-73.861466, 40.86871"
2953 Avenue W,PLAC,Raised,"-73.940204, 40.596011"
2953-057 DECATUR AV,FRPE,NA,"-73.884137, 40.86807"
2953-057 DECATUR AV,ACRU,NA,"-73.884137, 40.86807"
2954 Avenue S,PLAC,Raised,"-73.941756, 40.605184"
2954 BRIGHTON 12 ST,PLAC,Raised,"1.0, 1.0"
2954 E 196 ST,QUPA,Raised,"-73.829694, 40.854164"
2955 Avenue P,ACPL,Raised,"-73.943557, 40.613073"
2955 BAINBRIDGE AV,GIBI,NA,"-73.884897, 40.870612"
2956 Avenue Z,PLAC,Raised,"-73.938578, 40.589698"
2956 BAINBRIDGE AV,GIBI,NA,"-73.884947, 40.870578"
2957 Avenue W,PLAC,Raised,"-73.940031, 40.59603"
2959 ADEE AV,ACSA2,NA,"1.0, 1.0"
2959 Avenue T,ACPS,Raised,"-73.941059, 40.602822"
296 5 ST,QUPA,Raised,"-73.985776, 40.672314"
296 BAY 13 ST,TICO,Raised,"-74.012222, 40.603998"
296 CLAWSON ST,PLAC,Raised,"-74.111003, 40.572183"
296 CUMBERLAND ST,GLTR,Raised,"-73.972603, 40.687021"
296 DEMOREST AV,ACRU,Raised,"-74.136759, 40.616574"
296 E 13 ST,TICO,Raised,"-73.987373, 40.666319"
296 E 48 ST,PLAC,Raised,"-73.932678, 40.654954"
