address,species,sidewalk_condition,location
3025 Avenue T,PLAC,Raised,"-73.938524, 40.603099"
3025 Avenue T,ACPS,Raised,"-73.938524, 40.603099"
3025 CORLEAR AV,ACPA,NA,"-73.908677, 40.879338"
3025 CORLEAR AV,TICO,NA,"-73.908677, 40.879338"
3026 Avenue T,PLAC,Raised,"-73.938446, 40.603107"
3026 BRIGHTON 7 ST,ACPS,Raised,"1.0, 1.0"
3026 LACONIA AVE,ACSA2,Raised,"-73.855638, 40.869742"
3026 PARK AVE,QUPA,Raised,"-73.92041, 40.822048"
3027 MATTHEWS AV,ACSA2,Raised,"-73.862431, 40.870093"
3028 CORLEAR AV,TICO,NA,"-73.908622, 40.879395"
3028 PARK AVE,QUPA,Raised,"-73.920353, 40.822084"
3029 BRIGHTON 7 ST,ACPS,Raised,"1.0, 1.0"
303 B 149 ST,GLTR,Raised,"-73.816066, 40.787956"
303 BAY 14 ST,PLAC,Raised,"-74.011468, 40.603512"
303 E 10 ST,PYCA,Raised,"-73.98176, 40.727649"
303 E 14 ST,QUPA,Raised,"-73.986913, 40.665251"
303 E 8 ST,ACSA2,Raised,"-73.971468, 40.642631"
303 E 89 ST,AIAL,Raised,"-73.950256, 40.779777"
303 E 90 ST,PLAC,Raised,"-73.9498, 40.780402"
303 E 94 ST,QUPA,Raised,"-73.92161, 40.658769"
303 E 96 ST,PLAC,Raised,"-73.919849, 40.659647"
303 GRANT AV,PLAC,Raised,"-73.867272, 40.683446"
303 HILLMAN AV,QUPA,Raised,"-74.163297, 40.612674"
303 RIEDEL AV,PLAC,Raised,"-74.130891, 40.566499"
303 VANDERBILT AV,PLAC,Raised,"-73.969016, 40.689027"
3030 BEDFORD AV,QUPA,Raised,"-73.952072, 40.628669"
3030 BRIGHTON 12 ST,PYCA,Raised,"1.0, 1.0"
3030 PARK AVE,QUPA,Raised,"1.0, 1.0"
3031 BRIGHTON 14 ST,GIBI,Raised,"1.0, 1.0"
3032 BRIGHTON 7 ST,ACPS,Raised,"1.0, 1.0"
3034 HONE AV,ACSA2,Raised,"-73.857587, 40.870145"
3035 CORLEAR AV,TICO,NA,"-73.908539, 40.879479"
3035 HONE AV,ACSA2,Raised,"-73.857587, 40.870145"
3036 BRIGHTON 1 ST,ACPL,Raised,"1.0, 1.0"
3037 BRIGHTON 2 ST,ACRU,Raised,"1.0, 1.0"
3038 BRIGHTON 12 ST,PYCA,Raised,"1.0, 1.0"
3039 HONE AV,ACPL,Raised,"-73.857584, 40.870213"
304 5 AV,TICO,Raised,"-73.982775, 40.673407"
304 BAY 13 ST,TICO,Raised,"-74.012324, 40.60389"
304 BAY 14 ST,PLAC,Raised,"-74.01148, 40.6035"
304 CLERMONT AV,PLAC,Raised,"-73.969987, 40.688776"
304 COVERT ST,ACPL,Raised,"-73.905992, 40.692736"
304 CROSSBAY BLVD,PLAC,Raised,"-73.820574, 40.61332"
304 CROSSBAY BLVD,PLAC,NA,"-73.820574, 40.61332"
304 CUMBERLAND ST,ACPL,Raised,"-73.972551, 40.686772"
304 E 120 ST,QUPA,Raised,"-73.935767, 40.799508"
304 E 14 ST,PLAC,Raised,"-73.987037, 40.665311"
304 E 16 ST,GIBI,Raised,"-73.983086, 40.7333"
304 E 18 ST,PLAC,Raised,"-73.961996, 40.643744"
304 E 32 ST,ACPL,Raised,"-73.946844, 40.643236"
304 E 48 ST,PLAC,Raised,"-73.932652, 40.654716"
304 E 49 ST,PLAC,Raised,"-73.931707, 40.654668"
304 E 89 ST,AIAL,Raised,"-73.950208, 40.779756"
304 E 92 ST,PLAC,Raised,"-73.923385, 40.658157"
304 LAFAYETTE AV,GIBI,Raised,"-73.963614, 40.688467"
304 LIVERMORE AV,FRPE,Raised,"-74.138845, 40.616698"
304 NICHOLS AV,PLAC,Raised,"-73.868269, 40.683152"
3040 LACONIA AVE,ACSA2,Raised,"-73.855633, 40.869861"
3040 VOORHIES AV,PLAC,Raised,"-73.934861, 40.58787"
3041 ADEE AV,GIBI,NA,"1.0, 1.0"
3041 BRIGHTON 2 ST,ACSA1,Raised,"1.0, 1.0"
3041 KINGSBRIDGE AV,ACSA2,NA,"-73.907429, 40.878912"
3041 KINGSBRIDGE AV,PYCA,NA,"-73.907429, 40.878912"
3041 KINGSBRIDGE AV,GIBI,NA,"-73.907429, 40.878912"
3041 KINGSBRIDGE AV,COMA,NA,"-73.907429, 40.878912"
3041 YATES AV,ACSA1,Raised,"-73.854583, 40.869817"
3042 BRIGHTON 7 ST,ACPS,Raised,"1.0, 1.0"
3042 BROADWAY,PLAC,Raised,"-73.961999, 40.810617"
3044 KINGSBRIDGE AV,GIBI,NA,"-73.907371, 40.878972"
3045 BRIGHTON 12 ST,ACPL,Raised,"1.0, 1.0"
3047 BRIGHTON 13 ST,PYCA,Raised,"1.0, 1.0"
3049 OCEAN PKWY,FRPE,Raised,"-73.968406, 40.576873"
305 17 ST,ACPS,Raised,"-73.989778, 40.662798"
305 BAY 13 ST,ACPL,Raised,"-74.01234, 40.603873"
305 BUCHANAN AV,GLTR,Raised,"-74.133929, 40.60765"
305 CLINTON B FISK AV,ACSA1,Raised,"1.0, 1.0"
305 CLINTON ST,PLAC,Raised,"-73.996424, 40.685951"
305 E 101 ST,ZESE,NA,"-73.94464, 40.787387"
305 E 101 ST,TICO,NA,"-73.94464, 40.787387"
305 E 38 ST,ACRU,Raised,"-73.94173, 40.649683"
305 E 39 ST,ACPL,Raised,"-73.940797, 40.649741"
305 E 47 ST,GLTR,Raised,"-73.969779, 40.752915"
305 E 91 ST,UNKNOWN,Raised,"-73.949289, 40.781008"
305 E 91 ST,FRPE,Raised,"-73.924187, 40.657773"
305 E 96 ST,PLAC,Raised,"-73.919804, 40.659607"
305 MAYBURY AV,LIST,Raised,"-74.141719, 40.548211"
305 PURDY AV,UNKNOWN,Raised,"-74.13751, 40.60999"
305 TAYLOR ST,ACRU,NA,"-74.122708, 40.631263"
305 VANDERBILT AV,PLAC,Raised,"-73.969004, 40.688967"
305-309 HILLMAN AV,QUPA,Raised,"-74.163263, 40.612803"
3050 BRIGHTON 2 ST,ACSA2,Raised,"1.0, 1.0"
3052 BRIGHTON 7 ST,ACPS,Raised,"1.0, 1.0"
3054 BRIGHTON 1 ST,ACSA2,Raised,"1.0, 1.0"
3054 KINGSBRIDGE AV,GIBI,NA,"-73.907228, 40.879122"
3054 KINGSBRIDGE TER,GLTR,Raised,"-73.900872, 40.877082"
3058 BRIGHTON 14 ST,ACPS,Raised,"1.0, 1.0"
3058 BRIGHTON 4 ST,ACPS,Raised,"1.0, 1.0"
306 11 ST,PLAC,Raised,"-73.987967, 40.668297"
306 BAY 13 ST,TICO,Raised,"-74.01235, 40.603863"
306 CLERMONT AV,PLAC,Raised,"-73.969976, 40.688718"
306 CLINTON AV,GIBI,Raised,"-73.96799, 40.689014"
306 CLINTON ST,PLAC,Raised,"-73.9962, 40.686425"
306 COOPER ST,GLTR,Raised,"-73.902926, 40.692183"
306 DEWEY AV,QUPA,Raised,"-74.153418, 40.553909"
306 E 100 ST,QUPA,NA,"-73.945097, 40.786752"
306 E 91 ST,PLAC,Raised,"-73.924187, 40.657773"
306 E 92 ST,PLAC,Raised,"-73.923343, 40.658119"
306 E 96 ST,QUPA,NA,"-73.946896, 40.784164"
306 E 96 ST,PYCA,NA,"-73.946896, 40.784164"
306 E MOSHOLU PKWY N,ACPL,NA,"-73.882385, 40.871825"
306 E MOSHOLU PKWY N,PYCA,NA,"-73.882385, 40.871825"
306 E MOSHOLU PKWY N,FRPE,Raised,"-73.882385, 40.871825"
306 E MOSHOLU PKWY N,ACPL,Raised,"-73.882385, 40.871825"
306 E MOSHOLU PKWY S,FRPE,NA,"-73.882385, 40.871825"
306 E MOSHOLU PKWY S,TICO,NA,"-73.882385, 40.871825"
306 E MOSHOLU PKWY S,TICO,Raised,"-73.882385, 40.871825"
306 GRANT AV,PLAC,Raised,"-73.86726, 40.683394"
306 LIBERTY AV,ACPS,Raised,"-74.092227, 40.585741"
306 LIBERTY AV,QURU,Raised,"-74.092227, 40.585741"
306 STANHOPE ST,TICO,Raised,"-73.918465, 40.702704"
306 TIBBET AV,ACSA1,NA,"1.0, 1.0"
306 W 231 ST,PYCA,NA,"-73.908602, 40.880943"
306 W 232 ST,MORU,NA,"-73.907308, 40.882008"
306 WASHINGTON AV,GIBI,Raised,"-73.966116, 40.689592"
3062 KINGSBRIDGE TER,GLTR,Raised,"-73.900624, 40.877297"
3064 BARKER AV,PYCA,Raised,"-73.869335, 40.870859"
3069 BRIGHTON 13 ST,PYCA,Raised,"1.0, 1.0"
306A 14 ST,SOJA,Raised,"-73.986959, 40.665274"
307 72 ST,PLAC,Raised,"-74.026746, 40.633468"
307 ADELPHI ST,FRPE,Raised,"-73.970896, 40.688304"
307 ARDEN AV,GLTR,Raised,"-74.190738, 40.55212"
307 ATLANTIC AV,GLTR,Raised,"-73.98857, 40.688383"
307 B 17 ST,PLAC,Raised,"-73.808447, 40.783703"
307 BAY 8 ST,PLAC,Raised,"-74.016679, 40.605714"
307 BUCHANAN AV,GLTR,Raised,"-74.133928, 40.6076"
307 CLINTON AV,ACPL,Raised,"-73.96795, 40.68881"
307 E 101 ST,TICO,NA,"-73.944594, 40.787367"
307 E 102 ST,ZESE,NA,"-73.944145, 40.787983"
307 E 39 ST,PLAC,Raised,"-73.940791, 40.649688"
307 E 48 ST,PLAC,Raised,"-73.932629, 40.654503"
307 HALSEY ST,PLAC,Raised,"-73.940595, 40.682871"
307 HICKS ST,PYCA,Raised,"-73.997338, 40.692144"
3073 BRIGHTON 14 ST,QUPH,Raised,"1.0, 1.0"
3074 Avenue R,FRPE,Raised,"-73.939148, 40.610315"
3074 BRIGHTON 13 ST,ACSA1,Raised,"1.0, 1.0"
3078 CONEY ISLAND AV,GLTR,Raised,"-73.959881, 40.581117"
3079 CONEY ISLAND AV,PYCA,Raised,"-73.959858, 40.580748"
3079 MIDDLETOWN RD,QUPA,Raised,"-73.827586, 40.844728"
308 59 ST,ACPL,Raised,"-74.019492, 40.642537"
308 BAY 14 ST,PLAC,Raised,"-74.011527, 40.603453"
308 BUCHANAN AV,GLTR,Raised,"-74.133928, 40.607606"
308 E 18 ST,PLAC,Raised,"-73.961977, 40.643644"
308 E 73 ST,UNKNOWN,Raised,"-73.957642, 40.769389"
308 E 89 ST,TICO,Raised,"-73.950113, 40.779716"
308 KEATING ST,ACPL,Raised,"1.0, 1.0"
308 LIVERMORE AV,AIAL,NA,"-74.138928, 40.616368"
308 MACON ST,GLTR,Raised,"-73.938434, 40.682369"
308 W 138 ST,GLTR,Raised,"-73.945546, 40.818595"
3080 E TREMONT AV,QUPH,Raised,"-73.836003, 40.83881"
3085 BRIGHTON 13 ST,PYCA,Raised,"1.0, 1.0"
3085 BRIGHTON 13 ST,PLAC,Raised,"1.0, 1.0"
3087 BRIGHTON 5 ST,ACSA2,Raised,"1.0, 1.0"
3087 BRIGHTON 5 ST,FRPE,Raised,"1.0, 1.0"
3089 BRIGHTON 5 ST,ACPS,Raised,"1.0, 1.0"
309 59 ST,PLAC,Raised,"-74.019492, 40.642537"
309 ADELPHI ST,PLAC,Raised,"-73.970884, 40.68824"
309 BAY 8 ST,PLAC,Raised,"-74.016719, 40.605676"
309 E 13 ST,PLAC,Raised,"-73.986746, 40.666016"
309 E 14 ST,QUPA,Raised,"-73.986701, 40.665148"
