address,species,sidewalk_condition,location
2218 MICKLE AV,QURU,Raised,"-73.840964, 40.858216"
2219 E 7 ST,TICO,Raised,"-73.963786, 40.596302"
2219 POWELL AV,ACRU,Raised,"-73.85028, 40.83129"
2219 TIEMAN AV,ACSA2,Raised,"-73.838164, 40.857815"
222 24 ST,ACPS,Raised,"-73.998091, 40.661432"
222 ADA DR,ULAM,Raised,"-74.162055, 40.621056"
222 CANNON BLVD,ACPL,Raised,"-74.115287, 40.565529"
222 COVERT ST,ACPL,Raised,"-73.907923, 40.690767"
222 E 239 ST,ACRU,Raised,"-73.870308, 40.900031"
222 E 39 ST,ACPL,Raised,"-73.941031, 40.651912"
222 E 46 ST,SOJA,NA,"-73.972066, 40.7531"
222 E 49 ST,QURU,NA,"-73.970698, 40.754974"
222 E 89 ST,QUPH,Raised,"-73.952056, 40.780535"
222 FANNING ST,PLAC,Raised,"-74.122857, 40.605779"
222 HOWARD AV,PLAC,Raised,"-74.088582, 40.62466"
222 PROSPECT AV,ACPL,Raised,"-74.09498, 40.639176"
222 ROLLING HILL GREEN,LIST,Raised,"-74.193787, 40.551302"
222 ST MARYS AV,ACPL,Raised,"-74.074496, 40.613131"
222 W 231 ST,PYCA,NA,"-73.905649, 40.879247"
222-005 145 RD,ACPL,Raised,"-73.756979, 40.662899"
222-007 JAMAICA AV,QUPA,Raised,"-73.732297, 40.720469"
222-008 UNION TPKE,ZESE,NA,"-73.748557, 40.735424"
222-012 145 RD,ACPL,Raised,"-73.756915, 40.662875"
222-012 145 RD,ACRU,Raised,"-73.756915, 40.662875"
222-012 UNION TPKE,ZESE,NA,"-73.748521, 40.73543"
222-012 UNION TPKE,ACPL,NA,"-73.748521, 40.73543"
222-013 EDMORE AV,ACPL,Raised,"-73.733857, 40.724625"
222-016 UNION TPKE,ZESE,NA,"-73.748484, 40.735436"
222-016 UNION TPKE,QUPA,NA,"-73.748484, 40.735436"
222-017 143 RD,ACPL,Raised,"-73.754122, 40.667632"
222-017 JAMAICA AV,QUPA,Raised,"-73.73216, 40.720588"
222-018 100 DR,ACPL,Raised,"-73.7309, 40.71454"
222-019 DAVENPORT AV,ACSA1,Raised,"-73.734009, 40.725335"
222-020 145 RD,QUPA,Raised,"-73.756851, 40.662851"
222-020 UNION TPKE,ZESE,NA,"-73.748447, 40.735442"
222-021 91 RD,ACPL,Raised,"-73.734768, 40.727398"
222-023 96 AV,QUPH,Raised,"-73.731591, 40.71941"
222-032 92 RD,ACPL,Raised,"-73.734025, 40.726076"
222-040 JAMAICA AV,QUPA,Raised,"-73.731814, 40.72089"
2220 AV O,ACPL,Raised,"-73.951924, 40.613742"
2220 BAY AV,ZESE,Raised,"-73.952147, 40.614917"
2220 SCHNECTADY AV,PLAC,Raised,"-73.929588, 40.617718"
2220 TIEMAN AV,ACSA2,Raised,"-73.838163, 40.857846"
2221 HAVILAND AV,PLAC,Raised,"-73.849949, 40.830551"
2222 Avenue M,ACPL,Raised,"-73.952861, 40.618798"
2222 BAY AV,ACPL,Raised,"-73.952126, 40.614901"
2222 E 72 ST,ACSA1,Raised,"-73.904494, 40.618286"
2222 E 8 ST,ACPL,Raised,"-73.962557, 40.595574"
2222 ROYCE ST,PLAC,Raised,"-73.902323, 40.619689"
2223 E 64 ST,PLAC,Raised,"-73.910245, 40.614424"
2223 E 8 ST,ACPL,Raised,"-73.962557, 40.595574"
2223 RYDER ST,PLAC,Raised,"-73.925111, 40.607499"
2224 AV O,UNKNOWN,Raised,"-73.951888, 40.613746"
2224 E 64 ST,PLAC,Raised,"-73.910214, 40.614393"
2224 E 7 ST,PLAC,Raised,"-73.963767, 40.596201"
2224 E 73 ST,PLAC,Raised,"-73.903741, 40.618716"
2225 BOUCK AV,ACPL,Raised,"-73.850274, 40.858949"
2225 E 74 ST,PLAC,Raised,"-73.903026, 40.619176"
2225 ESPLANADE AV,ACSA2,Raised,"-73.855703, 40.858527"
2225 TROY AV,QURU,Raised,"-73.93279, 40.619635"
2226 ASTOR AV,ACSA2,Raised,"1.0, 1.0"
2226 BAY 37 ST,QUPA,Raised,"1.0, 1.0"
2226 SCHNECTADY AV,PLAC,Raised,"-73.929561, 40.617573"
2227 HAVILAND AV,PLAC,Raised,"-73.849776, 40.830577"
2227 NEW YORK AV,TICO,Raised,"-73.942362, 40.618303"
2228 BOUCK AV,PI2,Raised,"-73.850273, 40.858995"
2228 ELLIS AV,PYCA,Raised,"-73.850313, 40.832768"
2228 FENTON AV,ACSA2,Raised,"-73.844571, 40.858793"
2228 SCHNECTADY AV,PLAC,Raised,"-73.929552, 40.617526"
2228 TIEMAN AV,QUPA,Raised,"-73.838159, 40.857973"
2229 E 73 ST,PLAC,Raised,"-73.903669, 40.618651"
2229 E 8 ST,PLAC,Raised,"-73.962537, 40.595468"
2229 FISH AV,ACSA2,Raised,"-73.847386, 40.859008"
2229 HAVILAND AV,ZESE,Raised,"-73.849716, 40.830586"
223 78 ST,ACPL,Raised,"-74.030738, 40.629784"
223 84 ST,QUPA,Raised,"-74.032487, 40.625499"
223 B 127 ST,PLAC,Raised,"-73.824443, 40.704066"
223 B 132 ST,PLAC,Raised,"-73.83626, 40.787304"
223 B 135 ST,PLAC,Raised,"-73.831505, 40.742436"
