address,species,sidewalk_condition,location
1063 64 ST,PLAC,Raised,"-74.006116, 40.629741"
1063 E 102 ST,PLAC,Raised,"-73.893921, 40.643412"
1063 E 32 ST,ACSA2,Raised,"-73.944666, 40.625484"
1063 HANCOCK ST,FRPE,Raised,"-73.914716, 40.688624"
1064 57 ST,ACSA1,Raised,"-74.001956, 40.633677"
1064 71 ST,PLAC,Raised,"-74.010237, 40.62571"
1064 CYPRESS AV,PLAC,NA,"-73.900792, 40.696913"
1064 E 16 ST,PLAC,Raised,"-73.960171, 40.623735"
1064 E 29 ST,QUPA,Raised,"-73.947579, 40.625116"
1064 E 54 ST,PLAC,Raised,"-73.924384, 40.632116"
1064 HANCOCK ST,FRPE,Raised,"-73.914693, 40.688647"
1064 UNION ST,PLAC,Raised,"-73.956633, 40.669442"
1065 51 ST,PLAC,Raised,"-73.998334, 40.636958"
1065 58 ST,ACPL,Raised,"-74.002534, 40.633128"
1065 E 101 ST,PLAC,Raised,"-73.8946, 40.642918"
1065 E 21 ST,PLAC,Raised,"-73.955721, 40.627449"
1065 E 218 ST,ULAM,NA,"-73.853271, 40.879729"
1065 E 52 ST,PLAC,Raised,"-73.926542, 40.634087"
1065 E 84 ST,PLAC,Raised,"-73.907307, 40.634672"
1065 UNIVERSITY AVE,ZESE,NA,"-73.930008, 40.835149"
1065A GREENE AV,GLTR,Raised,"-73.924866, 40.692207"
1066 58 ST,PLAC,Raised,"-74.002492, 40.633102"
1066 84 ST,PLAC,Raised,"-74.017842, 40.618329"
1066 CYPRESS AV,PLAC,NA,"-73.900722, 40.696871"
1066 DECATUR ST,SOJA,Raised,"-73.910046, 40.686224"
1066 E 102 ST,PLAC,Raised,"-73.89385, 40.643348"
1066 E 218 ST,ULAM,NA,"-73.853228, 40.879714"
1066 E 52 ST,PLAC,Raised,"-73.926542, 40.634087"
1066 E 82 ST,PLAC,Raised,"-73.90874, 40.633727"
1066 E 99 ST,ACSA1,Raised,"-73.895993, 40.641964"
1066 EVERGREEN AV,ACSA2,Raised,"-73.880284, 40.825104"
1066 RALPH AV,QUPA,Raised,"-73.920483, 40.649256"
1066 TARGEE ST,ACPL,Raised,"-74.091378, 40.60212"
1067 51 ST,PLAC,Raised,"-73.998297, 40.636935"
1067 72 ST,PLAC,Raised,"-74.010775, 40.625129"
1067 BRIGHTON BEACH AV,ACPL,Raised,"-73.95765, 40.578153"
