address,species,sidewalk_condition,location
70-054 173 ST,TICO,NA,"-73.796897, 40.730187"
70-057 136 ST,ACPL,Raised,"-73.827702, 40.726294"
70-059 INGRAM ST,PYCA,Raised,"-73.849204, 40.714912"
70-100 AUSTIN ST,GLTR,NA,"-73.845912, 40.720573"
70-156 GROTON ST,PLAC,NA,"-73.84753, 40.715885"
700 3 AV,TICO,NA,"-73.973511, 40.752055"
700 BRISTOL ST,PLAC,Raised,"-73.90856, 40.653786"
700 E 9 ST,GLTR,Raised,"-73.977942, 40.725272"
7001 12 AV,PLAC,Raised,"-74.006687, 40.624465"
7001 COLONIAL RD,ACPL,Raised,"-74.031552, 40.636663"
7001 PERRY TER,PLAC,Raised,"-74.029832, 40.636122"
7002 4 AV,PLAC,Raised,"-74.023891, 40.633701"
7002 6 AV,ACPL,Raised,"-74.018916, 40.631389"
7002 7 AV,PLAC,Raised,"-74.017341, 40.630712"
7002 Avenue L,PLAC,Raised,"-73.915, 40.625947"
7002 COLONIAL RD,PLAC,Raised,"-74.031575, 40.636608"
7002 COLONIAL RD,PI2,Raised,"-74.031575, 40.636608"
7002 E 70 ST,ACPS,Raised,"1.0, 1.0"
7002 RIDGE BLVD,ACPL,Raised,"-74.028964, 40.635811"
7002 RIDGECREST TER,PLAC,Raised,"-74.030681, 40.636354"
7003 12 AV,PLAC,Raised,"-74.006699, 40.624454"
7003 147 ST,PLAC,Raised,"-73.819098, 40.788514"
7004 12 AV,ACPL,Raised,"-74.006711, 40.624443"
7004 3 AV,PLAC,Raised,"-74.026353, 40.634927"
7006 3 AV,PLAC,Raised,"-74.02636, 40.634912"
7006 RIDGECREST TER,PLAC,Raised,"-74.0307, 40.636309"
7008 Avenue L,PLAC,Raised,"-73.914507, 40.626365"
7008 Avenue U,ACPL,Raised,"-73.90809, 40.619417"
7008 COLONIAL RD,PLAC,Raised,"-74.031642, 40.636443"
700A METCALF AV,PLAC,Raised,"-73.869995, 40.818243"
701 ARMSTRONG AV,QUPA,NA,"-74.160075, 40.551744"
701 ARMSTRONG AV,PLAC,NA,"-74.160075, 40.551744"
701 DUNNE CT,PLAC,Raised,"-73.96255, 40.589961"
701 E 102 ST,ACSA2,Raised,"-73.898597, 40.647575"
701 E 58 ST,PLAC,Raised,"-73.92116, 40.637817"
701 E 82 ST,PLAC,Raised,"-73.913436, 40.637942"
701 ELLSWORTH AV,ACSA1,Raised,"1.0, 1.0"
701 LIBERTY AV,PLAC,Raised,"-74.08045, 40.579785"
701 MADISON ST,GLTR,Raised,"-73.928747, 40.687231"
701 OCEAN VIEW AV,NYSY,Raised,"-73.961296, 40.579762"
701 Penn Ave,PLAC,Raised,"1.0, 1.0"
701 TYSENS LA,ACPL,Raised,"-74.112233, 40.561442"
7010 PERRY TER,PLAC,Raised,"-74.029876, 40.636014"
7010 RIDGECREST TER,PLAC,Raised,"-74.030718, 40.636263"
7015 3 AV,ULAM,Raised,"-74.026363, 40.634905"
7018 Avenue U,TICO,Raised,"-73.90802, 40.619463"
702 49 ST,ACRU,Raised,"-74.005254, 40.642961"
702 49 ST,ACPL,Raised,"-74.005254, 40.642961"
702 53 ST,QURU,Raised,"-74.007585, 40.640718"
702 Avenue T,PLAC,Raised,"-73.964493, 40.600247"
702 Avenue T,ACPL,Raised,"-73.964493, 40.600247"
702 DESMOND CT,PLAC,Raised,"-73.962637, 40.590646"
702 E 37 ST,ACRU,Raised,"-73.94162, 40.63985"
702 GRAVESEND NECK RD,GLTR,Raised,"-73.963375, 40.594313"
702 LENOX RD,PLAC,Raised,"-73.934032, 40.655133"
702 MARCY AV,MORU,Raised,"-74.201013, 40.539814"
702 MARCY AV,LIST,Raised,"-74.201013, 40.539814"
7022 E 71 ST,PLAC,Raised,"1.0, 1.0"
7022 PERRY TER,PLAC,Raised,"-74.029928, 40.635886"
7023 12 AV,PLAC,Raised,"-74.006814, 40.624343"
7024 10 AV,ACPL,Raised,"-74.011229, 40.626991"
7024 PERRY TER,ACPL,Raised,"-74.029937, 40.635864"
7024 RIDGECREST TER,PLAC,Raised,"-74.030783, 40.636105"
7026 6 AV,ACPL,Raised,"-74.019074, 40.630985"
7028 PERRY TER,PLAC,Raised,"-74.029955, 40.635821"
7028 RIDGECREST TER,GIBI,Raised,"-74.030801, 40.63606"
703 51 ST,GLTR,Raised,"-74.006421, 40.641838"
703 CARROLL ST,ACPL,Raised,"-73.977816, 40.67378"
703 E 22 ST,ACPL,Raised,"-73.95617, 40.635126"
703 E 58 ST,PLAC,Raised,"-73.921154, 40.637764"
703 PUTNAM AV,PLAC,Raised,"-73.933402, 40.685948"
703 SACKETT ST,PLAC,Raised,"-73.980806, 40.677349"
703 SAGAMORE ST,ACRU,Raised,"-73.866878, 40.848781"
703 SCHNECTADY AV,PLAC,Raised,"-73.933803, 40.656351"
7034 6 AV,PLAC,Raised,"-74.019085, 40.630939"
7036 RIDGECREST TER,PLAC,Raised,"-74.030837, 40.63597"
7039 NARROWS AV,PLAC,Raised,"-74.034497, 40.636663"
704 Avenue Y,PLAC,Raised,"-73.96239, 40.589244"
704 B 67 ST,ACSA1,Raised,"-73.897783, 40.744378"
704 DELAFIELD PL,PYCA,NA,"-74.122031, 40.629609"
704 E 2 ST,ACPL,Raised,"-73.976553, 40.633916"
704 E 22 ST,PLAC,Raised,"-73.95617, 40.635126"
704 E 48 ST,QUPA,Raised,"-73.931535, 40.644277"
704 E 48 ST,PLAC,Raised,"-73.931535, 40.644277"
704 E 95 ST,PLAC,Raised,"-73.912219, 40.651446"
704 KAPPOCK ST,QUPH,Raised,"-73.91919, 40.880986"
704 LENOX RD,PLAC,Raised,"-73.933946, 40.655138"
704 METCALF AV,PLAC,Raised,"-73.870016, 40.818329"
704 OAKLAND AV,ACPS,Raised,"-74.108912, 40.623899"
7047 COLONIAL RD,ACPL,Raised,"-74.031886, 40.635845"
7047 COLONIAL RD,ACSA2,Raised,"-74.031886, 40.635845"
7049 80 AV,TICO,NA,"-73.888987, 40.765397"
