address,species,sidewalk_condition,location
132-010 CRONSTON AV,PYCA,NA,"-73.852735, 40.578836"
132-011 97 AV,QUPA,Raised,"-73.815868, 40.694225"
132-012 197 ST,ACPL,Raised,"-73.751017, 40.68631"
132-012 NEWPORT AV,PLAC,Raised,"-73.851661, 40.576947"
132-014 109 AV,ACPL,Raised,"-73.811526, 40.685711"
132-014 79 ST,ACPL,Raised,"-73.857286, 40.674655"
132-015 109 AV,PLAC,Raised,"-73.811526, 40.685711"
132-015 NEWPORT AV,PYCA,NA,"-73.851678, 40.576941"
132-015 SANFORD AV,QUPA,Raised,"-73.832732, 40.75483"
132-016 109 AV,ULAM,Raised,"-73.811511, 40.685718"
132-016 NEWPORT AV,PLAC,Raised,"-73.851694, 40.576936"
132-016 NEWPORT AV,PLAC,NA,"-73.851694, 40.576936"
132-016 NEWPORT AV,FRPE,NA,"-73.851694, 40.576936"
132-018 101 AV,ACPL,Raised,"-73.815202, 40.69302"
132-018 109 AV,ACPL,Raised,"-73.811495, 40.685726"
132-019 101 AV,QURU,Raised,"-73.815202, 40.69302"
132-023 79 ST,ACPL,Raised,"-73.857253, 40.674539"
132-025 84 ST,PLAC,Raised,"-73.852439, 40.67505"
132-026 NEW YORK FARMERS B,TICO,Raised,"1.0, 1.0"
132-027 BLOSSOM AV,QUPA,Raised,"-73.831836, 40.751638"
132-029 84 ST,PLAC,Raised,"-73.85243, 40.674996"
132-030 101 AV,ACPL,Raised,"-73.815102, 40.693048"
132-031 84 ST,PLAC,Raised,"-73.852425, 40.674969"
132-031 BENNETT CT,QURU,Raised,"-73.761714, 40.678046"
132-032 HORACE HARDING EXW,PLAC,Raised,"1.0, 1.0"
132-033 82 ST,PLAC,Raised,"-73.854376, 40.67476"
132-033 84 ST,PLAC,Raised,"-73.85242, 40.674941"
132-034 85 ST,ACPL,Raised,"-73.851437, 40.674875"
132-035 84 ST,ACPL,Raised,"-73.852415, 40.674914"
132-036 220 ST,PLAC,Raised,"-73.747957, 40.681012"
132-039 156 ST,TICO,Raised,"-73.781349, 40.672199"
132-039 84 ST,PLAC,Raised,"-73.852405, 40.674861"
132-039 BENNETT CT,QURU,Raised,"-73.761555, 40.677987"
132-041 142 ST,ACPL,Raised,"-73.827438, 40.787342"
132-044 HORACE HARDING EXW,PLAC,Raised,"1.0, 1.0"
132-045 BENNETT CT,QURU,Raised,"-73.761436, 40.677943"
132-047 BENNETT CT,QURU,Raised,"-73.761397, 40.677928"
132-056 220 ST,ACSA1,Raised,"-73.748106, 40.680745"
132-056 220 ST,QUPA,Raised,"-73.748106, 40.680745"
132-060 34 AV,QUPA,Raised,"-73.835216, 40.765343"
132-064 POPLE ST,GLTR,Raised,"-73.831004, 40.753596"
1320 BEVERLEY RD,ZESE,Raised,"-73.966669, 40.644121"
1320 CORTELYOU RD,TICO,Raised,"-73.965987, 40.640516"
1320 DITMAS AV,ACPL,Raised,"-73.965197, 40.636366"
1320 E 102 ST,PLAC,Raised,"-73.889225, 40.639194"
1320 E 23 ST,ACPL,Raised,"-73.952054, 40.618367"
1320 E 24 ST,TICO,Raised,"-73.951125, 40.618468"
1320 E 48 ST,PLAC,Raised,"-73.929892, 40.628875"
1320 E 52 ST,PLAC,Raised,"-73.925865, 40.627731"
1320 E 84 ST,PLAC,Raised,"-73.902686, 40.630494"
1320 E 87 ST,PLAC,Raised,"-73.900486, 40.631914"
1320 FULTON AV,SOJA,Raised,"-73.903053, 40.83278"
