address,species,sidewalk_condition,location
120-029 171 ST,ACRU,Raised,"-73.773836, 40.682644"
120-029 201 ST,ACPL,Raised,"-73.749407, 40.690376"
120-029 INWOOD ST,ACRU,Raised,"-73.793839, 40.676365"
120-029 NEW YORK FARMERS B,TICO,NA,"1.0, 1.0"
120-030 201 ST,UNKNOWN,Raised,"-73.749318, 40.69024"
120-030 201 ST,ACPL,Raised,"-73.749318, 40.69024"
120-031 142 ST,PLAC,Raised,"-73.799141, 40.675744"
120-031 LUCAS ST,ACSA1,NA,"-73.75794, 40.686837"
120-031 NASHVILLE BLVD,ACPL,Raised,"-73.747439, 40.691064"
120-032 192 ST,GLTR,NA,"-73.756445, 40.687342"
120-032 NASHVILLE BLVD,PLAC,Raised,"-73.747815, 40.690551"
120-032 NEW YORK FARMERS B,QUPA,NA,"1.0, 1.0"
120-033 142 PL,GLTR,Raised,"-73.798039, 40.674715"
120-034 195 ST,ACSA1,Raised,"-73.753919, 40.688071"
120-034 200 ST,TICO,Raised,"-73.749908, 40.689788"
120-034 238 ST,PLAC,Raised,"-73.727293, 40.684879"
120-034 NASHVILLE BLVD,ACPL,Raised,"-73.747856, 40.690494"
120-034 NEW YORK FARMERS B,TICO,NA,"1.0, 1.0"
120-035 192 ST,GLTR,NA,"-73.756436, 40.687325"
120-035 195 ST,ACPL,Raised,"-73.753919, 40.688071"
120-035 232 ST,ACPL,NA,"-73.732523, 40.686457"
120-035 NASHVILLE BLVD,GLTR,Raised,"-73.747479, 40.69101"
120-036 167 ST,COMA,NA,"-73.777151, 40.681284"
120-036 192 ST,GLTR,NA,"-73.756425, 40.687308"
120-036 232 ST,ACPL,NA,"-73.732539, 40.686425"
120-036 NEW YORK FARMERS B,ZESE,NA,"1.0, 1.0"
120-036 NEW YORK FARMERS B,TICO,NA,"1.0, 1.0"
120-036 NEW YORK FARMERS B,QUPA,NA,"1.0, 1.0"
120-037 199 ST,QURU,Raised,"-73.750649, 40.689298"
120-037 NEW YORK FARMERS B,GIBI,NA,"1.0, 1.0"
120-038 235 ST,ACSA1,Raised,"-73.729938, 40.685598"
120-038 INWOOD ST,QUPA,Raised,"-73.79377, 40.676213"
120-039 142 ST,PLAC,Raised,"-73.799118, 40.675622"
120-039 232 ST,ACPL,Raised,"-73.732557, 40.686392"
120-039 MERRILL ST,ACSA1,Raised,"1.0, 1.0"
120-040 170 ST,TICO,Raised,"-73.77483, 40.682328"
120-040 232 ST,ACPL,Raised,"-73.732574, 40.686359"
120-041 170 ST,TICO,Raised,"-73.77483, 40.682328"
120-041 LUCAS ST,GLTR,NA,"-73.757886, 40.686751"
120-041 LUCAS ST,AEHI,NA,"-73.757886, 40.686751"
120-041 NEW YORK FARMERS B,GIBI,NA,"1.0, 1.0"
120-044 147 ST,ACPL,Raised,"-73.79198, 40.67664"
120-044 192 ST,PLAC,Raised,"-73.756384, 40.687239"
120-044 232 ST,ACPL,NA,"-73.732608, 40.686294"
120-045 231 ST,ACPL,NA,"-73.733481, 40.686553"
120-048 233 ST,ACRU,Raised,"-73.731775, 40.685965"
120-048 233 ST,ACSA2,Raised,"-73.731775, 40.685965"
120-051 232 ST,TICO,NA,"-73.732659, 40.686196"
120-051 233 ST,ACPL,Raised,"-73.731791, 40.685933"
120-051 233 ST,ACPL,NA,"-73.731791, 40.685933"
120-052 232 ST,ACPL,NA,"-73.732677, 40.686162"
120-052 233 ST,ACSA2,Raised,"-73.731809, 40.685899"
120-052 233 ST,ACRU,Raised,"-73.731809, 40.685899"
120-053 230 ST,ACSA1,Raised,"-73.734422, 40.686686"
120-053 230 ST,ACSA1,NA,"-73.734422, 40.686686"
120-053 231 ST,ACPL,NA,"-73.73355, 40.68642"
120-054 230 ST,ACSA1,Raised,"-73.734439, 40.686654"
120-054 230 ST,ACSA2,NA,"-73.734439, 40.686654"
120-054 230 ST,ACSA1,NA,"-73.734439, 40.686654"
120-054 231 ST,ACPL,Raised,"-73.733567, 40.686388"
120-054 231 ST,ZESE,NA,"-73.733567, 40.686388"
120-055 228 ST,ACPL,Raised,"-73.736187, 40.687182"
120-055 228 ST,ACPL,NA,"-73.736187, 40.687182"
120-055 229 ST,ACSA2,Raised,"-73.73531, 40.686919"
120-055 232 ST,ACSA1,Raised,"-73.732694, 40.68613"
120-055 232 ST,ACPL,NA,"-73.732694, 40.68613"
