address,species,sidewalk_condition,location
42-057 SAULL ST,QUPA,Raised,"-73.829594, 40.753059"
42-059 156 ST,ACPL,Raised,"-73.809726, 40.759718"
42-063 157 ST,ACPL,Raised,"-73.808765, 40.759863"
42-067 65 PL,ACSA1,Raised,"-73.899463, 40.741677"
42-068 77 ST,TICO,Raised,"-73.887659, 40.741851"
42-085 HAMPTON ST,ACRU,Raised,"-73.875254, 40.743602"
42-088 HAMPTON ST,ACRU,Raised,"-73.875115, 40.743541"
420 11 ST,ULAM,Raised,"-73.984622, 40.666678"
420 12 ST,ACPL,Raised,"-73.982476, 40.664798"
420 13 ST,TICO,Raised,"-73.982405, 40.663918"
420 44 ST,QUPA,Raised,"-74.0086, 40.649539"
420 50 ST,UNKNOWN,Raised,"-74.012096, 40.646179"
420 6 ST,ACPL,Raised,"-73.982198, 40.669734"
420 B 132 ST,PLAC,NA,"-73.83626, 40.787304"
420 B 135 ST,PLAC,Raised,"-73.831505, 40.742436"
420 B 136 ST,ACPL,Raised,"1.0, 1.0"
420 BARD AV,QUPA,Raised,"-74.106313, 40.633605"
420 BERGEN ST,GLTR,Raised,"-73.977562, 40.681696"
420 BUCHANAN AV,LIST,Raised,"-74.133775, 40.604721"
420 CROSSBAY BLVD,PLAC,NA,"-73.81947, 40.612072"
420 CROSSBAY BLVD,TICO,NA,"-73.81947, 40.612072"
420 E 18 ST,ACPL,Raised,"-73.961462, 40.64093"
420 E 238 ST,ACSA2,Raised,"-73.864536, 40.899958"
420 E 51 ST,UNKNOWN,Raised,"-73.964906, 40.75417"
420 ELTINGEVILLE BLVD,FRPE,NA,"-74.166796, 40.555536"
420 LEWIS AV,ACPL,Raised,"-73.934671, 40.681083"
420 MARLBOROUGH RD,ACRU,Raised,"-73.964168, 40.639854"
420 PACIFIC ST,ACPL,Raised,"-73.983952, 40.685785"
420 STOCKHOLM ST,ACPL,Raised,"-73.916487, 40.705884"
420 STOCKHOLM ST,ULAM,Raised,"-73.916487, 40.705884"
420 W 150 ST,GIBI,Raised,"-73.943264, 40.827547"
420 W 205 ST,PLAC,Raised,"-73.918461, 40.862527"
420 W 206 ST,PLAC,Raised,"-73.917952, 40.863185"
420 W 261 ST,ACPL,NA,"-73.901413, 40.909818"
420 W 34 ST,PYCA,NA,"-73.997111, 40.753723"
420 W 34 ST,GLTR,NA,"-73.997111, 40.753723"
4200 BAYCHESTER AV,ACSA2,Raised,"-73.844629, 40.895448"
4201 42 ST,PLAC,Raised,"1.0, 1.0"
4202 FT HAMILTON PKWY,QURU,Raised,"-73.99267, 40.641711"
4205 17 AV,ACPL,Raised,"-73.979006, 40.633447"
4208 FOSTER AV,ACPL,Raised,"-73.936705, 40.639325"
