address,species,sidewalk_condition,location
105-035 65 AV,PLAC,Raised,"-73.850356, 40.731184"
105-035 65 RD,TICO,Raised,"-73.850015, 40.730519"
105-036 62 RD,ACPL,Raised,"-73.85278, 40.735941"
105-036 63 RD,ACPL,Raised,"-73.851684, 40.733818"
105-036 91 ST,ACPL,Raised,"-73.847533, 40.679447"
105-037 133 ST,ACPL,Raised,"-73.812458, 40.689117"
105-037 64 AV,PLAC,Raised,"-73.851, 40.732526"
105-037 65 AV,PLAC,Raised,"-73.850313, 40.731197"
105-038 63 RD,ACPL,Raised,"-73.85164, 40.733834"
105-038 65 AV,PLAC,Raised,"-73.850268, 40.73121"
105-038 88 ST,PLAC,Raised,"-73.850306, 40.679104"
105-038 88 ST,ACPL,Raised,"-73.850306, 40.679104"
105-039 63 DR,ACPL,Raised,"-73.851296, 40.733206"
105-039 92 ST,PLAC,Raised,"-73.846561, 40.679506"
105-039 93 ST,PLAC,Raised,"-73.845601, 40.679592"
105-040 62 RD,ACPL,Raised,"-73.852689, 40.735964"
105-040 63 RD,ACPL,Raised,"-73.851597, 40.733848"
105-040 64 AV,PLAC,Raised,"-73.850911, 40.732553"
105-040 91 ST,PLAC,Raised,"-73.847501, 40.679381"
105-040 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
105-041 63 DR,PLAC,Raised,"-73.851253, 40.733219"
105-041 64 AV,PLAC,Raised,"-73.850911, 40.732553"
105-041 92 ST,PLAC,Raised,"-73.846546, 40.679475"
105-042 65 RD,TICO,Raised,"-73.849839, 40.730572"
105-042 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
105-043 171 PL,ACPL,Raised,"-73.785324, 40.701325"
105-043 64 AV,TICO,NA,"-73.850866, 40.732566"
105-043 64 AV,GLTR,NA,"-73.850866, 40.732566"
105-043 64 AV,TICO,Raised,"-73.850866, 40.732566"
105-043 64 AV,PLAC,Raised,"-73.850866, 40.732566"
105-043 64 AV,PLAC,NA,"-73.850866, 40.732566"
105-043 NEW YORK FARMERS B,ACSA1,Raised,"1.0, 1.0"
105-044 135 ST,PLAC,Raised,"-73.810618, 40.689385"
105-045 63 RD,ACPL,Raised,"-73.85151, 40.733879"
105-045 64 AV,PLAC,Raised,"-73.850823, 40.732579"
105-045 88 ST,ACPL,Raised,"-73.850251, 40.678997"
105-046 63 RD,ACPL,Raised,"-73.851468, 40.733893"
105-046 65 RD,PLAC,Raised,"-73.849753, 40.730598"
105-046 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
105-047 63 RD,ACPL,Raised,"-73.851468, 40.733893"
105-048 63 RD,QUPA,Raised,"-73.851423, 40.733909"
105-050 62 RD,ACPL,Raised,"-73.852463, 40.736023"
105-051 90 ST,PLAC,Raised,"-73.848353, 40.679121"
105-052 62 RD,ACPL,Raised,"-73.852416, 40.736035"
105-053 63 RD,TICO,NA,"-73.851336, 40.733939"
105-054 131 ST,ACPL,Raised,"-73.837672, 40.78383"
105-054 62 RD,ACPL,Raised,"-73.852372, 40.736047"
105-054 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
105-055 62 RD,PLAC,Raised,"-73.852372, 40.736047"
105-056 132 ST,PLAC,Raised,"-73.812609, 40.687694"
105-058 209 PL,ACPL,Raised,"1.0, 1.0"
105-061 135 ST,PLAC,Raised,"-73.810421, 40.689035"
105-063 134 ST,PLAC,Raised,"-73.811219, 40.688802"
105-066 134 ST,ACPL,Raised,"-73.811176, 40.68871"
105-066 135 ST,PLAC,Raised,"-73.810347, 40.688904"
105-066 QUEENS BLVD,GLTR,NA,"-73.847652, 40.723047"
105-066 QUEENS BLVD,PLAC,NA,"-73.847652, 40.723047"
105-066 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
105-078 130 ST,ACPL,Raised,"-73.8386, 40.783541"
1050 ANDERSON AV,GLTR,NA,"-73.926288, 40.833443"
1050 E 217 ST,ACPA,NA,"-73.854128, 40.879161"
1050 E 217 ST,UNKNOWN,NA,"-73.854128, 40.879161"
1050 E 226 ST,ACRU,Raised,"-73.850131, 40.88534"
1050 E 230 ST,ACPL,Raised,"-73.848444, 40.888137"
1050 E 52 ST,PLAC,Raised,"-73.926585, 40.634481"
1050 E 54 ST,PLAC,Raised,"-73.924421, 40.632462"
1050 E 85 ST,PLAC,Raised,"-73.906979, 40.635405"
1050 MANHATTAN AV,GLTR,Raised,"-73.95499, 40.734647"
1050 WARING AV,ACSA2,Raised,"-73.857559, 40.861164"
1051 72 ST,PLAC,Raised,"-74.011123, 40.625339"
1051 E 101 ST,PLAC,Raised,"-73.894852, 40.643144"
1051 E 223 ST,ACRU,Raised,"-73.851478, 40.883282"
1051 E 223 ST,FRPE,Raised,"-73.851478, 40.883282"
1051 E 81 ST,TICO,Raised,"-73.909741, 40.633523"
1051 E 84 ST,PLAC,Raised,"-73.907549, 40.634899"
1051 E 93 ST,PLAC,Raised,"-73.906297, 40.644133"
1051 GREENE AV,GLTR,Raised,"-73.925245, 40.691851"
