address,species,sidewalk_condition,location
61-021 185 ST,ACSA2,NA,"-73.789046, 40.739438"
61-021 219 ST,QUPA,Raised,"-73.758618, 40.747873"
61-021 FRESH POND RD,PLAC,Raised,"-73.901143, 40.714504"
61-021/27 71 ST,QUPA,NA,"-73.88692, 40.720872"
61-022 156 ST,ACSA1,Raised,"-73.81232, 40.73809"
61-022 171 ST,ACPL,NA,"-73.798251, 40.737582"
61-022 172 ST,ULAM,Raised,"-73.797352, 40.737549"
61-022 182 ST,ACPL,Raised,"-73.79173, 40.738749"
61-022 69 LA,ACSA2,NA,"-73.888486, 40.720094"
61-022 LINDEN ST,TICO,Raised,"-73.898355, 40.709835"
61-022 PARSONS BLVD,ACSA2,Raised,"-73.810414, 40.738017"
61-023 159 ST,ULAM,Raised,"-73.809449, 40.737972"
61-023 167 ST,TICO,NA,"-73.801855, 40.737718"
61-023 168 ST,TICO,Raised,"-73.800948, 40.737683"
61-023 172 ST,ACRU,NA,"-73.797352, 40.737549"
61-023 68 AV,ACSA1,Raised,"-73.896119, 40.705222"
61-023 69 LA,ACSA2,NA,"-73.888486, 40.720094"
61-023 BROADWAY,ACPL,Raised,"-73.900829, 40.750684"
61-023 LINDEN ST,ACSA1,Raised,"-73.898355, 40.709835"
61-024 165 ST,ACPL,NA,"-73.803656, 40.737754"
61-024 166 ST,TICO,NA,"-73.802753, 40.737724"
61-024 70 ST,ACSA2,NA,"-73.887657, 40.720427"
61-024 71 ST,ACSA1,NA,"-73.88686, 40.720797"
61-025 166 ST,ULAM,NA,"-73.802753, 40.737724"
61-025 172 ST,TICO,Raised,"-73.797354, 40.737521"
61-025 185 ST,QUPA,NA,"-73.78902, 40.739383"
61-025 219 ST,QUPA,Raised,"-73.758587, 40.747815"
61-025 69 LA,ACSA2,NA,"-73.888454, 40.720055"
61-025 69 PL,ACPS,NA,"-73.889163, 40.719512"
61-025 70 ST,ACSA2,NA,"-73.887657, 40.720427"
61-025 BROADWAY,GLTR,Raised,"-73.900808, 40.750675"
61-026 159 ST,ACSA1,Raised,"-73.809453, 40.73792"
61-026 163 ST,QUPA,Raised,"-73.805698, 40.737784"
61-026 173 ST,QUPA,NA,"-73.796451, 40.737458"
61-026 FRESH POND RD,ACPL,Raised,"-73.901139, 40.714472"
61-027 155 ST,UNKNOWN,Raised,"-73.813248, 40.738286"
61-027 159 ST,ACSA1,Raised,"-73.809453, 40.73792"
61-027 161 ST,ACSA2,Raised,"-73.807569, 40.737855"
61-027 170 ST,LIST,Raised,"-73.799152, 40.737562"
61-027 69 ST,ACSA1,Raised,"-73.890587, 40.71875"
61-027 71 ST,QURU,NA,"-73.88683, 40.72076"
61-028 163 ST,QUPA,Raised,"-73.805699, 40.737756"
61-028 69 PL,ACPS,NA,"-73.889106, 40.719442"
61-028 69 PL,PLAC,NA,"-73.889106, 40.719442"
61-028 70 ST,ACRU,Raised,"-73.887597, 40.720351"
61-028 LINDEN ST,ACPL,Raised,"-73.898213, 40.709874"
61-029 157 ST,PYCA,Raised,"-73.81139, 40.737975"
61-029 164 ST,ACPL,NA,"-73.804682, 40.737719"
61-029 186 ST,QUPA,Raised,"-73.788113, 40.739572"
61-029 70 ST,COMA,NA,"-73.887597, 40.720351"
61-029 SAUNDERS ST,ACSA2,Raised,"-73.868476, 40.73155"
61-030 173 ST,QUPA,NA,"-73.796455, 40.737403"
61-030 220 ST,ACPL,Raised,"-73.757716, 40.748172"
61-030 69 LA,ACSA2,NA,"-73.888364, 40.719942"
61-031 160 ST,PLAC,Raised,"-73.808509, 40.73784"
61-031 163 ST,ULAM,Raised,"-73.805701, 40.737731"
61-031 69 LA,TICO,NA,"-73.888364, 40.719942"
61-031 69 PL,ACSA2,NA,"-73.889064, 40.71939"
61-032 163 ST,PLAC,Raised,"-73.805703, 40.737703"
61-032 165 ST,ACPL,NA,"-73.803663, 40.737646"
61-032 171 ST,ACPL,NA,"-73.798261, 40.737445"
61-032 172 ST,PLAC,NA,"-73.797361, 40.737412"
61-032 69 LA,ACSA2,NA,"-73.888333, 40.719903"
61-032 70 ST,ACRU,NA,"-73.887536, 40.720275"
61-033 69 PL,ACSA2,NA,"-73.889022, 40.719339"
61-033 70 ST,ACRU,NA,"-73.887536, 40.720275"
61-034 161 ST,ACPS,Raised,"-73.807576, 40.737749"
61-034 165 ST,ACPL,NA,"-73.803665, 40.73762"
61-034 166 ST,AEHI,NA,"-73.802763, 40.737589"
61-034 173 ST,ACPL,NA,"-73.796458, 40.737349"
61-034 173 ST,AEHI,NA,"-73.796458, 40.737349"
61-034 220 ST,PLAC,Raised,"-73.757688, 40.748109"
61-034 69 PL,ACPS,NA,"-73.88898, 40.719289"
61-035 172 ST,BE,NA,"-73.797363, 40.737385"
61-035 173 ST,ACPL,NA,"-73.796458, 40.737349"
61-035 LINDEN ST,ACSA1,Raised,"-73.898073, 40.709913"
61-036 157 ST,PLAC,Raised,"-73.811398, 40.73787"
61-036 163 ST,ACSA2,Raised,"-73.805706, 40.737652"
61-036 163 ST,PLAC,Raised,"-73.805706, 40.737652"
61-036 165 ST,ACPL,NA,"-73.803666, 40.737593"
61-036 218 ST,ACPL,Raised,"-73.759285, 40.747404"
61-036 220 ST,ACPL,Raised,"-73.757674, 40.748078"
61-036 69 PL,ACSA1,NA,"-73.888938, 40.719237"
61-036 71 ST,ACRU,Raised,"-73.886681, 40.720571"
61-036 BORDEN AV,ACPL,Raised,"-73.903572, 40.725701"
61-036 PARSONS BLVD,ACSA2,Raised,"-73.810426, 40.737831"
61-037 170 ST,TICO,Raised,"-73.799161, 40.737426"
61-037 173 ST,ACSA1,NA,"-73.79646, 40.737322"
61-037 210 ST,QUPA,Raised,"-73.766475, 40.745306"
61-037 69 PL,PLAC,NA,"-73.888938, 40.719237"
61-037 70 ST,PYCA,NA,"-73.887477, 40.720201"
61-037 70 ST,COMA,NA,"-73.887477, 40.720201"
61-038 146 ST,ACRU,Raised,"-73.824243, 40.740584"
61-038 146 ST,ACPL,Raised,"-73.824243, 40.740584"
61-038 146 ST,ACSA1,Raised,"-73.824243, 40.740584"
61-038 148 ST,ACPL,Raised,"-73.822186, 40.740215"
61-038 173 ST,QUPA,NA,"-73.796462, 40.737294"
61-038 71 ST,ACSA2,NA,"-73.88665, 40.720532"
61-039 172 ST,PLAC,NA,"-73.797366, 40.73733"
61-039 68 ST,PLAC,Raised,"-73.891681, 40.717833"
61-039 69 PL,BE,NA,"-73.888896, 40.719186"
61-039 71 ST,ACSA2,NA,"-73.88665, 40.720532"
61-040 167 ST,QUPA,NA,"-73.801871, 40.737473"
61-040 171 ST,ACSA1,NA,"-73.798268, 40.737337"
61-040 173 ST,QUPA,NA,"-73.796464, 40.737268"
61-040 56 AV,AEHI,Raised,"-73.903267, 40.725001"
61-040 69 PL,ACSA1,NA,"-73.888855, 40.719135"
61-040 FRESH POND RD,ACPL,Raised,"-73.90113, 40.714395"
61-040 LINDEN ST,ACSA1,Raised,"-73.897933, 40.709952"
61-041 167 ST,UNKNOWN,NA,"-73.801871, 40.737473"
61-041 167 ST,AEHI,NA,"-73.801871, 40.737473"
61-041 173 ST,ACPL,NA,"-73.796464, 40.737268"
61-041 69 LA,ACRU,NA,"-73.888213, 40.719754"
61-041 69 PL,ACSA2,NA,"-73.888855, 40.719135"
61-041 70 ST,ACSA1,Raised,"-73.887417, 40.720125"
61-041 PARSONS BLVD,ACSA2,Raised,"-73.810429, 40.737778"
61-041 SAUNDERS ST,ULAM,Raised,"-73.868265, 40.731455"
61-042 167 ST,PLAC,NA,"-73.801872, 40.737445"
61-042 PARSONS BLVD,ACSA2,Raised,"-73.810431, 40.737751"
61-043 56 AV,ACPS,Raised,"-73.903217, 40.724998"
61-043 70 ST,PLAC,Raised,"-73.887386, 40.720086"
61-044 146 PL,ACSA1,Raised,"-73.823084, 40.740392"
61-044 164 ST,ULAM,NA,"-73.804696, 40.737508"
61-044 165 ST,PYCA,NA,"-73.803673, 40.737485"
61-044 165 ST,ACPL,NA,"-73.803673, 40.737485"
61-044 70 ST,ACSA1,NA,"-73.887356, 40.720049"
61-044 71 ST,TICO,NA,"-73.886561, 40.720419"
61-045 69 PL,ACSA2,NA,"-73.888771, 40.719033"
61-045 70 ST,ACSA2,NA,"-73.887356, 40.720049"
61-045 71 ST,QUPH,NA,"-73.886561, 40.720419"
61-046 149 ST,ACSA1,Raised,"-73.820551, 40.739597"
61-046 165 ST,FRPE,NA,"-73.803675, 40.737458"
61-046 71 ST,ACSA2,NA,"-73.886532, 40.720382"
61-047 184 ST,ACPL,Raised,"-73.789781, 40.738855"
61-047 69 PL,ACSA1,NA,"-73.888729, 40.718982"
