address,species,sidewalk_condition,location
7102 7 AV,PLAC,Raised,"-74.017483, 40.63017"
7102 COLONIAL RD,ACPL,Raised,"-74.032047, 40.635452"
7102 COLONIAL RD,PLAC,Raised,"-74.032047, 40.635452"
7102 NARROWS AV,ACPL,Raised,"-74.034732, 40.636083"
7104 NARROWS AV,PLAC,Raised,"-74.034737, 40.636069"
7105 5 AV,QUPA,Raised,"-74.021395, 40.632531"
7107 3 AV,QUPA,Raised,"-74.026518, 40.634558"
711 3 AV,GIBI,NA,"-73.973275, 40.752378"
711 3 AV,TICO,NA,"-73.973275, 40.752378"
711 6 AV,FRPE,Raised,"-73.991367, 40.659874"
711 Avenue H,ACPL,Raised,"-73.969879, 40.629127"
711 CROSSBAY BLVD,PLAC,Raised,"-73.819312, 40.60779"
711 DUNNE CT,PLAC,Raised,"-73.962351, 40.589983"
711 E 80 ST,PLAC,Raised,"-73.914835, 40.636911"
711 ELLSWORTH AV,ACRU,Raised,"1.0, 1.0"
711 LENOX RD,PLAC,Raised,"-73.933661, 40.655156"
711 MADISON ST,GLTR,Raised,"-73.928292, 40.687284"
711 PROSPECT AV,ACPS,Raised,"-73.902975, 40.816502"
711 SCHNECTADY AV,PLAC,Raised,"-73.93378, 40.656137"
711 WEST END AVE,GIBI,Raised,"-73.973887, 40.794327"
7112 5 AV,QUPA,Raised,"-74.021423, 40.632461"
7114 COLONIAL RD,PLAC,Raised,"-74.032081, 40.635371"
7115 8 AV,TICO,Raised,"-74.016156, 40.62915"
7115 NARROWS AV,PLAC,Raised,"-74.034765, 40.636002"
7116 RIDGE BLVD,PLAC,Raised,"-74.029405, 40.634719"
7117 NARROWS AV,PLAC,Raised,"-74.03477, 40.635989"
7118 NARROWS AV,ACPL,Raised,"-74.034776, 40.635975"
712 3 AV,TICO,NA,"-73.973219, 40.752454"
712 CARROLL ST,ACPL,Raised,"-73.97833, 40.67398"
712 COMMONWLTH AV,QUPA,NA,"-73.865304, 40.81916"
712 E 217 ST,ACPS,NA,"-73.863203, 40.882046"
712 MADISON ST,GLTR,Raised,"-73.929576, 40.687135"
712 METCALF AV,PLAC,Raised,"-73.870056, 40.818498"
712 SAGAMORE ST,ACRU,NA,"-73.866245, 40.848581"
7120 10 AV,PLAC,Raised,"-74.011788, 40.626454"
7120 COLONIAL RD,PLAC,Raised,"-74.032097, 40.63533"
7122 NARROWS AV,ACPL,Raised,"-74.034786, 40.635948"
7122 RIDGE BLVD,UNKNOWN,Raised,"-74.029421, 40.634678"
