address,species,sidewalk_condition,location
510 SHEPHERD AV,PLAC,Raised,"-73.880246, 40.67188"
510 SOUND VIEW AV,ACPL,Raised,"-73.859922, 40.815462"
510 VERNON AV,ACPL,Raised,"1.0, 1.0"
5101 17 AV,PLAC,Raised,"-73.984258, 40.628422"
5101 6 AV,PYCA,Raised,"-74.008707, 40.643209"
5101 Avenue I,ACPL,Raised,"-73.927093, 40.630572"
5101 Avenue I,PLAC,Raised,"-73.927093, 40.630572"
5101 BEVERLEY RD,ACSA2,Raised,"-73.928783, 40.646383"
5101 TILDEN AV,ACSA2,Raised,"-73.92898, 40.648244"
5105 17 AV,ACPL,Raised,"-73.98428, 40.6284"
5105 BEVERLEY RD,ACSA2,Raised,"-73.928746, 40.646386"
5107 Avenue I,ACPL,Raised,"-73.927038, 40.630576"
511 58 ST,GIBI,Raised,"-74.014728, 40.640474"
511 9 ST,ULAM,Raised,"-73.979124, 40.665701"
511 BAY RIDGE PKWY,PLAC,Raised,"-74.02237, 40.629324"
511 E 116 ST,PLAC,Raised,"-73.932972, 40.794972"
511 E 236 ST,ACSA2,Raised,"-73.863432, 40.898691"
511 E 236 ST,ACPL,Raised,"-73.863432, 40.898691"
511 GANESVOORT BLVD,ACPL,Raised,"-74.125533, 40.598833"
511 GLENMORE AV,ACSA1,Raised,"-73.891449, 40.673864"
511 OAK AV,PLAC,Raised,"-74.114122, 40.559652"
511 WILLIAMS AV,PLAC,Raised,"-73.897517, 40.663258"
5111 10 AV,PLAC,Raised,"-73.999954, 40.637832"
5111 11 AV,PLAC,Raised,"-73.997753, 40.636503"
5112 Avenue M,ACSA2,Raised,"-73.926005, 40.621428"
5112 Avenue M,PLAC,Raised,"-73.926005, 40.621428"
5113 10 AV,PLAC,Raised,"-73.999966, 40.637821"
5115 10 AV,PLAC,Raised,"-73.999977, 40.63781"
5115 TIBBET AV,ACPL,Raised,"-73.899259, 40.896893"
5115 TIBBET AV,GLTR,Raised,"-73.899259, 40.896893"
5115 TIBBET AV,QUPA,Raised,"-73.899259, 40.896893"
5117 Avenue H,ACPL,Raised,"-73.927195, 40.63292"
5119 AMBOY RD,QUPA,Raised,"-74.180935, 40.535882"
5119 Avenue H,PLAC,Raised,"-73.927176, 40.632921"
512 10 ST,TICO,Raised,"-73.982876, 40.666681"
512 12 ST,GLTR,Raised,"-73.97896, 40.663096"
512 47 ST,GIBI,Raised,"-74.008276, 40.646611"
512 48 ST,SOJA,Raised,"-74.008859, 40.646049"
512 9 ST,PLAC,Raised,"-73.979328, 40.6658"
512 ARLENE ST,ACPL,Raised,"-74.165932, 40.605091"
512 Avenue F,ACPL,Raised,"-73.97347, 40.633612"
512 B 132 ST,PLAC,NA,"-73.83626, 40.787304"
512 BEACH AV,UNKNOWN,NA,"-73.86247, 40.815187"
512 E 13 ST,PLAC,Raised,"-73.978892, 40.662219"
512 E 14 ST,PLAC,Raised,"1.0, 1.0"
512 E 53 ST,ACSA2,Raised,"-73.92696, 40.647146"
512 E 91 ST,PLAC,Raised,"-73.919726, 40.653777"
512 E 92 ST,PLAC,Raised,"-73.918861, 40.654176"
512 HUGUENOT ST,ACRU,Raised,"-74.196896, 40.542252"
512 SOUND VIEW AV,FRPE,NA,"-73.85996, 40.815499"
512 SOUND VIEW AV,ACPL,Raised,"-73.85996, 40.815499"
5120 Avenue I,ACPL,Raised,"-73.926909, 40.630584"
5120 TILDEN AV,PLAC,Raised,"-73.928795, 40.648256"
5122 POST RD,ACPL,Raised,"-73.898066, 40.896162"
5122 POST RD,QURU,Raised,"-73.898066, 40.896162"
5123 BEVERLEY RD,PLAC,Raised,"-73.92858, 40.646396"
5124 Avenue I,ACPL,Raised,"-73.926872, 40.630586"
5124 BEVERLEY RD,ACSA2,Raised,"-73.928561, 40.646397"
5127 POST RD,ACSA2,Raised,"-73.898094, 40.896239"
513 12 ST,ULAM,Raised,"-73.978921, 40.663077"
513 DAVIS AV,PLAC,Raised,"-74.108155, 40.630843"
513 ST LAWRENCE AV,SOJA,NA,"-73.863395, 40.815064"
513 WILLIAMS AV,PLAC,Raised,"-73.897504, 40.663208"
5136 POST RD,ACPL,Raised,"-73.898164, 40.89643"
5139 POST RD,ACPL,Raised,"-73.898179, 40.89647"
514 12 ST,QUPA,Raised,"-73.978888, 40.663062"
514 9 ST,ACPL,Raised,"-73.979262, 40.665768"
514 Avenue X,PLAC,Raised,"-73.96492, 40.591131"
514 E 12 ST,PLAC,Raised,"-73.978888, 40.663062"
514 E 2 ST,PLAC,Raised,"-73.977465, 40.638707"
514 E 8 ST,PLAC,Raised,"-73.970472, 40.637379"
514 E NEW YORK AV,QUPA,Raised,"-73.945794, 40.661867"
514 ELTINGEVILLE BLVD,ACSA2,NA,"-74.16722, 40.557636"
514 KISSEL AV,ACRU,Raised,"-74.103698, 40.63128"
5143 POST RD,ACSA2,Raised,"-73.898207, 40.896547"
515 10 ST,SOJA,Raised,"-73.982784, 40.666636"
515 3 ST,ULAM,Raised,"-73.978066, 40.670275"
515 73 ST,PLAC,Raised,"-74.021656, 40.630813"
515 74 ST,PLAC,Raised,"-74.021922, 40.630154"
515 82 ST,QUPA,Raised,"-74.024389, 40.624101"
515 BEACH AV,QUPA,NA,"-73.86248, 40.81523"
515 CARY AV,ACRU,NA,"-74.11915, 40.632393"
515 CARY AV,ACSA1,NA,"-74.11915, 40.632393"
515 E 13 ST,PLAC,Raised,"1.0, 1.0"
515 E 14 ST,PLAC,Raised,"1.0, 1.0"
515 E 19 ST,ACPL,Raised,"-73.960016, 40.638375"
515 E 8 ST,ACPS,Raised,"-73.970463, 40.63733"
515 GANESVOORT BLVD,PLAC,Raised,"-74.125485, 40.598702"
515 JEROME ST,PLAC,Raised,"-73.885588, 40.668794"
515 MELYN PL,ACSA1,Raised,"-74.150875, 40.626194"
515 ST LAWRENCE AV,SOJA,Raised,"-73.863405, 40.815107"
515 THATFORD AV,PLAC,Raised,"-73.906626, 40.657237"
515 THERIOT AV,ACSA1,NA,"1.0, 1.0"
515 W 173 ST,QUPA,Raised,"-73.935162, 40.843157"
5151 POST RD,ACPL,Raised,"-73.898263, 40.896698"
5153 POST RD,ACPL,Raised,"-73.898277, 40.896738"
5154 BROADWAY,ACSA1,Raised,"1.0, 1.0"
516 10 ST,TICO,Raised,"-73.982768, 40.666629"
516 11 ST,GLTR,Raised,"-73.981824, 40.665326"
516 12 ST,QUPA,Raised,"-73.978815, 40.663026"
516 6 AV,FRPE,Raised,"-73.986234, 40.665287"
516 9 ST,QUPA,Raised,"-73.979191, 40.665733"
516 CARLTON AV,GLTR,Raised,"-73.970857, 40.681608"
516 CHAUNCEY ST,TICO,Raised,"-73.911492, 40.682471"
516 STATE ST,PLAC,Raised,"-73.980028, 40.685865"
517 10 ST,PLAC,Raised,"-73.982727, 40.666609"
517 12 ST,QUPA,Raised,"-73.978768, 40.663004"
517 16 ST,QUPA,Raised,"-73.978417, 40.659452"
517 48 ST,LIST,Raised,"-74.008772, 40.645996"
517 49 ST,QUPA,Raised,"-74.009355, 40.645436"
517 55 ST,PLAC,Raised,"-74.01285, 40.642075"
517 72 ST,PLAC,Raised,"-74.021291, 40.631493"
