address,species,sidewalk_condition,location
247 PARK AV S,PYCA,NA,"-73.987793, 40.738228"
247 W 101 ST,UL,Raised,"-73.969914, 40.798032"
247 W 149 ST,QURU,Raised,"-73.938573, 40.824737"
247 W 230 ST,GIBI,NA,"-73.907922, 40.878186"
247 W 254 ST,LIST,Raised,"-73.899267, 40.901338"
247-006 UNION TPKE,PLAC,Raised,"-73.722792, 40.742071"
247-010 CULLMAN AV,ACPL,Raised,"-73.72756, 40.752972"
247-015 89 AV,ACSA1,Raised,"-73.720834, 40.727275"
247-016 86 AV,ACPL,Raised,"-73.718798, 40.731627"
247-016 88 RD,ACPL,Raised,"-73.720632, 40.728633"
247-024 88 RD,ACPL,Raised,"-73.720503, 40.728617"
247-039 89 AV,ACPL,Raised,"-73.720269, 40.727218"
247-048 89 AV,FRPE,Raised,"-73.720033, 40.727194"
247-067 90 AV,GLTR,Raised,"-73.719435, 40.726548"
2470 E 24 ST,PLAC,Raised,"-73.946051, 40.591674"
2470 RALPH AV,PLAC,Raised,"-73.917087, 40.617921"
2471 E 27 ST,PLAC,Raised,"-73.943202, 40.591988"
2474 E 22 ST,ACPL,Raised,"-73.94789, 40.591387"
2474 E 22 ST,PLAC,Raised,"-73.94789, 40.591387"
2475 RALPH AV,PLAC,Raised,"-73.917102, 40.618064"
248 56 ST,FRPE,Raised,"-74.019378, 40.645106"
248 72 ST,PLAC,Raised,"-74.028318, 40.63384"
248 83 ST,PLAC,Raised,"-74.031517, 40.626017"
248 CARLTON AV,ACPL,Raised,"-73.972275, 40.690273"
248 COLON AV,PLAC,NA,"-74.156346, 40.555513"
248 COVERT ST,ACPL,Raised,"-73.907297, 40.691407"
248 DEMOREST AV,ACSA1,Raised,"-74.136399, 40.617703"
248 E 11 ST,ACPS,Raised,"-73.98963, 40.669103"
248 E 48 ST,PLAC,Raised,"-73.932802, 40.656086"
248 E 58 ST,PLAC,Raised,"-73.922364, 40.64914"
248 E 9 ST,ACSA2,Raised,"-73.970495, 40.642504"
248 E 9 ST,ACSA1,Raised,"-73.970495, 40.642504"
248 E 90 ST,GLTR,Raised,"-73.951025, 40.780921"
248 GREELEY AV,PLAC,NA,"-74.106657, 40.576561"
248 HILLCREST ST,LIST,Raised,"-74.154391, 40.539913"
248 HUSSON ST,PLAC,NA,"-74.101218, 40.582197"
248 STERLING PL,PLAC,Raised,"-73.969605, 40.67593"
248 W 137 ST,GLTR,Raised,"-73.944149, 40.817188"
248 WOODWARD AV,QUPA,Raised,"-74.143011, 40.604563"
248-003 82 AV,ACPL,Raised,"-73.720645, 40.738848"
248-004 82 AV,ACPL,Raised,"-73.720627, 40.738852"
248-004 82 AV,PLAC,Raised,"-73.720627, 40.738852"
248-009 THORNHILL AV,ACPL,Raised,"-73.734121, 40.761506"
248-010 89 AV,ACPL,Raised,"-73.718334, 40.726849"
248-011 54 AV,ACRU,Raised,"-73.734675, 40.760474"
248-011 54 AV,QURU,Raised,"-73.734675, 40.760474"
248-011 54 AV,ACPL,Raised,"-73.734675, 40.760474"
248-011 88 DR,ACPL,Raised,"-73.718699, 40.727533"
248-014 54 AV,ACPL,Raised,"-73.734502, 40.760549"
248-015 82 AV,ACRU,Raised,"-73.720538, 40.738871"
248-015 88 DR,ACPL,Raised,"-73.718587, 40.727558"
248-015 THORNHILL AV,ACPL,Raised,"-73.734072, 40.761502"
248-017 88 RD,PLAC,Raised,"-73.718755, 40.728399"
248-019 83 AV,ACPL,Raised,"-73.719745, 40.73683"
248-021 54 AV,ACRU,Raised,"-73.734376, 40.760604"
248-021 54 AV,ACPL,Raised,"-73.734376, 40.760604"
248-021 THORNHILL AV,QUPA,Raised,"-73.734022, 40.761498"
248-031 88 DR,ACPL,Raised,"-73.718141, 40.727655"
248-033 54 AV,ACPL,Raised,"-73.73402, 40.760758"
248-033 ZION ST,ACSA1,Raised,"1.0, 1.0"
248-034 54 AV,ACPL,Raised,"-73.733829, 40.760842"
248-043 54 AV,ACPL,Raised,"-73.733722, 40.760888"
248-044 89 AV,ACPL,Raised,"-73.71747, 40.727047"
248-053 54 AV,ACSA1,Raised,"-73.733425, 40.761017"
248-054 MARATHAN PKWY,ACPL,Raised,"1.0, 1.0"
248-057 88 RD,GIBI,Raised,"-73.717532, 40.728245"
2480 PARK AVE,QURU,Raised,"1.0, 1.0"
2483 E 22 ST,FRPE,Raised,"-73.947858, 40.591218"
2483 E 7 ST,PLAC,Raised,"-73.962542, 40.589756"
2485 E 7 ST,PLAC,Raised,"-73.96253, 40.589693"
249 B 128 ST,PLAC,Raised,"-73.81357, 40.663547"
249 B 135 ST,PLAC,Raised,"-73.831505, 40.742436"
249 BRADFORD ST,PLAC,Raised,"-73.892291, 40.673108"
249 CARLTON AV,PLAC,Raised,"-73.972263, 40.690212"
249 CENTRAL PARK WEST,QUPA,Raised,"-73.96984, 40.784601"
249 CLERMONT AV,ACPL,Raised,"-73.97024, 40.690047"
249 COVERT ST,PLAC,Raised,"-73.907297, 40.691407"
249 CRYSTAL AV,PYCA,NA,"-74.14215, 40.617801"
249 E 48 ST,QUPA,NA,"-73.970576, 40.754106"
249 E 48 ST,QUPH,NA,"-73.970576, 40.754106"
249 E 7 ST,ACPL,Raised,"-73.973178, 40.645873"
249 E 94 ST,PLAC,Raised,"-73.922872, 40.659904"
249 E WILLOW RD,ACSA1,NA,"1.0, 1.0"
