address,species,sidewalk_condition,location
32-009 159 ST,TICO,NA,"-73.805582, 40.769429"
32-009 159 ST,ACSA2,NA,"-73.805582, 40.769429"
32-009 159 ST,ACRU,NA,"-73.805582, 40.769429"
32-009 77 ST,PYCA,Raised,"-73.890366, 40.756991"
32-010 156 ST,QUPA,Raised,"-73.808376, 40.769625"
32-010 156 ST,ACPL,NA,"-73.808376, 40.769625"
32-010 156 ST,QUPA,NA,"-73.808376, 40.769625"
32-010 156 ST,ACPS,NA,"-73.808376, 40.769625"
32-010 157 ST,GLTR,Raised,"-73.807445, 40.769549"
32-010 84 ST,ACPS,Raised,"-73.883853, 40.757635"
32-010 93 ST,GLTR,Raised,"-73.875462, 40.758374"
32-011 156 ST,ACPL,NA,"-73.808376, 40.769625"
32-011 160 ST,ACRU,NA,"-73.80465, 40.76933"
32-011 77 ST,TICO,Raised,"-73.890359, 40.75695"
32-012 156 ST,ACRU,Raised,"-73.80838, 40.769598"
32-012 156 ST,ACPL,NA,"-73.80838, 40.769598"
32-012 60 ST,PLAC,Raised,"-73.902427, 40.755634"
32-012 71 ST,ACPS,Raised,"-73.895926, 40.756326"
32-012 78 ST,TICO,Raised,"-73.889421, 40.757009"
32-012 80 ST,ACSA2,Raised,"-73.887561, 40.757202"
32-012 PLUNKET AV,ACPL,Raised,"-73.767137, 40.612377"
32-012 UNION ST,GLTR,Raised,"-73.826691, 40.768839"
32-012 UNION ST,AIAL,NA,"-73.826691, 40.768839"
32-013 163 ST,FRPE,NA,"-73.801851, 40.769079"
32-013 77 ST,TICO,Raised,"-73.890351, 40.756909"
32-013 79 ST,ACRU,Raised,"-73.888492, 40.757104"
32-013 86 ST,ACPL,Raised,"-73.881983, 40.75779"
32-014 158 ST,LIST,NA,"-73.806525, 40.769423"
32-014 163 ST,QURU,NA,"-73.801855, 40.769051"
32-014 78 ST,PYCA,Raised,"-73.889413, 40.756966"
32-014 84 ST,PLAC,Raised,"-73.883838, 40.757551"
32-014 ANCHOR DR,PLAC,Raised,"-73.769558, 40.610588"
32-014 PARSONS BLVD,QUPA,NA,"-73.824407, 40.769114"
32-015 103 ST,ACPL,NA,"-73.86596, 40.759193"
32-015 155 ST,PRSE1,NA,"-73.809322, 40.769643"
32-015 159 ST,QUPA,Raised,"-73.805593, 40.769348"
32-015 161 ST,TICO,NA,"-73.803724, 40.7692"
32-015 163 ST,QURU,NA,"-73.801855, 40.769051"
32-015 32 ST,PLAC,Raised,"-73.924875, 40.761245"
32-015 38 AV,ULAM,Raised,"-73.931134, 40.753312"
32-015 77 ST,TICO,Raised,"-73.890343, 40.756865"
32-015 85 ST,PLAC,Raised,"-73.882904, 40.757651"
32-016 150 ST,QUPA,Raised,"-73.815704, 40.770024"
32-016 159 ST,ACSA1,NA,"-73.805596, 40.769321"
32-016 162 ST,TICO,NA,"-73.802792, 40.7691"
32-016 71 ST,ACPL,Raised,"-73.89591, 40.756242"
32-016 79 ST,ACRU,Raised,"-73.888477, 40.75702"
32-016 MOTT AV,GLTR,Raised,"-73.769094, 40.61122"
32-016 PLUNKET AV,ULAM,Raised,"-73.76718, 40.612414"
32-017 103 ST,ACPL,NA,"-73.865954, 40.759157"
32-017 156 ST,ACPL,NA,"-73.808388, 40.769543"
32-017 53 PL,TICO,Raised,"-73.907919, 40.755056"
32-017 76 ST,TICO,Raised,"-73.891265, 40.756729"
32-017 77 ST,ACPL,Raised,"-73.890336, 40.756824"
32-017 78 ST,PYCA,Raised,"-73.889406, 40.756925"
32-017 80 ST,ULAM,Raised,"-73.887546, 40.757118"
32-018 163 ST,QURU,NA,"-73.801863, 40.768997"
32-018 163 ST,ACSA1,NA,"-73.801863, 40.768997"
32-018 61 ST,ACSA2,Raised,"-73.901533, 40.755607"
32-018 71 ST,PLAC,Raised,"-73.895903, 40.756198"
32-018 78 ST,ACPL,Raised,"-73.889398, 40.756882"
32-018 85 ST,ACPL,Raised,"-73.882889, 40.757566"
32-019 157 ST,ACRU,NA,"-73.80746, 40.769439"
32-019 157 ST,ACPS,NA,"-73.80746, 40.769439"
32-019 158 ST,ACPL,NA,"-73.806533, 40.769368"
32-019 159 ST,PYCA,NA,"-73.8056, 40.769293"
32-019 160 ST,ACRU,NA,"-73.804665, 40.76922"
32-019 160 ST,GLTR,NA,"-73.804665, 40.76922"
32-019 161 ST,QURU,NA,"-73.803731, 40.769145"
32-019 76 ST,TICO,Raised,"-73.891257, 40.756686"
32-019 85 ST,ACPL,Raised,"-73.882889, 40.757566"
32-020 155 ST,OSVI,NA,"-73.809334, 40.769562"
32-020 156 ST,ULAM,NA,"-73.808395, 40.769488"
32-020 156 ST,ACRU,NA,"-73.808395, 40.769488"
32-020 159 ST,ACRU,NA,"-73.805604, 40.769266"
32-020 160 ST,ACRU,NA,"-73.804669, 40.769193"
32-020 78 ST,PYCA,Raised,"-73.88939, 40.75684"
32-020 83 ST,PLAC,Raised,"-73.884743, 40.757329"
32-020 83 ST,ACPL,Raised,"-73.884743, 40.757329"
32-020 84 ST,TICO,Raised,"-73.883815, 40.757425"
32-020 84 ST,PLAC,Raised,"-73.883815, 40.757425"
32-020 ANCHOR DR,PLAC,Raised,"-73.769602, 40.610608"
32-021 107 ST,UNKNOWN,NA,"-73.862202, 40.759429"
32-021 155 ST,ACRU,NA,"-73.809334, 40.769562"
32-021 156 ST,ACPS,NA,"-73.808395, 40.769488"
32-021 156 ST,PLAC,NA,"-73.808395, 40.769488"
32-021 76 ST,TICO,Raised,"-73.89125, 40.756645"
32-022 163 ST,QURU,NA,"-73.80187, 40.768943"
32-022 190 ST,ACPL,Raised,"-73.791629, 40.768239"
32-022 37 ST,ACPL,Raised,"-73.92103, 40.759191"
32-022 79 ST,ACSA2,Raised,"-73.888454, 40.756894"
32-022 81 ST,PLAC,Raised,"-73.886595, 40.757092"
32-022 PARSONS BLVD,ACPL,NA,"-73.824389, 40.769026"
32-022 UNION ST,GLTR,NA,"-73.826698, 40.768752"
32-023 103 ST,ACSA2,NA,"-73.865934, 40.759048"
32-023 160 ST,QURU,NA,"-73.804672, 40.769166"
32-023 32 ST,ACPL,Raised,"-73.925021, 40.761064"
32-023 53 ST,QURU,Raised,"1.0, 1.0"
32-023 76 ST,ACPL,Raised,"-73.891242, 40.756603"
32-023 87 ST,ACPL,Raised,"-73.881014, 40.757678"
32-024 107 ST,UNKNOWN,NA,"-73.862187, 40.759346"
32-024 150 ST,ACSA1,Raised,"-73.815692, 40.769922"
32-024 154 ST,ACPL,NA,"-73.810333, 40.769585"
32-024 154 ST,ACRU,NA,"-73.810333, 40.769585"
