address,species,sidewalk_condition,location
8904 Avenue O,PLAC,Raised,"1.0, 1.0"
8905 Avenue B,ACSA2,Raised,"-73.917044, 40.649056"
8906 Avenue J,ACRU,Raised,"-73.904839, 40.638121"
8906 FLATLANDS AV,PLAC,Raised,"-73.906685, 40.639773"
8907 Avenue A,PLAC,Raised,"-73.91885, 40.650697"
8907 FLATLANDS AV,PLAC,Raised,"-73.906685, 40.639773"
8908 Avenue B,ACSA2,Raised,"-73.917014, 40.649076"
891 BELMONT AV,ACSA2,Raised,"-73.875992, 40.6735"
891 E 21 ST,ACPL,Raised,"-73.956491, 40.631836"
891 MONTGOMERY ST,PLAC,Raised,"-73.935265, 40.664547"
891 OCEAN AV,TICO,Raised,"-73.959247, 40.640787"
891 STERLING PL,ACPL,Raised,"-73.949056, 40.672465"
8910 Avenue J,ACRU,Raised,"-73.904809, 40.63814"
8910 Avenue O,PLAC,Raised,"1.0, 1.0"
8911 Avenue B,ACSA2,Raised,"-73.916999, 40.649086"
8912 Avenue J,PLAC,Raised,"-73.904794, 40.63815"
8912 Avenue O,PLAC,Raised,"1.0, 1.0"
8912 RIDGE BLVD,PLAC,Raised,"-74.034724, 40.621707"
8914 Avenue J,PLAC,Raised,"-73.904778, 40.63816"
8918 Avenue O,PLAC,Raised,"1.0, 1.0"
8919 Avenue A,PYCA,Raised,"-73.918758, 40.650757"
892 BELMONT AV,ACSA2,Raised,"-73.875992, 40.6735"
8920 Avenue B,ACSA2,Raised,"-73.916923, 40.649135"
893 BELMONT AV,QUPA,Raised,"-73.875893, 40.673514"
893 FOREST AV,ACPL,NA,"-74.118772, 40.628727"
893 ST JOHNS PL,SOJA,Raised,"-73.948653, 40.671547"
8934 15 AV,ACSA2,Raised,"-74.016399, 40.604726"
894 ARMSTRONG AV,ACRU,NA,"-74.161199, 40.556316"
894 ARMSTRONG AV,ACPL,NA,"-74.161199, 40.556316"
894 ARMSTRONG AV,GLTR,NA,"-74.161199, 40.556316"
894 PARK PL,PLAC,Raised,"-73.948041, 40.673307"
895 E 58 ST,PLAC,Raised,"-73.920571, 40.632105"
895 STERLING PL,ACPL,Raised,"-73.94893, 40.672458"
896 ST JOHNS PL,PLAC,Raised,"-73.948589, 40.671543"
897 ALBANY AV,ACPL,Raised,"-73.939111, 40.651879"
897 E 54 ST,PLAC,Raised,"-73.924834, 40.6363"
897 UNION ST,GLTR,Raised,"-73.973804, 40.673818"
899 E 7 ST,ACPL,Raised,"-73.970015, 40.629185"
899 STERLING PL,TICO,Raised,"-73.948801, 40.672451"
9 1 ST,PLAC,Raised,"-73.992654, 40.678867"
9 7 AV,ACSA1,Raised,"-73.819041, 40.608712"
9 AINSWORTH AV,ACPL,Raised,"-74.140265, 40.553853"
9 ARLENE ST,ACRU,Raised,"-74.163585, 40.615695"
9 COLUMBIA PL,ACPL,Raised,"-73.998405, 40.693534"
9 CROSBY PL,QUPA,Raised,"-73.895874, 40.681694"
9 E AUGUSTA AV,FRPE,NA,"-74.157669, 40.553323"
9 ECHO PL,ACRU,NA,"-74.149858, 40.617636"
9 HARTFORD AV,ACSA2,Raised,"-74.109969, 40.625357"
9 KEEGANS LA,ACPL,Raised,"-74.142068, 40.552908"
9 LEONARD AV,ACSA1,Raised,"-74.131494, 40.617306"
9 LEWIS PL,SOJA,Raised,"-73.969549, 40.643067"
9 MERLE PL,ACSA1,Raised,"-74.068816, 40.607129"
9 NOEL AV,ACRU,Raised,"-73.921718, 40.586238"
9 OAKLEY PL,PLAC,Raised,"-74.122168, 40.574146"
9 ROBERTS DR,PLAC,Raised,"-74.112813, 40.559954"
9 S ELLIOTT PL,ULAM,Raised,"-73.976047, 40.689445"
9 TURNER PL,PLAC,Raised,"-73.971624, 40.645199"
9-004 CLINTOVILLE ST,ACSA1,Raised,"-73.813219, 40.793612"
9-004 CLINTOVILLE ST,ULAM,Raised,"-73.813219, 40.793612"
9-005 WHITESTONE EXWY,PLAC,Raised,"-73.822553, 40.791463"
9-006 119 ST,PLAC,Raised,"-73.848896, 40.789238"
9-006 119 ST,ACPL,Raised,"-73.848896, 40.789238"
9-011 CLINTOVILLE ST,ACSA1,Raised,"-73.813202, 40.793572"
9-015 149 ST,QUPA,Raised,"-73.817442, 40.792561"
9-015 WHITESTONE EXWY,ACPL,Raised,"-73.822513, 40.791398"
9-016 119 ST,ACSA1,Raised,"-73.848882, 40.789066"
9-017 129 ST,GLTR,Raised,"-73.839098, 40.788978"
9-021 129 ST,ACPL,Raised,"-73.839102, 40.788922"
9-022 128 ST,PLAC,Raised,"-73.840018, 40.788926"
9-024 128 ST,PLAC,Raised,"-73.84002, 40.788897"
9-025 117 ST,SOJA,Raised,"-73.850627, 40.789146"
9-025 117 ST,QUPA,Raised,"-73.850627, 40.789146"
9-025 119 ST,QUPA,Raised,"-73.848871, 40.788927"
9-031 COLLEGE PL,TICO,Raised,"-73.846384, 40.788679"
9-036 128 ST,ACSA1,Raised,"-73.84003, 40.788731"
9-037 118 ST,PLAC,Raised,"-73.84971, 40.788683"
9-038 129 ST,ACPL,Raised,"-73.839116, 40.788672"
9-041 118 ST,PLAC,Raised,"-73.849706, 40.788613"
9-042 118 ST,ACPL,Raised,"-73.849704, 40.788578"
9-046 119 ST,PLAC,Raised,"-73.848839, 40.788547"
9/11 BIRCHARD ST,ACSA1,Raised,"1.0, 1.0"
90 8 ST,ACPL,Raised,"-74.117355, 40.571668"
90 85 ST,QUPA,Raised,"-74.036517, 40.625714"
90 BANCROFT AV,PLAC,Raised,"-74.11204, 40.577691"
90 BARTOW ST,ACPL,Raised,"-74.137498, 40.552626"
90 BAY 40 ST,PLAC,Raised,"-73.988333, 40.595669"
90 BAY TER,TICO,Raised,"-74.136555, 40.555079"
90 COLUMBUS PL,PLAC,NA,"-74.140134, 40.617091"
90 COOPER ST,QUPA,Raised,"-73.909044, 40.686054"
90 CORBIN PL,ACPL,Raised,"-73.954595, 40.579762"
90 CRANFORD ST,PLAC,Raised,"-74.139028, 40.551785"
90 E 235 ST,ACPL,Raised,"-73.872934, 40.896989"
90 E 39 ST,PLAC,Raised,"-73.941403, 40.655393"
90 E 52 ST,PLAC,Raised,"-73.929203, 40.659047"
90 ESCANABA AV,ACSA1,NA,"-74.159442, 40.55017"
90 HAMILTON AV,QUPA,Raised,"-74.080516, 40.644776"
90 HAMPTON GREEN,LIST,Raised,"-74.194177, 40.5537"
90 HOME PL,PLAC,Raised,"-74.148172, 40.618324"
90 HUNTON ST,PYCA,Raised,"-74.094931, 40.599605"
90 KISSEL AV,ACPL,Raised,"-74.10624, 40.642818"
90 LEVIT AV,QUPA,NA,"-74.148277, 40.619681"
90 N HENRY ST,PLAC,Raised,"-73.943002, 40.72228"
90 OCEAN CT,ACPL,Raised,"-73.96395, 40.590499"
90 ROE ST,ACRU,NA,"-74.121633, 40.631909"
90 ROMA AV,ACPL,Raised,"-74.102128, 40.563362"
90 VANDERBILT AV,TICO,Raised,"-74.075182, 40.621081"
90 VANDERBILT AV,ACPL,Raised,"-74.075182, 40.621081"
90 WALNUT ST,PLAC,Raised,"-74.108923, 40.639347"
90-001 195 ST,TICO,Raised,"-73.766558, 40.714286"
90-001 207 ST,PLAC,Raised,"-73.756361, 40.718488"
