address,species,sidewalk_condition,location
1199 E 56 ST,PLAC,Raised,"-73.921869, 40.626484"
1199 PIERCE AV,PLAC,Raised,"-73.846382, 40.84845"
1199 RALPH AV,QUPA,Raised,"-73.920254, 40.646243"
12 ASCAN AV,QURU,NA,"1.0, 1.0"
12 ASCAN AV,COMA,NA,"1.0, 1.0"
12 BAYRIDGE PL,PLAC,Raised,"-74.028003, 40.636024"
12 BEACH AV,QUPA,Raised,"-74.122774, 40.572935"
12 BOWDEN ST,PLAC,NA,"-74.103581, 40.582342"
12 CARTERET ST,LIST,Raised,"-74.248402, 40.508314"
12 CHESHIRE PL,GLTR,Raised,"-74.102071, 40.6205"
12 CLIFTON PL,GIBI,Raised,"-73.964208, 40.687642"
12 COLLFIELD AV,QUPA,Raised,"-74.142523, 40.621978"
12 COLLFIELD AV,LIST,Raised,"-74.142523, 40.621978"
12 CORNELIA ST,ULAM,Raised,"-73.918022, 40.687636"
12 CRAFTON AV,PLAC,Raised,"-74.142162, 40.610794"
12 DAKOTA PL,PYCA,Raised,"-74.131778, 40.616432"
12 DOUGLASS ST,PLAC,Raised,"-73.994487, 40.684269"
12 E AUGUSTA AV,PYCA,NA,"-74.157735, 40.553314"
12 EAGLE RD,ACPL,NA,"-74.148846, 40.619151"
12 ECHO PL,ACSA1,NA,"-74.149854, 40.617744"
12 EDISON ST,ACRU,NA,"-74.105422, 40.580195"
12 GREENFIELD AV,ACRU,Raised,"-74.071286, 40.62082"
12 HENRY HUDSON PKWY,ACPL,Raised,"1.0, 1.0"
12 HERRICK AV,ACSA1,Raised,"-74.218029, 40.530703"
12 HOLGATE ST,ACPL,Raised,"-74.146651, 40.613266"
12 JAFFE ST,ACSA1,NA,"-74.147723, 40.620338"
12 LINWOOD AV,ACSA1,Raised,"-74.073697, 40.597335"
12 LOCKMAN AV,ACRU,Raised,"-74.161274, 40.63731"
12 MAC DONALD ST,ACPS,Raised,"-74.133807, 40.600313"
12 MIDDLELOOP RD,QUPA,NA,"-74.161292, 40.555072"
12 MONSEY PL,PLAC,Raised,"-74.149394, 40.62425"
12 NIPPON AV,GLTR,Raised,"-74.19502, 40.544322"
12 OAKLEY PL,PLAC,Raised,"-74.122586, 40.574057"
12 OCEAN TER,LIST,Raised,"-74.120168, 40.601813"
12 OCEAN TER,ACRU,Raised,"-74.120168, 40.601813"
12 PARK PL,GIBI,Raised,"-73.977892, 40.67954"
12 ROSEDALE AV,ACPL,NA,"-74.200526, 40.546378"
12 ROSEDALE AV,UNKNOWN,NA,"-74.200526, 40.546378"
12 ROSEDALE AV,TICO,NA,"-74.200526, 40.546378"
12 ROSEDALE AV,ACPS,NA,"-74.200526, 40.546378"
12 SAVIN CT,GLTR,Raised,"-74.09287, 40.596533"
12 SHIFT PL,ACPL,NA,"-74.199446, 40.545493"
12 SIDNEY PL,PLAC,Raised,"-73.99436, 40.692652"
12 STEBBINS AV,LIST,Raised,"-74.108192, 40.640154"
