address,species,sidewalk_condition,location
102 E 39 ST,ACPL,Raised,"-73.941369, 40.655073"
102 ELLSWORTH AV,ACSA1,Raised,"-74.198685, 40.540445"
102 ELMWOOD AV,QUPA,Raised,"-74.15566, 40.543909"
102 HAMILTON AV,QUPA,Raised,"-74.081124, 40.644734"
102 HICKS ST,QURU,Raised,"-73.994286, 40.698546"
102 JEFFERSON AV,TICO,NA,"-74.102292, 40.583929"
102 OAKVILLE AV,ACPS,Raised,"-74.134507, 40.598958"
102 VEDDER AV,ACRU,NA,"-74.146976, 40.620756"
102 W 133 ST,AIAL,Raised,"-73.941899, 40.812856"
102 WALBROOKE AV,PLAC,Raised,"-74.102916, 40.63181"
102-001 102 ST,ACSA2,Raised,"1.0, 1.0"
102-001 63 DR,ACPL,Raised,"-73.853874, 40.732434"
102-001 65 RD,TICO,Raised,"-73.852487, 40.729784"
102-001 ASCAN AV,ACSA2,NA,"-73.84435, 40.712359"
102-001 ASCAN AV,ACSA2,Raised,"-73.84435, 40.712359"
102-002 102 ST,ACPL,Raised,"1.0, 1.0"
102-002 102 ST,ACSA2,Raised,"1.0, 1.0"
102-002 186 ST,GLTR,Raised,"-73.771687, 40.707659"
102-002 ASCAN AV,ACSA2,NA,"-73.84431, 40.712422"
102-002 QUEENS BLVD,GLTR,NA,"-73.851497, 40.726029"
102-003 188 ST,ACPL,Raised,"-73.769669, 40.708011"
102-004 188 ST,ACPL,Raised,"-73.769658, 40.707969"
102-004 189 ST,ACPL,Raised,"-73.768747, 40.708123"
102-004 34 AV,QUPA,NA,"-73.866188, 40.755711"
102-004 89 ST,PLAC,NA,"-73.850759, 40.68214"
102-004 95 AV,GIBI,Raised,"-73.842122, 40.688626"
102-004 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-005 188 ST,ACPL,Raised,"-73.769658, 40.707969"
102-005 63 DR,PLAC,Raised,"-73.853805, 40.732455"
102-006 189 ST,ACPL,Raised,"-73.768736, 40.708083"
102-006 ASCAN AV,LIST,NA,"-73.844231, 40.712548"
102-007 189 ST,ACSA1,Raised,"-73.768736, 40.708083"
102-007 65 RD,PLAC,Raised,"-73.852386, 40.729814"
102-008 REMINGTON ST,ACPL,Raised,"-73.810408, 40.693367"
102-008 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-009 186 ST,GLTR,Raised,"-73.771653, 40.707536"
102-009 34 AV,QUPA,NA,"-73.866152, 40.755715"
102-009 63 DR,PLAC,Raised,"-73.853736, 40.732476"
102-010 102 ST,PLAC,Raised,"1.0, 1.0"
102-010 102 ST,ACRU,Raised,"1.0, 1.0"
102-010 34 AV,QUPA,NA,"-73.866135, 40.755717"
102-010 ASCAN AV,COMA,NA,"-73.844152, 40.712673"
102-010 ASCAN AV,QUPA,NA,"-73.844152, 40.712673"
102-010 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-011 72 AV,QUPA,NA,"-73.846085, 40.713863"
102-012 188 ST,ACPL,Raised,"-73.769613, 40.707806"
102-012 65 AV,PLAC,Raised,"-73.85265, 40.730497"
102-012 72 AV,UNKNOWN,NA,"-73.846077, 40.713876"
102-012 89 ST,FRPE,NA,"-73.850649, 40.681883"
102-013 188 ST,ACPL,Raised,"-73.769613, 40.707806"
102-013 87 AV,PLAC,Raised,"-73.844785, 40.694435"
102-014 102 ST,AEHI,Raised,"1.0, 1.0"
102-014 135 ST,QURU,Raised,"-73.812431, 40.692788"
102-014 187 ST,ACPL,Raised,"-73.770479, 40.707619"
102-014 189 ST,ACPL,Raised,"-73.768689, 40.707918"
102-014 35 AV,TICO,NA,"-73.865888, 40.75457"
102-017 129 ST,ACPL,Raised,"-73.817312, 40.691053"
102-017 188 ST,ACPL,Raised,"-73.76959, 40.707724"
102-017 47 AV,PLAC,Raised,"-73.861395, 40.745176"
102-017 64 RD,PLAC,Raised,"-73.852953, 40.731178"
102-017 64 RD,ACPL,Raised,"-73.852953, 40.731178"
102-017 64 RD,TICO,NA,"-73.852953, 40.731178"
102-018 189 ST,ACPL,Raised,"-73.768666, 40.707835"
102-018 34 AV,ACRU,Raised,"-73.866064, 40.755724"
102-018 34 AV,QUPA,Raised,"-73.866064, 40.755724"
102-018 34 AV,QUPA,NA,"-73.866064, 40.755724"
102-018 ASCAN AV,QUPA,NA,"-73.843993, 40.712924"
102-018 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-019 103 ST,QUPA,NA,"-73.839623, 40.6838"
102-019 103 ST,PYCA,NA,"-73.839623, 40.6838"
102-019 103 ST,ACPL,NA,"-73.839623, 40.6838"
102-019 89 ST,FRPE,NA,"-73.850566, 40.68169"
102-020 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-021 186 ST,GLTR,Raised,"-73.771585, 40.707294"
102-021 65 RD,TICO,Raised,"-73.852147, 40.729885"
102-021 86 AV,PLAC,Raised,"-73.845392, 40.696328"
102-022 184 ST,TICO,Raised,"-73.773241, 40.706801"
102-022 189 ST,ACSA1,Raised,"-73.768643, 40.707755"
102-023 183 PL,ACPL,Raised,"-73.774065, 40.706377"
102-023 23 AV,QUPA,Raised,"-73.868408, 40.768207"
102-023 85 DR,PLAC,Raised,"-73.845758, 40.696954"
102-024 134 ST,ACSA1,Raised,"-73.81315, 40.692423"
102-024 189 ST,ACSA1,Raised,"-73.768631, 40.707713"
102-025 63 DR,ACPL,Raised,"-73.853461, 40.732558"
102-025 67 RD,QURU,Raised,"-73.851263, 40.727081"
102-025 ATLANTIC AV,QUPA,Raised,"-73.842368, 40.689991"
102-026 187 ST,ACSA1,Raised,"-73.770412, 40.707374"
102-026 65 RD,ACPL,Raised,"-73.852046, 40.729915"
102-026 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
102-027 129 ST,ACPL,Raised,"-73.817244, 40.690912"
102-028 127 ST,ACPL,Raised,"-73.818628, 40.69081"
102-028 184 ST,TICO,Raised,"-73.773216, 40.706691"
102-028 PARKLANE S,ACSA1,Raised,"1.0, 1.0"
102-030 QUEENS BLVD,GLTR,NA,"-73.850999, 40.725593"
102-030 QUEENS BLVD,PLAC,NA,"-73.850999, 40.725593"
102-031 184 ST,TICO,Raised,"-73.773208, 40.706656"
102-031 187 ST,ACPL,Raised,"-73.770389, 40.707292"
102-031 63 DR,ACSA1,Raised,"-73.853358, 40.732589"
102-032 187 ST,ACPL,Raised,"-73.770378, 40.70725"
102-032 65 AV,PLAC,Raised,"-73.852303, 40.730601"
102-034 127 ST,ACRU,Raised,"-73.818583, 40.690719"
102-034 129 ST,ACRU,Raised,"-73.81725, 40.690925"
102-034 187 ST,ACPL,Raised,"-73.770367, 40.70721"
102-034 189 ST,ACSA1,Raised,"-73.768573, 40.707507"
102-034 86 ST,FRPE,Raised,"-73.852973, 40.680679"
102-035 187 ST,ACPL,Raised,"-73.770367, 40.70721"
102-035 62 RD,GIBI,NA,"-73.855041, 40.735243"
102-035 64 AV,ACRU,Raised,"-73.852967, 40.731939"
102-035 64 AV,PLAC,NA,"-73.852967, 40.731939"
102-035 64 RD,TICO,NA,"-73.852635, 40.731272"
102-035 64 RD,ACRU,Raised,"-73.852635, 40.731272"
102-035 YELLOWSTONE BLVD,PLAC,NA,"1.0, 1.0"
102-036 189 ST,ACSA1,Raised,"-73.768561, 40.707467"
102-036 62 RD,GIBI,NA,"-73.854999, 40.735257"
102-036 64 AV,PLAC,Raised,"-73.852933, 40.731949"
102-036 YELLOWSTONE BLVD,ACRU,NA,"1.0, 1.0"
102-036 YELLOWSTONE BLVD,GIBI,NA,"1.0, 1.0"
102-039 129 ST,ACPL,Raised,"-73.817192, 40.690803"
102-039 85 DR,PLAC,Raised,"-73.845495, 40.69702"
102-040 88 ST,FRPE,NA,"-73.851253, 40.681105"
102-040 YELLOWSTONE BLVD,PLAC,NA,"1.0, 1.0"
102-041 129 ST,ACPL,Raised,"-73.817183, 40.690786"
102-043 187 ST,ACPL,Raised,"-73.770322, 40.707046"
102-044 183 PL,ACPL,Raised,"-73.774, 40.706054"
102-045 62 RD,PLAC,NA,"-73.854826, 40.735315"
102-045 67 RD,QUPA,Raised,"-73.850697, 40.72725"
102-046 189 ST,ACSA1,Raised,"-73.768503, 40.707262"
102-046 92 AV,PLAC,Raised,"-73.842625, 40.691383"
102-047 65 RD,PLAC,Raised,"-73.851706, 40.730016"
102-049 183 PL,GLTR,Raised,"-73.773988, 40.705995"
102-050 187 ST,TICO,Raised,"-73.770277, 40.706883"
102-051 183 PL,ACPL,Raised,"-73.773982, 40.705966"
102-052 187 ST,ACPL,Raised,"-73.770266, 40.706841"
102-055 67 RD,QUPA,Raised,"-73.850414, 40.727334"
102-059 YELLOWSTONE BLVD,TICO,NA,"1.0, 1.0"
102-059 YELLOWSTONE BLVD,TICO,Raised,"1.0, 1.0"
102-060 183 PL,ACPL,Raised,"-73.773952, 40.705819"
102-060 184 ST,TICO,Raised,"-73.773083, 40.706114"
102-060 YELLOWSTONE BLVD,GIBI,NA,"1.0, 1.0"
1020 8 AV,QUPA,Raised,"-73.979827, 40.665027"
1020 ANDERSON AV,QUPA,NA,"-73.926777, 40.832804"
1020 BAY ST,LIST,Raised,"-74.068924, 40.617881"
1020 BAY ST,QUPA,Raised,"-74.068924, 40.617881"
1020 BUSHWICK AV,GLTR,Raised,"-73.921607, 40.691466"
1020 CYPRESS AV,UNKNOWN,NA,"-73.902056, 40.697666"
1020 E 102 ST,PLAC,Raised,"-73.894677, 40.644091"
1020 E 13 ST,PLAC,Raised,"-73.963152, 40.624469"
1020 E 15 ST,ACPS,Raised,"-73.961297, 40.62467"
1020 E 219 ST,FRPE,NA,"-73.853843, 40.880727"
1020 E 220 ST,ACRU,NA,"-73.853592, 40.881466"
1020 E 26 ST,QUPA,Raised,"-73.950563, 40.625854"
1020 E 27 ST,PLAC,Raised,"-73.949628, 40.625955"
1020 E 31 ST,GLTR,Raised,"-73.94578, 40.626378"
1020 E 32 ST,GLTR,Raised,"-73.944854, 40.626477"
1020 E 59 ST,ACPL,Raised,"-73.919199, 40.628241"
1020 E 86 ST,FRPE,Raised,"-73.906502, 40.636256"
1020 HANCOCK ST,FRPE,Raised,"-73.915693, 40.687623"
1020 HENDRIX ST,PLAC,Raised,"-73.881575, 40.65652"
10201 Avenue L,PLAC,Raised,"-73.891415, 40.641181"
10207 Avenue J,PLAC,Raised,"-73.895009, 40.644474"
10207 Avenue K,PLAC,Raised,"-73.893192, 40.642842"
1021 ARMSTRONG AV,ACPL,NA,"-74.16225, 40.559421"
1021 E 14 ST,ACSA1,Raised,"-73.962223, 40.624571"
1021 WOODCREST AV,ACPL,NA,"-73.927673, 40.833054"
10215 Avenue J,PLAC,Raised,"-73.89495, 40.644512"
10215 SEAVIEW AV,PLAC,Raised,"-73.885827, 40.636303"
10217 E 102 ST,PLAC,Raised,"1.0, 1.0"
10218 Avenue J,PLAC,Raised,"-73.89492, 40.644531"
10219 Avenue K,PLAC,Raised,"-73.893103, 40.642899"
1022 E 100 ST,PLAC,Raised,"-73.89607, 40.643137"
1022 E 29 ST,PLAC,Raised,"-73.947767, 40.626111"
1022 E 85 ST,PLAC,Raised,"-73.907445, 40.635856"
1022 OGDEN AV,GLTR,NA,"-73.929061, 40.83349"
10221 Avenue J,PLAC,Raised,"-73.894906, 40.64454"
10224 Avenue K,PLAC,Raised,"-73.893059, 40.642927"
1023 57 ST,PLAC,Raised,"-74.002876, 40.63423"
1023 E 31 ST,GLTR,Raised,"-73.945771, 40.626332"
1023 E 32 ST,ACPL,Raised,"-73.944845, 40.626431"
1023 E 81 ST,PLAC,Raised,"-73.910247, 40.633976"
1023 HOPKINSON AV,FRPE,Raised,"-73.909992, 40.655312"
1023 WILLOW BROOK RD,QURU,Raised,"-74.138874, 40.603185"
1024 41 ST,ACPL,Raised,"-73.993533, 40.643175"
1024 82 ST,ACSA1,Raised,"-74.017595, 40.62"
1024 E 213 ST,ACRU,NA,"-73.856193, 40.876738"
1024 E 31 ST,ZESE,Raised,"-73.945762, 40.626283"
1024 E 53 ST,PLAC,Raised,"-73.925582, 40.634196"
1024 HENDRIX ST,PLAC,Raised,"-73.881504, 40.656425"
1024 WILLOW BROOK RD,GLTR,Raised,"-74.138904, 40.603182"
1025 58 ST,ACPL,Raised,"-74.003404, 40.633673"
1025 CORTELYOU RD,TITO,Raised,"-73.96855, 40.639355"
1025 E 14 ST,ACSA1,Raised,"-73.962205, 40.624476"
1025 E 81 ST,TICO,Raised,"-73.91021, 40.633943"
1025 E 85 ST,ILCA,Raised,"-73.907396, 40.635803"
1025 HENDRIX ST,ACSA1,Raised,"-73.881473, 40.656383"
1025 MONTGOMERY ST,ACPS,Raised,"-73.930721, 40.664288"
1026 72 ST,QUPA,Raised,"-74.011646, 40.625654"
1026 E 102 ST,PLAC,Raised,"-73.89457, 40.643994"
1026 E 219 ST,ACPL,NA,"-73.853707, 40.880683"
1027 77 ST,PLAC,Raised,"-74.014642, 40.622771"
1027 E 102 ST,PLAC,Raised,"-73.89457, 40.643994"
1027 E 211 ST,ACPS,NA,"-73.856944, 40.875281"
1027 E 212 ST,PLAC,Raised,"-73.856546, 40.875996"
1027 E 219 ST,GIBI,NA,"-73.853707, 40.880683"
1027 E 226 ST,ACRU,Raised,"-73.850767, 40.885543"
1027 E 83 ST,QU,Raised,"-73.908592, 40.634695"
1027 LENOX RD,PLAC,Raised,"-73.921727, 40.657268"
1027 MONTGOMERY ST,PLAC,Raised,"-73.930649, 40.664283"
