address,species,sidewalk_condition,location
2563 YATES AV,ACSA1,Raised,"-73.854824, 40.863759"
2564 BENSON AV,PLAC,Raised,"-73.987284, 40.595209"
2564 E 26 ST,PLAC,Raised,"-73.943751, 40.589892"
2564 PEARSAL AV,ACSA1,Raised,"-73.851952, 40.864842"
2565 FLINT AV,ACSA1,Raised,"-73.817731, 40.889162"
2565 LACONIA AVE,PLAC,Raised,"-73.855833, 40.8638"
2566 LACONIA AVE,ACSA2,NA,"-73.855832, 40.863824"
2566 LACONIA AVE,ACSA2,Raised,"-73.855832, 40.863824"
2567 POPLAR ST,QUPA,Raised,"-73.848229, 40.844263"
2569 FENTON AV,ACSA2,Raised,"-73.844415, 40.863635"
2569 FISH AV,ACPS,Raised,"-73.84721, 40.86452"
257 90 ST,PLAC,Raised,"-74.033342, 40.620921"
257 B 136 ST,ACPL,Raised,"1.0, 1.0"
257 BURBANK AV,PLAC,Raised,"-74.110498, 40.573411"
257 CARLTON AV,ACPL,Raised,"-73.972215, 40.689972"
257 COVERT ST,PLAC,Raised,"-73.907104, 40.691604"
257 CRYSTAL AV,PYCA,Raised,"-74.142175, 40.617636"
257 E 19 ST,ACSA1,Raised,"-73.96101, 40.643643"
257 E 57 ST,ACSA2,Raised,"-73.923327, 40.649616"
257 E 7 ST,ACPL,Raised,"-73.973141, 40.645672"
257 EXETER ST,ACRU,Raised,"-73.947967, 40.576006"
257 GREENCROFT AV,ACSA1,Raised,"-74.140686, 40.548055"
257 JULES DR,PLAC,Raised,"-74.160778, 40.619272"
257 MAYBURY AV,ACPL,Raised,"-74.141086, 40.548688"
257 NEWKIRK AV,ACPS,Raised,"-73.970348, 40.632158"
257 PARKVILLE AV,ACPL,Raised,"-73.9695, 40.631829"
257 QUENTIN RD,PLAC,Raised,"-73.976699, 40.60622"
257 WILLOW BROOK RD,ACRU,Raised,"-74.144932, 40.618187"
257 WOOLLEY AV,SOJA,NA,"-74.139381, 40.617986"
257-001 149 RD,ACPL,Raised,"-73.732059, 40.652191"
257-027 148 AV,ACSA1,Raised,"-73.731312, 40.655058"
257-027 148 RD,ACSA1,Raised,"-73.731345, 40.65434"
257-029 147 DR,ACPL,Raised,"-73.731237, 40.655735"
257-056 148 RD,PLAC,Raised,"-73.730661, 40.654323"
257-057 149 RD,ACPL,Raised,"-73.730183, 40.65189"
2570 POPLAR ST,QUPA,Raised,"-73.847417, 40.844607"
2571 BROADWAY,GLTR,Raised,"-73.971481, 40.795072"
2571 POPLAR ST,QUPA,Raised,"-73.847937, 40.844387"
