address,species,sidewalk_condition,location
568 E 13 ST,ACSA1,Raised,"1.0, 1.0"
5681 208 ST,ACPL,NA,"-73.784426, 40.785168"
5682 MOSHOLU AV,UNKNOWN,NA,"-73.900969, 40.905373"
569 4 ST,ACPL,Raised,"-73.975463, 40.668169"
569 47 ST,ACSA2,Raised,"-74.007054, 40.645873"
569 5 ST,PLAC,Raised,"-73.97628, 40.667721"
569 E 28 ST,PLAC,Raised,"-73.949996, 40.636882"
569 E 42 ST,ACSA1,Raised,"-73.937005, 40.641328"
569 E 51 ST,ACSA1,Raised,"-73.928925, 40.647597"
569 JEFFERSON AV,GLTR,Raised,"-73.935324, 40.684978"
569 LINCOLN AV,ACSA2,Raised,"-73.867069, 40.675322"
57 ASHFORD ST,PLAC,Raised,"-73.886955, 40.681397"
57 AUBURN AV,ACSA1,Raised,"-74.143283, 40.611523"
57 BAY 26 ST,QUPA,Raised,"-73.997994, 40.602577"
57 BAY ST,LIST,Raised,"-74.075626, 40.64029"
57 BRONXWOOD AV,PLAC,NA,"1.0, 1.0"
57 CORBIN PL,PLAC,Raised,"-73.954692, 40.580479"
57 CRANFORD ST,PLAC,Raised,"-74.139822, 40.552437"
57 CUBA AV,ACPL,Raised,"-74.105712, 40.566708"
57 DONGAN ST,PYCA,NA,"-74.124449, 40.636295"
57 E 54 ST,PLAC,Raised,"-73.927121, 40.657778"
57 E 59 ST,PLAC,Raised,"-73.921876, 40.65287"
57 ESCANABA AV,ACRU,Raised,"-74.159291, 40.549758"
57 HULL AV,ACPL,Raised,"-74.104072, 40.584157"
57 MAC DONALD ST,QUPA,Raised,"-74.134935, 40.600338"
57 MARISA CIR,LIST,Raised,"-74.215895, 40.537914"
57 MASSACHUSETTS ST S,ACPL,Raised,"-74.249654, 40.500892"
57 OTIS AV,PLAC,Raised,"-74.115285, 40.577275"
57 POTTER AV,ACPL,Raised,"-74.116752, 40.617267"
57 SOUTH AV,ACRU,Raised,"-74.166081, 40.638769"
57 ST MARKS AV,ACPL,Raised,"-73.975403, 40.68006"
57 ST PAULS PL,GLTR,Raised,"-73.963407, 40.652381"
57 STANHOPE ST,GIBI,Raised,"-73.925084, 40.695965"
57 TAUNTON ST,LIST,Raised,"-74.136861, 40.554196"
57 TOMPKINS PL,PLAC,Raised,"-73.996164, 40.684159"
57 WESTBURY AV,PLAC,Raised,"-74.10359, 40.637464"
57 WILLOW ST,PYCA,Raised,"-73.994798, 40.699502"
57-003 260 ST,ACPL,Raised,"-73.722827, 40.763533"
57-003 260 ST,ACSA2,Raised,"-73.722827, 40.763533"
57-003 57 AV,ACPL,Raised,"-73.913414, 40.722293"
57-004 254 ST,ACPL,Raised,"-73.726497, 40.762582"
57-004 73 PL,ACPS,Raised,"-73.888355, 40.728458"
57-005 155 ST,ACSA1,Raised,"-73.81296, 40.742706"
57-006 262 ST,ACSA2,Raised,"-73.721885, 40.763543"
57-009 155 ST,ACSA1,Raised,"-73.812961, 40.742682"
57-010 84 ST,ACPL,Raised,"-73.878962, 40.730435"
57-011 262 ST,ACSA2,Raised,"-73.721821, 40.763391"
57-011 262 ST,ACPL,Raised,"-73.721821, 40.763391"
57-011 HEWLETT AV,PLAC,Raised,"-73.720057, 40.763413"
57-012 263 ST,PLAC,Raised,"-73.720875, 40.763398"
57-014 146 ST,PLAC,Raised,"-73.821447, 40.745065"
57-015 65 ST,TICO,Raised,"-73.900536, 40.722909"
57-016 263 ST,PLAC,Raised,"-73.720841, 40.763317"
57-017 156 ST,PLAC,Raised,"-73.812052, 40.74226"
57-018 69 PL,ACPL,Raised,"-73.894537, 40.726077"
57-019 156 ST,PLAC,Raised,"-73.812055, 40.742221"
57-019 254 ST,PLAC,Raised,"-73.726454, 40.762423"
57-019 HEWLETT AV,ACPL,Raised,"-73.719758, 40.763245"
57-019 LITTLE NK PKWY,LIST,Raised,"-73.723691, 40.763177"
57-021 57 PL,ULAM,Raised,"-73.913449, 40.722305"
57-021 66 ST,ACSA1,Raised,"-73.898133, 40.723519"
57-022 49 ST,PLAC,Raised,"-73.918925, 40.722466"
57-022 MAZEAU ST,ACPL,Raised,"-73.890736, 40.727714"
57-025 73 ST,ACPL,Raised,"-73.889122, 40.727749"
57-027 255 ST,ACRU,Raised,"-73.725589, 40.76274"
57-027 263 ST,PLAC,Raised,"-73.720755, 40.763114"
57-027 HEWLETT AV,PLAC,Raised,"-73.719463, 40.763079"
57-028 263 ST,ACPL,Raised,"-73.720738, 40.763075"
57-030 63 ST,PLAC,Raised,"-73.901841, 40.720668"
57-031 69 LA,PLAC,Raised,"-73.893232, 40.726019"
57-032 260 ST,ACPL,Raised,"-73.722687, 40.763199"
57-033 65 ST,ACSA1,Raised,"-73.900466, 40.722537"
57-033 MAZEAU ST,QUPA,Raised,"-73.890641, 40.727444"
57-035 260 ST,ACPL,Raised,"-73.722678, 40.763177"
57-035 63 ST,ACPS,Raised,"-73.901764, 40.720401"
57-035 69 LA,PLAC,Raised,"-73.893214, 40.725996"
57-036 156 ST,ACPL,Raised,"-73.812077, 40.741881"
57-036 224 ST,PLAC,Raised,"-73.754831, 40.752137"
57-039 260 ST,ACSA1,Raised,"-73.722659, 40.763132"
57-040 63 ST,ACSA1,Raised,"-73.901701, 40.720186"
57-040 63 ST,PLAC,Raised,"-73.901701, 40.720186"
57-040 MAZEAU ST,ACPL,Raised,"-73.890575, 40.727257"
57-041 223 ST,PLAC,Raised,"-73.755285, 40.751459"
57-041 262 ST,ACPL,Raised,"-73.721551, 40.762747"
57-042 224 ST,PLAC,Raised,"-73.754764, 40.752032"
57-042 73 ST,GLTR,Raised,"-73.889004, 40.727599"
57-043 MAZEAU ST,ACPS,Raised,"-73.890546, 40.727174"
57-048 224 ST,PLAC,Raised,"-73.754699, 40.75193"
57-049 157 ST,PLAC,Raised,"-73.811154, 40.741559"
57-051 58 PL,ACSA1,Raised,"-73.910602, 40.721676"
57-051 64 ST,ACPL,Raised,"-73.900921, 40.720773"
57-051 65 ST,TICO,Raised,"-73.900396, 40.722167"
57-051 MAZEAU ST,ACPL,Raised,"-73.89047, 40.726959"
57-054 58 PL,ACSA1,Raised,"-73.910599, 40.721621"
