address,species,sidewalk_condition,location
62-083 WETHEROLE ST,ACSA1,NA,"-73.866264, 40.728978"
62-084 BOOTH ST,ACSA2,NA,"-73.86552, 40.729486"
62-085 AUSTIN ST,ACPL,Raised,"-73.866949, 40.728422"
62-085 BOOTH ST,ACSA2,NA,"-73.866125, 40.72973"
62-086 AUSTIN ST,ACPL,Raised,"-73.866332, 40.728196"
62-086 WETHEROLE ST,ACSA2,NA,"-73.865926, 40.728842"
62-087 BOOTH ST,PLAC,NA,"-73.866038, 40.729695"
62-087 WETHEROLE ST,ACSA2,NA,"-73.866179, 40.728944"
62-088 BOOTH ST,ACSA1,NA,"-73.86552, 40.729486"
62-089 BOOTH ST,ACPL,NA,"-73.865951, 40.72966"
62-092 BOOTH ST,ACPL,NA,"-73.86552, 40.729486"
62-093 AUSTIN ST,ACPL,Raised,"-73.866596, 40.728293"
62-093 BOOTH ST,ACSA2,NA,"-73.865779, 40.729591"
62-093 WETHEROLE ST,QUPH,NA,"-73.866052, 40.728893"
62-094 AUSTIN ST,ACRU,Raised,"-73.866332, 40.728196"
62-095 AUSTIN ST,PLAC,Raised,"-73.866507, 40.72826"
62-095 BOOTH ST,ACPS,NA,"-73.865692, 40.729556"
62-095 SAUNDERS ST,ACSA2,NA,"-73.8652, 40.73016"
62-096 AUSTIN ST,ACPL,Raised,"-73.866332, 40.728196"
62-096 BOOTH ST,ACSA1,NA,"-73.86552, 40.729486"
62-096 WETHEROLE ST,ACPL,NA,"-73.865926, 40.728842"
62-097 AUSTIN ST,PLAC,Raised,"-73.866421, 40.728229"
62-098 WETHEROLE ST,PLAC,NA,"-73.865926, 40.728842"
62-099 AUSTIN ST,PLAC,NA,"-73.866332, 40.728196"
62-099 AUSTIN ST,ACSA1,NA,"-73.866332, 40.728196"
62-099 BOOTH ST,OSVI,NA,"-73.86552, 40.729486"
62-099 BOOTH ST,ACPL,NA,"-73.86552, 40.729486"
62-099 WETHEROLE ST,ACSA1,NA,"-73.865926, 40.728842"
620 54 ST,PLAC,Raised,"-74.009976, 40.641252"
620 COMMONWLTH AV,GLTR,NA,"-73.864852, 40.817215"
620 CROSSBAY BLVD,PLAC,NA,"-73.81906, 40.609352"
620 E 237 ST,PLAC,NA,"-73.857779, 40.898225"
620 REISS PL,ACPL,NA,"-73.870658, 40.858105"
620 REISS PL,AC,Raised,"-73.870658, 40.858105"
620 W 252 ST,GLTR,NA,"-73.90992, 40.899866"
620 W 252 ST,LIST,NA,"-73.90992, 40.899866"
6203 20 AV,SOJA,Raised,"-73.984088, 40.618223"
621 49 ST,PLAC,Raised,"-74.007062, 40.644054"
621 53 ST,QUPA,Raised,"-74.009394, 40.641814"
621 55 ST,PLAC,Raised,"-74.01056, 40.640692"
621 57 ST,PLAC,Raised,"-74.011725, 40.639572"
621 BAY RIDGE PKWY,PLAC,Raised,"-74.019685, 40.627723"
621 CROSSBAY BLVD,PLAC,NA,"-73.819061, 40.609349"
621 DITMAS AV,PLAC,Raised,"-73.972043, 40.636176"
621 E 38 ST,ACSA2,Raised,"-73.940726, 40.640278"
621 E 80 ST,PLAC,Raised,"-73.916413, 40.638325"
621 KATAN AV,FRPE,Raised,"-74.167679, 40.55056"
621 MASON AV,PLAC,Raised,"-74.094101, 40.578303"
621 PUTNAM AV,GLTR,Raised,"-73.936551, 40.685584"
621 WOOLLEY AV,QUPA,Raised,"-74.140937, 40.608302"
6212 E 63 ST,PLAC,Raised,"1.0, 1.0"
6213 16 AV,PLAC,Raised,"-73.993208, 40.623641"
6214 19 AV,ACPL,Raised,"-73.986365, 40.619483"
622 53 ST,QURU,Raised,"-74.009351, 40.641788"
622 Avenue H,ACPL,Raised,"-73.971055, 40.629"
622 CARY AV,GLTR,NA,"-74.122397, 40.63201"
622 CORTELYOU RD,ACPL,Raised,"-73.972468, 40.638649"
622 E 235 ST,ZESE,Raised,"-73.859261, 40.895735"
622 E 59 ST,PLAC,Raised,"-73.920332, 40.638825"
622 E 86 ST,ACSA1,Raised,"-73.912002, 40.641152"
622 OCEAN AV,ULAM,Raised,"-73.960545, 40.647629"
6220 20 AV,SOJA,Raised,"-73.984192, 40.618123"
6221 16 AV,PLAC,Raised,"-73.993254, 40.623597"
6221 19 AV,PLAC,Raised,"-73.986399, 40.61945"
6221 20 AV,SOJA,Raised,"-73.984192, 40.618123"
6224 19 AV,ACPL,Raised,"-73.986422, 40.619428"
6225 BROADWAY,QUPA,Raised,"-73.89684, 40.896765"
6229 BROADWAY,QUPA,Raised,"-73.896861, 40.896918"
623 3 ST,ULAM,Raised,"-73.974309, 40.668456"
623 52 ST,TICO,Raised,"-74.008771, 40.642348"
623 55 ST,PLAC,Raised,"-74.010517, 40.640666"
623 57 ST,PLAC,Raised,"-74.011682, 40.639546"
623 Avenue M,ACPL,Raised,"-73.968794, 40.617044"
623 Avenue Y,PLAC,Raised,"-73.963382, 40.589135"
623 CRAWFORD AV,ACPL,Raised,"-73.964497, 40.591912"
623 CROSSBAY BLVD,PLAC,NA,"-73.819062, 40.609333"
623 E 77 ST,PLAC,Raised,"-73.918717, 40.636989"
623 LENOX RD,ACPL,Raised,"-73.93716, 40.654938"
623 LINCOLN AV,ACSA1,Raised,"-74.092295, 40.570591"
623 MEADE ST,ACPS,Raised,"-73.866647, 40.842447"
624 51 ST,PYCA,Raised,"-74.008142, 40.642881"
624 Avenue H,PLAC,Raised,"-73.971027, 40.629003"
624 E 7 ST,ACSA1,Raised,"-73.971395, 40.636471"
624 E 86 ST,ACPS,Raised,"-73.911965, 40.641119"
624 SCHNECTADY AV,ACPL,Raised,"-73.934025, 40.658401"
6241 BROADWAY,QUPA,Raised,"-73.896925, 40.897383"
625 47 ST,LIST,Raised,"-74.005811, 40.645121"
625 55 ST,PLAC,Raised,"-74.010472, 40.640639"
625 57 ST,PLAC,Raised,"-74.011637, 40.639519"
625 CARY AV,FRPE,NA,"-74.122809, 40.631963"
625 E 169 ST,GIBI,Raised,"-73.901804, 40.83169"
625 E 3 ST,ACSA1,Raised,"-73.976145, 40.636751"
625 E 57 ST,PLAC,Raised,"-73.922164, 40.63759"
625 E 77 ST,PLAC,Raised,"-73.918678, 40.636953"
625 E 80 ST,PLAC,Raised,"-73.916339, 40.638258"
625 NEW DORP LA,PLAC,Raised,"1.0, 1.0"
625 OCEAN AV,ULAM,Raised,"-73.960522, 40.647507"
625 OCEAN AV,GLTR,Raised,"-73.960522, 40.647507"
625 VANDERBILT ST,TICO,Raised,"-73.97548, 40.653793"
626 53 ST,QURU,Raised,"-74.009263, 40.641735"
626 VANNEST AV,ACSA2,NA,"-73.867207, 40.842977"
627 2 ST,QUPA,Raised,"-73.97396, 40.669133"
627 49 ST,GLTR,Raised,"-74.006932, 40.643975"
627 52 ST,PLAC,Raised,"-74.008683, 40.642295"
627 53 ST,QURU,Raised,"-74.009263, 40.641735"
627 CARPENTER AV,ACPS,Raised,"1.0, 1.0"
627 CARY AV,ACSA1,NA,"-74.122859, 40.631957"
627 CORTELYOU RD,GLTR,Raised,"-73.972434, 40.638651"
627 DAHILL RD,PLAC,Raised,"-73.978528, 40.632362"
627 E 57 ST,PLAC,Raised,"-73.922156, 40.637541"
627 MAGENTA ST,ACSA1,Raised,"-73.870123, 40.875368"
627 MORRIS PARK AV,PYCA,Raised,"-73.86867, 40.844512"
628 49 ST,PLAC,Raised,"-74.006887, 40.643948"
628 52 ST,TICO,Raised,"-74.008638, 40.642268"
628 54 ST,PLAC,Raised,"-74.009801, 40.641146"
628 BAKER AV,ZESE,Raised,"-73.866459, 40.841763"
628 E 57 ST,PLAC,Raised,"-73.922175, 40.637655"
628 E 80 ST,PLAC,Raised,"-73.916292, 40.638216"
628 GRAND AV,PLAC,Raised,"-73.96266, 40.676967"
628 SCHNECTADY AV,ACPL,Raised,"-73.934015, 40.658303"
629 47 ST,QUPA,Raised,"-74.005724, 40.645068"
629 48 ST,ACSA2,Raised,"-74.006306, 40.644508"
629 49 ST,PLAC,Raised,"-74.006887, 40.643948"
629 54 ST,PLAC,Raised,"-74.009801, 40.641146"
629 57 ST,PLAC,Raised,"-74.011549, 40.639466"
629 Avenue Y,ACPL,Raised,"-73.96333, 40.589141"
629 BAY RIDGE PKWY,PLAC,Raised,"-74.019458, 40.627594"
629 BEVERLEY RD,ACSA1,Raised,"-73.97343, 40.643437"
629 CARPENTER AV,TICO,NA,"1.0, 1.0"
629 CORTELYOU RD,GLTR,Raised,"-73.972417, 40.638651"
629 CROSSBAY BLVD,PLAC,NA,"-73.819067, 40.609285"
629 E 22 ST,PLAC,Raised,"-73.956522, 40.636982"
629 E 235 ST,ZESE,Raised,"-73.859051, 40.895668"
629 E 29 ST,ACPL,Raised,"-73.948936, 40.635533"
629 E 57 ST,PLAC,Raised,"-73.922148, 40.637494"
629 E 59 ST,PLAC,Raised,"-73.920316, 40.638682"
629 E 77 ST,PLAC,Raised,"-73.918601, 40.636882"
629 E 87 ST,PYCA,Raised,"-73.9112, 40.64146"
629 JEFFERSON AV,GLTR,Raised,"-73.933027, 40.68524"
629 SHELDEN AV,ACSA2,Raised,"-74.196107, 40.541256"
629 VANNEST AV,ACSA2,NA,"-73.867237, 40.842958"
629 W 185 ST,QUPA,Raised,"-73.932997, 40.852118"
63 3 PL,ACPL,Raised,"-73.998966, 40.679043"
63 71 ST,UNKNOWN,Raised,"-74.03407, 40.635953"
63 BAY 20 ST,PYCA,Raised,"-74.002467, 40.605169"
63 CHELSEA ST,QUPA,Raised,"-74.245421, 40.507455"
63 CHELSEA ST,ACRU,Raised,"-74.245421, 40.507455"
63 CRANFORD ST,PLAC,Raised,"-74.139688, 40.552327"
63 DUFFIELD ST,TICO,Raised,"-73.9841, 40.696595"
63 DUFFIELD ST,FRPE,Raised,"-73.9841, 40.696595"
63 E 2 ST,PLAC,Raised,"-73.979692, 40.650435"
63 E 40 ST,PLAC,Raised,"-73.940354, 40.654346"
63 E 58 ST,ACSA2,Raised,"-73.922853, 40.653802"
63 E RALEIGH AV,ACSA2,Raised,"-74.113536, 40.627789"
63 GROTON ST,CO1,NA,"-73.858224, 40.719596"
63 JAFFE ST,ACRU,NA,"-74.14765, 40.620037"
63 LANCASTER AV,PLAC,Raised,"-73.962326, 40.592844"
63 LYNHURST AV,LIST,Raised,"-74.069965, 40.617825"
63 PARK PL,ACPL,Raised,"-74.090739, 40.641437"
63 PEMBROKE AV,PLAC,Raised,"-74.101466, 40.635959"
63 RANDALL AV,QUPA,Raised,"-74.09901, 40.632163"
63 ST MARYS AV,ACSA1,Raised,"-74.069623, 40.615367"
63 STANLEY CIR,PLAC,Raised,"-74.16144, 40.552829"
63 STOCKHOLM ST,PLAC,Raised,"-73.925704, 40.696524"
63 TYSEN ST,PLAC,Raised,"-74.099659, 40.644145"
63 WALBROOKE AV,PLAC,Raised,"-74.103175, 40.633016"
63 WOLVERINE ST,PLAC,Raised,"-74.129858, 40.567226"
63-000 AUSTIN ST,ACPL,Raised,"-73.866266, 40.728172"
63-000 AUSTIN ST,ACPL,NA,"-73.866266, 40.728172"
63-001 74 ST,QUPA,Raised,"-73.882624, 40.718266"
63-001 BOOTH ST,ACSA2,NA,"-73.865455, 40.729461"
63-001 WETHEROLE ST,ACSA1,NA,"-73.86586, 40.728817"
63-002 75 ST,ACPL,Raised,"-73.881779, 40.718577"
63-002 75 ST,PLAC,Raised,"-73.881779, 40.718577"
63-002 75 ST,QUPA,Raised,"-73.881779, 40.718577"
63-002 AUSTIN ST,PLAC,NA,"-73.866266, 40.728172"
63-002 AUSTIN ST,ACPL,Raised,"-73.866266, 40.728172"
63-002 BOOTH ST,ACSA1,NA,"-73.865455, 40.729461"
63-002 BOOTH ST,ACPL,NA,"-73.865455, 40.729461"
63-002 BOOTH ST,GIBI,NA,"-73.865455, 40.729461"
63-002 WETHEROLE ST,ACSA1,NA,"-73.86586, 40.728817"
63-003 136 ST,ACPL,Raised,"-73.830238, 40.740087"
63-003 136 ST,ACSA1,Raised,"-73.830238, 40.740087"
63-003 BOOTH ST,PLAC,NA,"-73.865394, 40.729439"
63-003 WETHEROLE ST,ACPL,NA,"-73.865789, 40.728791"
63-004 WETHEROLE ST,QURU,NA,"-73.865783, 40.728788"
63-004 YELLOWSTONE BLVD,ACPL,NA,"-73.852867, 40.734253"
63-006 99 ST,ACPL,NA,"-73.857221, 40.732838"
63-007 BOOTH ST,PLAC,NA,"-73.865276, 40.729396"
63-007 SAUNDERS ST,ULAM,NA,"-73.864809, 40.730013"
63-007 WETHEROLE ST,ACSA2,NA,"-73.865645, 40.728738"
63-008 76 ST,QUPA,Raised,"-73.879992, 40.719089"
63-008 BOOTH ST,ACSA2,NA,"-73.865232, 40.72938"
63-008 SAUNDERS ST,UNKNOWN,NA,"-73.864809, 40.730013"
