address,species,sidewalk_condition,location
35-037 28 ST,PLAC,Raised,"-73.931364, 40.758681"
35-038 160 ST,ACSA1,NA,"-73.805304, 40.764527"
35-039 159 ST,ACSA1,NA,"-73.806227, 40.764692"
35-039 159 ST,ACPS,NA,"-73.806227, 40.764692"
35-039 161 ST,ACSA2,NA,"-73.804381, 40.764358"
35-039 203 ST,ACSA1,Raised,"-73.784162, 40.765596"
35-040 157 ST,ACSA2,Raised,"-73.80807, 40.764978"
35-040 157 ST,ACSA1,Raised,"-73.80807, 40.764978"
35-041 71 ST,ACSA1,Raised,"-73.894776, 40.749476"
35-041 99 ST,TICO,Raised,"-73.868572, 40.753242"
35-042 161 ST,ACPL,NA,"-73.804396, 40.764242"
35-043 160 ST,FRPE,NA,"-73.805318, 40.76442"
35-043 161 ST,ACPL,NA,"-73.804396, 40.764242"
35-043 28 ST,ACSA1,Raised,"-73.931439, 40.758588"
35-044 160 ST,ACSA1,NA,"-73.805325, 40.764368"
35-045 99 ST,ACPL,Raised,"-73.86854, 40.753174"
35-046 162 ST,FRPE,Raised,"-73.803482, 40.764058"
35-046 92 ST,TICO,Raised,"-73.87521, 40.751805"
35-047 160 ST,ACPL,NA,"-73.805332, 40.764316"
35-047 163 ST,ACSA1,Raised,"-73.802542, 40.764035"
35-048 161 ST,TICO,NA,"-73.80442, 40.764068"
35-048 71 ST,ACPL,Raised,"-73.894737, 40.749345"
35-049 159 ST,ACSA1,NA,"-73.80626, 40.764448"
35-049 161 ST,ACSA2,NA,"-73.80442, 40.764068"
35-050 156 ST,PLAC,Raised,"-73.809015, 40.764955"
35-050 158 ST,QUPA,NA,"-73.807186, 40.764591"
35-050 158 ST,QURU,NA,"-73.807186, 40.764591"
35-050 159 ST,ACPL,NA,"-73.806267, 40.7644"
35-050 160 ST,ACSA1,NA,"-73.805347, 40.764209"
35-050 163 ST,ACSA1,Raised,"-73.802557, 40.763923"
35-051 159 ST,UNKNOWN,NA,"-73.806267, 40.7644"
35-051 159 ST,ACRU,NA,"-73.806267, 40.7644"
35-051 159 ST,ACSA1,NA,"-73.806267, 40.7644"
35-053 159 ST,QURU,NA,"-73.806273, 40.76435"
35-053 160 ST,ACSA1,NA,"-73.805354, 40.764154"
35-053 161 ST,TICO,NA,"-73.804435, 40.763952"
35-053 24 ST,ACPL,Raised,"-73.933614, 40.759397"
35-053 36 AV,PLAC,Raised,"-73.926131, 40.754887"
35-054 161 ST,TICO,NA,"-73.804443, 40.763895"
35-054 80 ST,ACPL,Raised,"-73.886337, 40.750471"
35-056 159 ST,ACSA1,NA,"-73.806286, 40.764255"
35-056 159 ST,ZESE,NA,"-73.806286, 40.764255"
35-056 160 ST,ACSA1,NA,"-73.805369, 40.76405"
35-058 25 ST,PLAC,Raised,"1.0, 1.0"
35-059 161 ST,ACPL,NA,"-73.804459, 40.763778"
35-060 158 ST,QUPA,NA,"-73.807217, 40.76437"
35-060 158 ST,QURU,NA,"-73.807217, 40.76437"
35-060 161 ST,ACPL,NA,"-73.804466, 40.763721"
