address,species,sidewalk_condition,location
115-029 146 ST,ACRU,Raised,"-73.796118, 40.683099"
115-029 198 ST,ACPL,Raised,"-73.75529, 40.696925"
115-029 201 ST,ACPL,Raised,"-73.752611, 40.697618"
115-030 123 ST,ACPL,Raised,"-73.815828, 40.677464"
115-030 125 ST,ACPL,Raised,"-73.814071, 40.677964"
115-030 141 ST,ACSA2,NA,"-73.801455, 40.681545"
115-030 143 ST,ACSA1,Raised,"-73.79965, 40.682054"
115-030 168 ST,ACRU,Raised,"-73.780332, 40.688473"
115-030 196 ST,ACPL,Raised,"-73.756965, 40.696237"
115-030 198 ST,QUPA,Raised,"-73.755272, 40.696886"
115-031 122 ST,ACSA1,Raised,"-73.816654, 40.677194"
115-031 125 ST,ACPL,Raised,"-73.814071, 40.677964"
115-031 135 ST,ACSA1,Raised,"-73.806026, 40.680245"
115-031 145 ST,PLAC,Raised,"-73.797859, 40.682562"
115-031 197 ST,TICO,Raised,"-73.756157, 40.696654"
115-032 116 ST,ACPL,Raised,"-73.82199, 40.676007"
115-032 147 ST,ACSA1,Raised,"-73.795207, 40.683278"
115-032 173 ST,ACPL,Raised,"-73.776082, 40.689888"
115-033 125 ST,ACPL,Raised,"-73.814054, 40.677928"
115-033 135 ST,ACPL,Raised,"-73.806008, 40.68021"
115-033 140 ST,GIBI,NA,"-73.802315, 40.681262"
115-033 141 ST,ACSA2,NA,"-73.801439, 40.681508"
115-033 145 ST,PLAC,Raised,"-73.797841, 40.682527"
115-033 146 ST,ACPL,Raised,"-73.796084, 40.68303"
115-034 141 ST,ACSA2,NA,"-73.801423, 40.681474"
115-034 201 ST,PLAC,Raised,"-73.752557, 40.697499"
115-034 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
115-035 126 ST,TICO,Raised,"-73.813159, 40.678142"
115-035 159 ST,ACPL,Raised,"-73.786461, 40.686841"
115-035 196 ST,UNKNOWN,Raised,"-73.756902, 40.696095"
115-035 MAYFAIR RD,QURU,Raised,"-73.837274, 40.705773"
115-036 118 ST,ACSA2,Raised,"-73.820102, 40.675932"
115-036 123 ST,ACPL,Raised,"-73.815778, 40.677361"
115-036 198 ST,QUPA,Raised,"-73.755218, 40.696766"
115-037 135 ST,FRPE,Raised,"-73.805975, 40.680142"
115-037 140 ST,TICO,NA,"-73.802283, 40.681194"
115-037 140 ST,GIBI,NA,"-73.802283, 40.681194"
115-037 174 ST,ACPL,Raised,"-73.775143, 40.690125"
115-037 INWOOD ST,PLAC,Raised,"-73.796932, 40.682712"
115-038 122 ST,ACRU,Raised,"-73.816593, 40.677059"
115-038 135 ST,ACPL,Raised,"-73.805957, 40.680106"
115-038 141 ST,ACSA2,NA,"-73.801391, 40.681404"
115-038 166 ST,QUPA,Raised,"-73.781963, 40.687757"
115-038 220 ST,PYCA,NA,"-73.738077, 40.699084"
115-039 142 ST,ACSA2,NA,"-73.800513, 40.68165"
115-039 196 ST,ACPL,Raised,"-73.756854, 40.695987"
115-039 197 ST,PLAC,Raised,"-73.756085, 40.696493"
115-039 200 ST,PLAC,Raised,"-73.753425, 40.697179"
115-039 201 ST,PLAC,Raised,"-73.752521, 40.697418"
115-040 124 ST,ACPL,Raised,"-73.814865, 40.67754"
115-040 135 ST,QUPA,Raised,"-73.80594, 40.680072"
115-040 142 ST,FRPE,NA,"-73.800498, 40.681616"
115-040 201 ST,ACSA1,Raised,"-73.752503, 40.697379"
115-040 INWOOD ST,PLAC,Raised,"-73.796899, 40.682642"
115-040 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
115-041 140 ST,GIBI,NA,"-73.80225, 40.681124"
115-042 116 ST,ACPL,Raised,"-73.822068, 40.675809"
115-042 117 ST,PLAC,Raised,"-73.821167, 40.67565"
115-042 127 ST,ACPL,Raised,"-73.812212, 40.678253"
115-042 142 ST,ACSA2,NA,"-73.800481, 40.68158"
115-042 145 ST,PLAC,Raised,"-73.797756, 40.682354"
115-042 168 ST,ACSA1,Raised,"-73.780216, 40.688275"
115-042 INWOOD ST,PLAC,Raised,"-73.796881, 40.682607"
115-043 128 ST,ACRU,Raised,"-73.811335, 40.678503"
115-043 141 ST,COMA,NA,"-73.801358, 40.681333"
115-043 142 ST,ACSA2,NA,"-73.800481, 40.68158"
115-043 165 ST,QUPA,Raised,"-73.78224, 40.686487"
115-043 200 ST,PLAC,Raised,"-73.753389, 40.697099"
115-043 FARMERS BLVD,ACPL,Raised,"-73.761907, 40.694751"
115-043 INWOOD ST,PLAC,Raised,"-73.796881, 40.682607"
115-043 SPGFIELD BLVD,GLTR,NA,"1.0, 1.0"
115-044 124 ST,ACPL,Raised,"-73.814831, 40.67747"
115-044 125 ST,ACPL,Raised,"-73.813952, 40.677722"
115-044 135 ST,FRPE,Raised,"-73.805905, 40.680003"
115-044 135 ST,QUPA,Raised,"-73.805905, 40.680003"
115-044 197 ST,ACPL,Raised,"-73.756031, 40.696373"
115-044 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
115-045 130 ST,ACPL,Raised,"-73.810371, 40.678736"
115-045 133 ST,PLAC,Raised,"-73.807585, 40.679358"
115-045 140 ST,GIBI,NA,"-73.802218, 40.681054"
115-045 146 ST,ACRU,Raised,"-73.795982, 40.682823"
115-045 217 ST,PYCA,Raised,"-73.740788, 40.699635"
115-045 INWOOD ST,PLAC,Raised,"-73.796865, 40.682573"
115-046 117 ST,ACPL,Raised,"-73.821197, 40.675572"
115-046 123 ST,PLAC,Raised,"-73.815693, 40.677188"
115-046 123 ST,ACPL,Raised,"-73.815693, 40.677188"
115-046 141 ST,COMA,NA,"-73.801327, 40.681264"
115-046 166 ST,QUPA,Raised,"-73.781887, 40.687627"
115-046 200 ST,ACPL,Raised,"-73.753353, 40.697021"
115-046 INWOOD ST,PLAC,Raised,"-73.796848, 40.682539"
115-047 133 ST,PLAC,Raised,"-73.807571, 40.679329"
115-047 133 ST,SOJA,Raised,"-73.807571, 40.679329"
115-047 141 ST,ACRU,Raised,"-73.801327, 40.681264"
115-047 141 ST,COMA,NA,"-73.801327, 40.681264"
115-047 145 ST,PLAC,Raised,"-73.797723, 40.682287"
115-047 148 ST,TICO,Raised,"-73.79421, 40.683286"
115-047 208 ST,ACPL,Raised,"-73.74552, 40.698975"
115-048 144 ST,ACPL,Raised,"-73.798583, 40.682001"
115-048 145 ST,ACSA1,Raised,"-73.797706, 40.682251"
115-048 147 ST,ACSA1,Raised,"-73.795071, 40.683001"
