address,species,sidewalk_condition,location
121-041 NEW YORK FARMERS B,TICO,NA,"1.0, 1.0"
121-046 NEW YORK FARMERS B,GIBI,NA,"1.0, 1.0"
121-046 NEW YORK FARMERS B,TICO,NA,"1.0, 1.0"
121-046 NEW YORK FARMERS B,QUPA,NA,"1.0, 1.0"
121-047 GRAYSON ST,ACSA1,NA,"-73.75871, 40.684902"
121-048 GRAYSON ST,ACRU,NA,"-73.75869, 40.68487"
121-048 GRAYSON ST,QUAL,Raised,"-73.75869, 40.68487"
121-048 GRAYSON ST,LIST,NA,"-73.75869, 40.68487"
121-050 193 ST,ACPL,Raised,"1.0, 1.0"
121-050 MILBURN ST,ACPL,NA,"-73.759468, 40.684513"
121-051 BENTON ST,ACPL,NA,"-73.757878, 40.685166"
121-058 BENTON ST,ACRU,NA,"-73.7578, 40.685044"
121-064 237 ST,ACPL,Raised,"-73.729295, 40.682822"
121-066 236 ST,ACRU,Raised,"-73.730173, 40.683017"
1210 E 54 ST,PYCA,Raised,"-73.92398, 40.628322"
1210 E 86 ST,PLAC,Raised,"-73.9032, 40.633247"
1210 E 94 ST,ACPL,Raised,"-73.901991, 40.641275"
1210 E 95 ST,ACPS,Raised,"-73.901118, 40.641476"
1210 E 96 ST,ACPS,Raised,"-73.900262, 40.641994"
1210 NIELL AV,PLAC,Raised,"-73.851554, 40.855485"
1211 DORCHESTER RD,PLAC,Raised,"-73.966565, 40.638077"
1211 E 48 ST,PLAC,Raised,"-73.930238, 40.631594"
1211 E 82 ST,PLAC,Raised,"-73.906092, 40.631361"
1211 HANCOCK ST,ACPL,Raised,"-73.911596, 40.691804"
1211 SCHNECTADY AV,ACSA2,Raised,"-73.932397, 40.643201"
1211 STRATFORD AV,ULAM,NA,"-73.87557, 40.829508"
1212 BEVERLEY RD,ACPL,Raised,"-73.967669, 40.644012"
1212 E 18 ST,ACPL,Raised,"-73.957695, 40.621047"
1212 E 223 ST,PLAC,Raised,"-73.846658, 40.881437"
1212 NEWKIRK AV,ZESE,Raised,"-73.965837, 40.634321"
1212 RALPH AV,QUPA,Raised,"-73.92027, 40.646441"
1212 RALPH AV,PLAC,Raised,"-73.92027, 40.646441"
1212 TINTON AV,GLTR,Raised,"-73.900192, 40.829689"
1213 CASTLETON AV,PYCA,NA,"-74.122857, 40.634093"
1213 E 88 ST,PLAC,Raised,"-73.901737, 40.634137"
1213 TINTON AV,GLTR,Raised,"-73.900248, 40.82956"
1214 8 AV,QUPA,Raised,"-73.9808, 40.663858"
1214 Avenue K,QUPA,Raised,"-73.963579, 40.622499"
1214 BX AND PELHAM S,QUPA,Raised,"1.0, 1.0"
1214 CASTLETON AV,PYCA,NA,"-74.122762, 40.6341"
1214 CORTELYOU RD,TICO,Raised,"-73.966911, 40.6401"
1214 E 29 ST,ACPL,Raised,"-73.946898, 40.621519"
1214 E 48 ST,PLAC,Raised,"-73.930213, 40.631428"
1214 E 56 ST,PLAC,Raised,"-73.921834, 40.626156"
1214 E 57 ST,PLAC,Raised,"-73.92059, 40.623641"
1214 E 59 ST,ACPL,Raised,"-73.918723, 40.623755"
1214 E 84 ST,PLAC,Raised,"-73.904613, 40.632223"
