address,species,sidewalk_condition,location
801 FRIEL PL,ACSA2,Raised,"-73.972506, 40.64712"
801 GLENMORE AV,ACPL,Raised,"-73.880618, 40.675464"
801 OCEAN PKWY,TICO,Raised,"-73.971371, 40.628951"
801 TILDEN ST,PYCA,NA,"-73.861614, 40.876858"
801 TILDEN ST,AIAL,NA,"-73.861614, 40.876858"
801 TILDEN ST,ACSA2,NA,"-73.861614, 40.876858"
801 TILDEN ST,PLAC,NA,"-73.861614, 40.876858"
801 VANNEST AV,ACPS,NA,"-73.862042, 40.844504"
801 WALTON AV,ACRU,Raised,"-73.925392, 40.82513"
8012 10 AV,ACSA2,Raised,"-74.017066, 40.621379"
8012 COLONIAL RD,QUPA,Raised,"-74.034679, 40.629007"
8012 RIDGE BLVD,TICO,Raised,"-74.031995, 40.628374"
8015 5 AV,QUPA,Raised,"-74.0242, 40.625668"
8015 HARBOR VIEW TER,PLAC,Raised,"-74.038263, 40.629882"
8016 COLONIAL RD,PLAC,Raised,"-74.034691, 40.628978"
8016 RIDGE BLVD,ACPL,Raised,"-74.032007, 40.628345"
8017 Avenue K,PLAC,Raised,"-73.909469, 40.632295"
802 CARROLL ST,PLAC,Raised,"-73.974764, 40.672593"
802 FRIEL PL,GLTR,Raised,"-73.972443, 40.647144"
802 FRIEL PL,ACSA2,Raised,"-73.972443, 40.647144"
802 FRIEL PL,PLAC,Raised,"-73.972443, 40.647144"
802 MILLER AV,PLAC,Raised,"-73.887022, 40.660959"
802 VANNEST AV,ACSA2,NA,"-73.861977, 40.844521"
8020 RIDGE BLVD,PLAC,Raised,"-74.032019, 40.628316"
8022 Avenue J,PLAC,Raised,"-73.911259, 40.633973"
8025 6 AV,ACPL,Raised,"-74.02187, 40.624171"
8025 6 AV,PLAC,Raised,"-74.02187, 40.624171"
803 ARMSTRONG AV,ACSA1,NA,"-74.160478, 40.554206"
803 BROOKLYN AV,ACPL,Raised,"-73.94415, 40.654396"
803 E 56 ST,PLAC,Raised,"-73.923112, 40.636601"
803 E 8 ST,ACPL,Raised,"-73.969014, 40.629733"
803 FRIEL PL,PYCA,Raised,"-73.972443, 40.647144"
803 MIDWOOD ST,PLAC,Raised,"-73.933619, 40.661196"
803 WARING AV,ACPL,NA,"-73.863556, 40.861274"
804 E 21 ST,ACPL,Raised,"-73.9569, 40.633969"
804 E 216 ST,ACPL,NA,"-73.860942, 40.880496"
804 E 56 ST,QUPA,Raised,"-73.923138, 40.636812"
804 FOSTER AV,PLAC,Raised,"-73.969184, 40.631066"
804 WARING AV,PLAC,NA,"-73.863473, 40.861273"
804B HURLEY CT,ACSA1,Raised,"-73.747778, 40.602614"
805 8 AV,QUPA,Raised,"-73.978743, 40.666327"
805 ADEE AV,ACPL,NA,"-73.863206, 40.869638"
805 ALBANY AV,PLAC,Raised,"-73.93937, 40.654299"
805 ARMSTRONG AV,PLAC,NA,"-74.160501, 40.554274"
805 BROOKLYN AV,ACPL,Raised,"-73.944144, 40.654342"
805 CHESTNUT ST,ACRU,Raised,"-73.862851, 40.872807"
805 DITMAS AV,ACPL,Raised,"-73.970239, 40.636412"
805 E 21 ST,ACPL,Raised,"-73.956895, 40.633939"
805 E 56 ST,PLAC,Raised,"-73.923107, 40.636556"
805 WARING AV,ACPL,NA,"-73.863473, 40.861273"
806 60 ST,TICO,Raised,"-74.009395, 40.635395"
806 CARROLL ST,GIBI,Raised,"-73.974651, 40.672549"
806 E 8 ST,ACPL,Raised,"-73.969012, 40.629724"
806 QUINCY ST,PLAC,Raised,"-73.927446, 40.689626"
806 VANNEST AV,ACSA2,NA,"-73.861847, 40.844556"
807 5 AV,PLAC,Raised,"-73.999846, 40.655177"
807 8 AV,QUPA,Raised,"-73.978753, 40.666315"
807 Avenue H,PLAC,Raised,"-73.968862, 40.629239"
807 CLAWSON ST,QUPA,Raised,"-74.122508, 40.560363"
